"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x581336898","x1331230835421405189",2020-11-24 13:38:58,"marcsolis10","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter for Android",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/marcsolis10/status/1331230835421405189","MaRrC","Catalunya·Spain","Hardwarefílico, amante de los videojuegos, la física y el anime. 
Actualmente estudiando la carrera de Developer en ENTI",,FALSE,80,291,6,4722,3250,2012-05-15 21:15:54,FALSE,,,,"https://pbs.twimg.com/profile_banners/581336898/1472222203","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1024310675458469888/YWB03r-h_normal.jpg"
"x799612454644969472","x1331229885948452864",2020-11-24 13:35:12,"gam_eir","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter for Android",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gam_eir/status/1331229885948452864","GamEir","Dublin City, Ireland","Award winning Irish gaming site filled with news, reviews, interviews & whatever else I try to do to sound like I know what I'm doing. Contact: graham@gameir.ie","https://t.co/lO29NIs24a",FALSE,534,598,4,5173,2783,2016-11-18 13:57:20,FALSE,"https://t.co/lO29NIs24a","http://gameir.ie",,"https://pbs.twimg.com/profile_banners/799612454644969472/1482097112","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/957689932683862021/fwlfB6SH_normal.jpg"
"x2751413396","x1331226957850189824",2020-11-24 13:23:34,"ChojixOG","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter for Android",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChojixOG/status/1331226957850189824","David","Caloocan City, National Capita","Retired pro player,college student, XXXTENTACION",,FALSE,168,1502,0,4624,34437,2014-08-21 05:45:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/2751413396/1588322586","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1296835865159892993/_TSTo8At_normal.jpg"
"x998997594750767105","x1331219419801006084",2020-11-24 12:53:37,"ImNotDerban","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter Web App",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ImNotDerban/status/1331219419801006084","Derban","Almería, España","Developer | Programmer | #soloDev | I love playing and making videogames! ^_^ 
Looking for a job as a Unity programmer/developer or QA tester!","https://t.co/H9ueXO4NJV",FALSE,199,403,3,1784,4981,2018-05-22 18:42:41,FALSE,"https://t.co/H9ueXO4NJV","https://derbandevelopment.wordpress.com/",,"https://pbs.twimg.com/profile_banners/998997594750767105/1582669781","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1232435589070413826/3Wxd3w2Q_normal.png"
"x852168980630556672","x1331214775007797250",2020-11-24 12:35:09,"Thayne_RH","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter for iPhone",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Thayne_RH/status/1331214775007797250","Thayne_RH","","just a simple person who loves playing video games 💎^-^",,FALSE,38,143,0,1023,3294,2017-04-12 14:38:12,FALSE,,,,"https://pbs.twimg.com/profile_banners/852168980630556672/1599386138",,"http://pbs.twimg.com/profile_images/1294531208639127554/izwkIJht_normal.jpg"
"x3357078753","x1331214275277426690",2020-11-24 12:33:10,"edu1231lol","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter for Android",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/edu1231lol/status/1331214275277426690","Eduardo Briones","","",,FALSE,47,281,0,2589,3174,2015-07-03 17:15:11,FALSE,,,,"https://pbs.twimg.com/profile_banners/3357078753/1591732259","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/672236177269899264/cNFfAPOS_normal.jpg"
"x1196943300613287937","x1331213968837390336",2020-11-24 12:31:57,"ronkaries","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter Web App",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ronkaries/status/1331213968837390336","Ronkaries","20","yeah yeah whatever im just trying vibe.Mainly like lol and manga hentai thingies? but ill go do whatever i feel like","https://t.co/CSGU5L3v81",FALSE,49,432,2,10004,8894,2019-11-20 00:08:25,FALSE,"https://t.co/CSGU5L3v81","http://www.twitch.tv/ronkaries",,"https://pbs.twimg.com/profile_banners/1196943300613287937/1591730795",,"http://pbs.twimg.com/profile_images/1307413047317876742/7wk-KoYe_normal.jpg"
"x1122784027801468933","x1331213376517763073",2020-11-24 12:29:36,"DaniPOCode","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter Web App",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DaniPOCode/status/1331213376517763073","Daniel Parrado Ortega","Seville, Spain","Videogames programmer. Alex Kidd in Miracle World DX @MergeGamesLtd. Green Phoenix @brokensimulati2. Sometimes I make robots.","https://t.co/uXVAJJITYC",FALSE,307,222,5,1252,3053,2019-04-29 08:45:47,FALSE,"https://t.co/uXVAJJITYC","https://github.com/ezhor",,"https://pbs.twimg.com/profile_banners/1122784027801468933/1592422791",,"http://pbs.twimg.com/profile_images/1273339727744245768/YRCPfKNu_normal.jpg"
"x2428105291","x1331212686441336834",2020-11-24 12:26:51,"kachi1044","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter Web App",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kachi1044/status/1331212686441336834","1044","","なんか適当にすきなもの描いたりゲームしたりする
ニチアサ創作とかは@mk_1044でやろうとおもいます",,FALSE,137,155,2,128001,21906,2014-04-05 01:34:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/2428105291/1420352424","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/861561892032073728/0wIM5OBJ_normal.jpg"
"x571944868","x1331212582007562240",2020-11-24 12:26:26,"MarioZombieKill","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter Web App",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MarioZombieKill/status/1331212582007562240","(∂ + m) ψ = 0","Sober & Soulless (Sevilla)","The ocean gleaming emerald green, The saddest thing you've ever seen. Sanguino. INTP-A. Backend Dev.
Studying Unity game programming at @AulaArcade #GameDev","https://t.co/c9oaVCZHni",FALSE,1059,797,43,141793,191017,2012-05-05 17:44:30,FALSE,"https://t.co/c9oaVCZHni","http://instagram.com/mariozombiekill",,"https://pbs.twimg.com/profile_banners/571944868/1467401949","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/1295829956874952705/vpkCtlhs_normal.jpg"
"x3408448295","x1331212324129169408",2020-11-24 12:25:25,"xLukeW","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter Web App",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/xLukeW/status/1331212324129169408","Luke","","QA - Aragami/Aragami: Nightfall
@LinceWorks",,FALSE,94,423,3,1907,7093,2015-08-08 10:34:35,FALSE,,,,"https://pbs.twimg.com/profile_banners/3408448295/1606052822","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330509300545048577/qjZ5I84c_normal.jpg"
"x158705346","x1331212125126144000",2020-11-24 12:24:38,"franchisjavier","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","Twitter Web App",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/franchisjavier/status/1331212125126144000","Franchisjavier","Reino soge","A todo el mundo le gustan las matemáticas... siempre que las entiendan. Programando mi vida.",,FALSE,123,130,1,985,281,2010-06-23 11:27:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/158705346/1348063758","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3018869621/4fb0cf2c110b5132e257ae1f67e9139a_normal.jpeg"
"x119995083","x1331211681041625088",2020-11-24 12:22:52,"aaaaarran","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA","TweetDeck",140,,,,FALSE,TRUE,0,15,,,"Aragami2",,,,,,,,,,,,,"x2322628333","LinceWorks","en",,,,,,,,,,,,,,,,"x1331210698249138177","We are sneaking up on 2021 and do you know what that means? That the release of #Aragami2 is coming...

Add Aragami 2 to your wishlist: https://t.co/IAClqwFBSa https://t.co/FZ55bAsAxA",2020-11-24 12:18:57,"Twitter Web App",75,15,"x2322628333","LinceWorks","Aragami 2",5521,210,1814,"Barcelona, Spain","Indie superheroes. ARAGAMI 2 coming on PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Steam in 2021. Join the community: https://t.co/iPJEllv7EO",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/aaaaarran/status/1331211681041625088","arran, the last yew","satélite xabarín","Ent. Mage. Maker.    
ENG/ESP/GAL/internet",,FALSE,1573,590,30,124437,1811,2010-03-05 04:57:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/119995083/1558980222","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1322000398098534401/zVrnylXj_normal.jpg"
