"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1229140656444116998","x1330966910796750849",2020-11-23 20:10:14,"loud_mouth_pro","Balan Wonderworld Gets Colorful Screenshots Featuring Second and Third Chapter

Square Enix released new screenshots of its upcoming action-platformer Balan Wonderworld.

The screenshots showcase the gameplay of the second and third chapters of the game,… https://t.co/quj0kDvvpn","IFTTT",279,,,,FALSE,FALSE,0,0,,,,,"ift.tt/2UUVhmc","https://t.co/quj0kDvvpn","https://ift.tt/2UUVhmc",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/loud_mouth_pro/status/1330966910796750849","Loud Mouth Pro Gaming","","1 Girl and 2 Guys Acting Like Fools Playing Games On YouTube!","https://t.co/Py8QvRiVzh",FALSE,96,194,1,5717,4,2020-02-16 20:29:20,FALSE,"https://t.co/Py8QvRiVzh","https://www.youtube.com/channel/UCc24R_xFqXZ68tLhjPahwcw",,"https://pbs.twimg.com/profile_banners/1229140656444116998/1581885565",,"http://pbs.twimg.com/profile_images/1229143267045933062/3Fwi0Q92_normal.jpg"
"x1229140656444116998","x1330060895154823180",2020-11-21 08:10:03,"loud_mouth_pro","Balan Wonderworld Gets Charming Cinematic Trailer Showing the Stories of Fiona &amp; Yuri

Square Enix released a brand new couple of trailers of its colorful action-platformer Balan Wonderworld.

The first trailer features a cinematic cutscene introducing t… https://t.co/JeEPwqkM4I","IFTTT",283,,,,FALSE,FALSE,0,0,,,,,"ift.tt/36ZUdTy","https://t.co/JeEPwqkM4I","https://ift.tt/36ZUdTy",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/loud_mouth_pro/status/1330060895154823180","Loud Mouth Pro Gaming","","1 Girl and 2 Guys Acting Like Fools Playing Games On YouTube!","https://t.co/Py8QvRiVzh",FALSE,96,194,1,5717,4,2020-02-16 20:29:20,FALSE,"https://t.co/Py8QvRiVzh","https://www.youtube.com/channel/UCc24R_xFqXZ68tLhjPahwcw",,"https://pbs.twimg.com/profile_banners/1229140656444116998/1581885565",,"http://pbs.twimg.com/profile_images/1229143267045933062/3Fwi0Q92_normal.jpg"
"x1074960915496361984","x1330959577496629256",2020-11-23 19:41:05,"ringo113_","@OnTheDownLoTho @Zari_Wari Balan Wonderworld too :(","Twitter for Android",24,"x1330933914081390592","x1215723171200012288","OnTheDownLoTho",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1215723171200012288 x1112847899224834054","OnTheDownLoTho Zari_Wari","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ringo113_/status/1330959577496629256","Ringo","Anzio, Lazio","he/him—18yo—🇮🇹
Self-taught 3D artist and music producer.
Love any kind of videogame, mostly Nintendo and Half-Life.
KLONOA PROPAGANDA.","https://t.co/WwW263JjIM",FALSE,17,207,0,1084,2040,2018-12-18 09:33:48,FALSE,"https://t.co/WwW263JjIM","http://www.globalsmashroster.com/fighter/Klonoa",,"https://pbs.twimg.com/profile_banners/1074960915496361984/1586354608",,"http://pbs.twimg.com/profile_images/1327732736593981445/PBTrpK6G_normal.jpg"
"x1187877506457706502","x1330954961266601984",2020-11-23 19:22:45,"MilaH55580525","""Balora (Nickname: Bluebell) Balan Wonderworld Oc""

#BalanWonderworld #Balanwonderworldoc https://t.co/cY4iFZHmi3","Twitter for Android",130,,,,FALSE,TRUE,0,3,,,"BalanWonderworld Balanwonderworldoc",,,,,"http://pbs.twimg.com/media/Enho5UYXIAA5MG1.png","https://t.co/cY4iFZHmi3","https://twitter.com/LilMissFaee/status/1330929503963672582/photo/1","photo","http://pbs.twimg.com/media/Enho5UYXIAA5MG1.png","https://t.co/cY4iFZHmi3","https://twitter.com/LilMissFaee/status/1330929503963672582/photo/1",,"x889999338423947264","LilMissFaee","en",,,,,,,,,,,,,,,,"x1330929503963672582","""Balora (Nickname: Bluebell) Balan Wonderworld Oc""

#BalanWonderworld #Balanwonderworldoc https://t.co/cY4iFZHmi3",2020-11-23 17:41:35,"Twitter Web App",12,3,"x889999338423947264","LilMissFaee","👹 鬼FaeOni 鬼👹",604,313,1197,"Hell","Tiss I momma Fae you'r local thicc goth oni yokai momma!~

Icon used as art made by: @teddythatdraws

Le Taken By: @thenamesjunkie",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MilaH55580525/status/1330954961266601984","Mila .H","","Hey I’m Mila (mee-la). Artist/animator-in-training/freelancer. Loves voice acting and singing. I hope you like what I do! Libra ♎️",,FALSE,83,182,0,14867,12714,2019-10-25 23:44:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/1187877506457706502/1604326767",,"http://pbs.twimg.com/profile_images/1187879304111316992/8_ac-a8D_normal.jpg"
"x1187877506457706502","x1328005802205057025",2020-11-15 16:03:51,"MilaH55580525","Seasonal DLC for Balan Wonderworld plz :D","Twitter for iPad",62,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x880226839960195072","DP_tweets_stuff","en",,,,,,,,,,,,,,,,"x1328005738703302661","Seasonal DLC for Balan Wonderworld plz :D",2020-11-15 16:03:35,"Twitter Web App",21,2,"x880226839960195072","DP_tweets_stuff","D.P 🌟✨",1042,112,20007,"USA / EST","She's D.P & she tweets stuff! NiGHTS♦/Retro!SEGA🌟/Balan Wonderworld🎩 Art, nostalgia and musings! 🇺🇸🇻🇦🇮🇹//✝️//♀️//♎️ 日本語が少し分かります！ ⚠ DO NOT REPOST ART",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MilaH55580525/status/1328005802205057025","Mila .H","","Hey I’m Mila (mee-la). Artist/animator-in-training/freelancer. Loves voice acting and singing. I hope you like what I do! Libra ♎️",,FALSE,83,182,0,14867,12714,2019-10-25 23:44:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/1187877506457706502/1604326767",,"http://pbs.twimg.com/profile_images/1187879304111316992/8_ac-a8D_normal.jpg"
"x1187877506457706502","x1330007998794756096",2020-11-21 04:39:51,"MilaH55580525","Prediction: Balan Wonderworld is going to play the heartstrings like a concert violinist on expert mode 👍✨","Twitter for iPad",127,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x880226839960195072","DP_tweets_stuff","en",,,,,,,,,,,,,,,,"x1330003348729290754","Prediction: Balan Wonderworld is going to play the heartstrings like a concert violinist on expert mode 👍✨",2020-11-21 04:21:23,"Twitter for iPhone",18,3,"x880226839960195072","DP_tweets_stuff","D.P 🌟✨",1042,112,20007,"USA / EST","She's D.P & she tweets stuff! NiGHTS♦/Retro!SEGA🌟/Balan Wonderworld🎩 Art, nostalgia and musings! 🇺🇸🇻🇦🇮🇹//✝️//♀️//♎️ 日本語が少し分かります！ ⚠ DO NOT REPOST ART",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MilaH55580525/status/1330007998794756096","Mila .H","","Hey I’m Mila (mee-la). Artist/animator-in-training/freelancer. Loves voice acting and singing. I hope you like what I do! Libra ♎️",,FALSE,83,182,0,14867,12714,2019-10-25 23:44:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/1187877506457706502/1604326767",,"http://pbs.twimg.com/profile_images/1187879304111316992/8_ac-a8D_normal.jpg"
"x13539372","x1330954135995342857",2020-11-23 19:19:28,"Abriael","Here are a few new screenshots of #BalanWonderworld by #SquareEnix, showing gameplay of the second and third chapters. 😁https://t.co/RCjOmeb5Sl #PS5 #XboxSeriesX #PS4 #XboxOne #PC #Switch https://t.co/NWeTXtL2Yd","Twitter Web App",187,,,,FALSE,FALSE,2,0,,,"BalanWonderworld SquareEnix PS5 XboxSeriesX PS4 XboxOne PC Switch",,"twinfinite.net/2020/11/balan-…","https://t.co/RCjOmeb5Sl","https://twinfinite.net/2020/11/balan-wonderworld-screenshots/","http://pbs.twimg.com/media/Enh_c8MXEAwUPDW.jpg","https://t.co/NWeTXtL2Yd","https://twitter.com/Abriael/status/1330954135995342857/photo/1","photo","http://pbs.twimg.com/media/Enh_c8MXEAwUPDW.jpg","https://t.co/NWeTXtL2Yd","https://twitter.com/Abriael/status/1330954135995342857/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Abriael/status/1330954135995342857","Giuseppe Nelva","Milano, Italy","News Editor @Twinfinite. You can find my articles here: https://t.co/kQExPoaaH7
All opinions expressed here are mine alone, and I'll fight you for them","https://t.co/kQExPoaaH7",FALSE,3487,2542,171,60072,3219,2008-02-16 01:26:28,FALSE,"https://t.co/kQExPoaaH7","https://twinfinite.net/",,"https://pbs.twimg.com/profile_banners/13539372/1398294353","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1278438425440518148/iKfX059c_normal.jpg"
"x13539372","x1329870514723151874",2020-11-20 19:33:33,"Abriael","Here's a trailer of #BalanWonderworld for #PS5, #XboxSeriesX/S, #PS4, #XboxOne, #Switch, and #PC showing the story of Fiona and her dolphin friends. 😎https://t.co/qCW8w6G0i7 https://t.co/0pvZlIv4EW","Twitter Web App",173,,,,FALSE,FALSE,4,0,,,"BalanWonderworld PS5 XboxSeriesX PS4 XboxOne Switch PC",,"twinfinite.net/2020/11/balan-…","https://t.co/qCW8w6G0i7","https://twinfinite.net/2020/11/balan-wonderworld-trailer-chapter-2/","http://pbs.twimg.com/media/EnSl-nmXEAMXdnU.jpg","https://t.co/0pvZlIv4EW","https://twitter.com/Abriael/status/1329870514723151874/photo/1","photo","http://pbs.twimg.com/media/EnSl-nmXEAMXdnU.jpg","https://t.co/0pvZlIv4EW","https://twitter.com/Abriael/status/1329870514723151874/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Abriael/status/1329870514723151874","Giuseppe Nelva","Milano, Italy","News Editor @Twinfinite. You can find my articles here: https://t.co/kQExPoaaH7
All opinions expressed here are mine alone, and I'll fight you for them","https://t.co/kQExPoaaH7",FALSE,3487,2542,171,60072,3219,2008-02-16 01:26:28,FALSE,"https://t.co/kQExPoaaH7","https://twinfinite.net/",,"https://pbs.twimg.com/profile_banners/13539372/1398294353","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1278438425440518148/iKfX059c_normal.jpg"
"x391055399","x1329870639881015296",2020-11-20 19:34:03,"Twinfinite","Balan Wonderworld Gets Charming Cinematic Trailer Showing the Story of Fiona &amp; Her Dolphin Friends https://t.co/kFOjjisBlL https://t.co/2RKw9pbJsn","dlvr.it",126,,,,FALSE,FALSE,2,0,,,,,"twinfinite.net/2020/11/balan-…","https://t.co/kFOjjisBlL","https://twinfinite.net/2020/11/balan-wonderworld-trailer-chapter-2/?utm_source=dlvr.it&utm_medium=twitter","http://pbs.twimg.com/media/EnSmTKoUUAEySCf.jpg","https://t.co/2RKw9pbJsn","https://twitter.com/Twinfinite/status/1329870639881015296/photo/1","photo","http://pbs.twimg.com/media/EnSmTKoUUAEySCf.jpg","https://t.co/2RKw9pbJsn","https://twitter.com/Twinfinite/status/1329870639881015296/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Twinfinite/status/1329870639881015296","Twinfinite","","We love video games, so we talk about them. Join the community! YouTube: https://t.co/K6an1nCQPs | FB: https://t.co/JTVVKv7KCQ","https://t.co/0PGAxyqlyU",FALSE,34472,164,285,57458,3011,2011-10-15 00:03:05,FALSE,"https://t.co/0PGAxyqlyU","http://www.twinfinite.net/",,"https://pbs.twimg.com/profile_banners/391055399/1565371891","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/631580596196634624/iKneFKsV_normal.png"
"x391055399","x1330953155148881920",2020-11-23 19:15:34,"Twinfinite","Balan Wonderworld Gets Colorful Screenshots Featuring Second and Third Chapter https://t.co/1MTAEthVzd https://t.co/oJ3n6bMGTI","dlvr.it",102,,,,FALSE,FALSE,3,0,,,,,"twinfinite.net/2020/11/balan-…","https://t.co/1MTAEthVzd","https://twinfinite.net/2020/11/balan-wonderworld-screenshots/?utm_source=dlvr.it&utm_medium=twitter","http://pbs.twimg.com/media/Enh-106UcAEmwLB.jpg","https://t.co/oJ3n6bMGTI","https://twitter.com/Twinfinite/status/1330953155148881920/photo/1","photo","http://pbs.twimg.com/media/Enh-106UcAEmwLB.jpg","https://t.co/oJ3n6bMGTI","https://twitter.com/Twinfinite/status/1330953155148881920/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Twinfinite/status/1330953155148881920","Twinfinite","","We love video games, so we talk about them. Join the community! YouTube: https://t.co/K6an1nCQPs | FB: https://t.co/JTVVKv7KCQ","https://t.co/0PGAxyqlyU",FALSE,34472,164,285,57458,3011,2011-10-15 00:03:05,FALSE,"https://t.co/0PGAxyqlyU","http://www.twinfinite.net/",,"https://pbs.twimg.com/profile_banners/391055399/1565371891","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/631580596196634624/iKneFKsV_normal.png"
