"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x508701064","x1331182494817923074",2020-11-24 10:26:53,"Astro_Gnome","Astrognome 100 BGreat Stars No 81, 61 Cygni https://t.co/7K98QVyEv6","Twitter Web App",67,,,,FALSE,FALSE,0,0,,,,,"astro-gnome.blogspot.com/2020/11/astrog…","https://t.co/7K98QVyEv6","https://astro-gnome.blogspot.com/2020/11/astrognome-100-great-stars-no-81-61.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Astro_Gnome/status/1331182494817923074","Martin Lunn","","",,FALSE,28,64,0,386,0,2012-02-29 10:42:21,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1862120600/mars_4_normal.jpg"
"x411259340","x1331090133618143233",2020-11-24 04:19:52,"p1z4T","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j","TweetDeck",140,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x129690018","misterv_ca","en",,,,,,,,,,,,,,,,"x1327119926969167875","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j",2020-11-13 05:23:41,"Twitter Web App",12,6,"x129690018","misterv_ca","Mark Visosky",91,718,189,"","Software developer.  Connoisseur of landscape and city skyline photography.  Budding astrophotographer.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/p1z4T/status/1331090133618143233","Apone","In the Orion Spur (Milky Way)","RIP SMITTY


Route/Switch/Server (Linux/Windows) Guy",,FALSE,886,532,8,435435,13287,2011-11-13 05:52:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/411259340/1355863881","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1096945285308338176/mGfA8kCf_normal.png"
"x164787086","x1331089717706825728",2020-11-24 04:18:13,"Echogirlchi","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j","Twitter for Android",140,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x129690018","misterv_ca","en",,,,,,,,,,,,,,,,"x1327119926969167875","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j",2020-11-13 05:23:41,"Twitter Web App",12,6,"x129690018","misterv_ca","Mark Visosky",91,718,189,"","Software developer.  Connoisseur of landscape and city skyline photography.  Budding astrophotographer.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Echogirlchi/status/1331089717706825728","Terri Bey","atlanta at present time","African american woman. Constantly changing. Will Never stop searching for that clarity. My eyes and ears are open. Always Listening.",,FALSE,2097,2347,0,86951,146645,2010-07-09 19:16:08,FALSE,,,,"https://pbs.twimg.com/profile_banners/164787086/1462631152","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/728954097299116032/gG4MSkKn_normal.jpg"
"x722349251041165312","x1331032332371779585",2020-11-24 00:30:12,"wristbow","@soulvoicegauge @fenharel cygni ejinn is ezra's crystal alt, navya voras is miri (@/miribeans)... i don't think there's a lot of other people that use the ls rn. zinnia is crez @/kopokkur","Twitter Web App",161,"x1331028625974566913","x1048947260250316802","soulvoicegauge",FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"x1048947260250316802 x53076124","soulvoicegauge fenharel","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/wristbow/status/1331032332371779585","shrik reduce my aggro","Adelaide, South Australia","I was a North American Fall Webworm in my past life. What were you in your past life? ✦ aeryn ✦ 23 ✦ ae/aer ✦ ISTJ ✦ ketenelak eyri@midgard/anhar saruch@balmung","https://t.co/LeDRi4TTT5",FALSE,429,253,4,103052,137382,2016-04-19 09:00:56,FALSE,"https://t.co/LeDRi4TTT5","https://wristbow.carrd.co/",,"https://pbs.twimg.com/profile_banners/722349251041165312/1602854269","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1199352236381335552/WCzieTTa_normal.png"
"x523902028","x1330987184170549248",2020-11-23 21:30:47,"barin_moon","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j","Twitter Web App",140,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x129690018","misterv_ca","en",,,,,,,,,,,,,,,,"x1327119926969167875","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j",2020-11-13 05:23:41,"Twitter Web App",12,6,"x129690018","misterv_ca","Mark Visosky",91,718,189,"","Software developer.  Connoisseur of landscape and city skyline photography.  Budding astrophotographer.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/barin_moon/status/1330987184170549248","ばりん♪","","春は花。夏ホトトギス。秋は月。",,FALSE,2481,2702,365,530837,114522,2012-03-14 01:50:48,FALSE,,,,,"http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/1895387729/image_normal.jpg"
"x1093070598","x1330979989420904456",2020-11-23 21:02:12,"CafeScienceUQAR","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j","Twitter Web App",140,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x129690018","misterv_ca","en",,,,,,,,,,,,,,,,"x1327119926969167875","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j",2020-11-13 05:23:41,"Twitter Web App",12,6,"x129690018","misterv_ca","Mark Visosky",91,718,189,"","Software developer.  Connoisseur of landscape and city skyline photography.  Budding astrophotographer.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CafeScienceUQAR/status/1330979989420904456","Café Sciences UQAR","UQAR","Le café des sciences de l'UQAR: la science pour tous! Science, informatique, mathématiques, histoire, archéologie",,FALSE,119,141,11,7451,0,2013-01-15 19:55:32,FALSE,,,,"https://pbs.twimg.com/profile_banners/1093070598/1460499053","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/719944829455568896/7OFytvkt_normal.jpg"
"x1370687798","x1330977105295904768",2020-11-23 20:50:44,"xipteras","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j","Twitter Web App",140,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x129690018","misterv_ca","en",,,,,,,,,,,,,,,,"x1327119926969167875","The Gamma Cygni Nebula in the constellation Cygnus, the region around the star Sadr.  The open cluster NGC 6910 makes an appearance at the top of the frame.  
Wishing you all clear skies!
#astronomy #astrophotography https://t.co/mzFDJ5cN5j",2020-11-13 05:23:41,"Twitter Web App",12,6,"x129690018","misterv_ca","Mark Visosky",91,718,189,"","Software developer.  Connoisseur of landscape and city skyline photography.  Budding astrophotographer.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/xipteras/status/1330977105295904768","Panagiotis Xipteras","Think. Question. Sing. Smile.","Stargazer and astrophotographer #space #astrophotography #stargazing #astronomy #science #scifi #landscape #nature #photography #lightpollution #travel #history","https://t.co/je0Y9SU5Ty",FALSE,4038,195,83,11486,66393,2013-04-21 22:13:29,FALSE,"https://t.co/je0Y9SU5Ty","http://xipteras.com",,"https://pbs.twimg.com/profile_banners/1370687798/1556871621","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/879315243624738816/CNiaP6LF_normal.jpg"
"x2913832016","x1330729055717646336",2020-11-23 04:25:05,"cygni_solar","Have A Nice Day! 

#MondayMotivation
#solarenergy #renewableenergy #solarpower
 #cleanenergy #greenenergy https://t.co/1kdzrjAGqi","Hootsuite Inc.",105,,,,FALSE,FALSE,1,0,,,"MondayMotivation solarenergy renewableenergy solarpower cleanenergy greenenergy",,,,,"http://pbs.twimg.com/media/EnezBhUW4AMJ8UX.jpg","https://t.co/1kdzrjAGqi","https://twitter.com/cygni_solar/status/1330729055717646336/photo/1","photo","http://pbs.twimg.com/media/EnezBhUW4AMJ8UX.jpg","https://t.co/1kdzrjAGqi","https://twitter.com/cygni_solar/status/1330729055717646336/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cygni_solar/status/1330729055717646336","Cygni Energy","Hyderabad, India","At Cygni, we believe in a better way to power homes & businesses. #DC #Microgrid + #EnergyEfficiency + #Innovation = #Netzero #Buildings. info@cygni.com","http://t.co/X6AZ3kJ2V6",FALSE,1267,1353,30,1169,1122,2014-11-29 14:47:43,FALSE,"http://t.co/X6AZ3kJ2V6","http://www.cygni.com",,"https://pbs.twimg.com/profile_banners/2913832016/1581074448","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/818815750873956352/D4btzpDl_normal.jpg"
"x2913832016","x1330042393085800451",2020-11-21 06:56:32,"cygni_solar","We are creating a positive living environment for future generation. Click here to know more about our EV batteries : https://t.co/ibwJ9GpIma 
#vocalforlocal #ElectricVehicle #battery #manufacturing #solarpower #cleanenergy #greenenergy #ev #CleanIndia #SaturdayThoughts https://t.co/ZuONaZJr3i","Hootsuite Inc.",270,,,,FALSE,FALSE,4,3,,,"vocalforlocal ElectricVehicle battery manufacturing solarpower cleanenergy greenenergy ev CleanIndia SaturdayThoughts",,"ow.ly/dYud50CqUlG","https://t.co/ibwJ9GpIma","http://ow.ly/dYud50CqUlG","http://pbs.twimg.com/media/EnVCgfmXUAEfwhP.jpg","https://t.co/ZuONaZJr3i","https://twitter.com/cygni_solar/status/1330042393085800451/photo/1","photo","http://pbs.twimg.com/media/EnVCgfmXUAEfwhP.jpg","https://t.co/ZuONaZJr3i","https://twitter.com/cygni_solar/status/1330042393085800451/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cygni_solar/status/1330042393085800451","Cygni Energy","Hyderabad, India","At Cygni, we believe in a better way to power homes & businesses. #DC #Microgrid + #EnergyEfficiency + #Innovation = #Netzero #Buildings. info@cygni.com","http://t.co/X6AZ3kJ2V6",FALSE,1267,1353,30,1169,1122,2014-11-29 14:47:43,FALSE,"http://t.co/X6AZ3kJ2V6","http://www.cygni.com",,"https://pbs.twimg.com/profile_banners/2913832016/1581074448","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/818815750873956352/D4btzpDl_normal.jpg"
"x2913832016","x1329307602522673152",2020-11-19 06:16:44,"cygni_solar","Can energy-efficient #appliances be integrated with the #electricity grid? Join us on 26 November as we launch our latest report, deep-diving into the opportunities for a hybrid AC-DC infrastructure in #India. Register here: https://t.co/UZr8eWCn3Y https://t.co/5p9l4BPk9P","Hootsuite Inc.",248,,,,FALSE,FALSE,1,0,,,"appliances electricity India",,"bit.ly/3eQI9rl","https://t.co/UZr8eWCn3Y","https://bit.ly/3eQI9rl","http://pbs.twimg.com/media/EnKmODsW4AAqOsa.jpg","https://t.co/5p9l4BPk9P","https://twitter.com/cygni_solar/status/1329307602522673152/photo/1","photo","http://pbs.twimg.com/media/EnKmODsW4AAqOsa.jpg","https://t.co/5p9l4BPk9P","https://twitter.com/cygni_solar/status/1329307602522673152/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cygni_solar/status/1329307602522673152","Cygni Energy","Hyderabad, India","At Cygni, we believe in a better way to power homes & businesses. #DC #Microgrid + #EnergyEfficiency + #Innovation = #Netzero #Buildings. info@cygni.com","http://t.co/X6AZ3kJ2V6",FALSE,1267,1353,30,1169,1122,2014-11-29 14:47:43,FALSE,"http://t.co/X6AZ3kJ2V6","http://www.cygni.com",,"https://pbs.twimg.com/profile_banners/2913832016/1581074448","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/818815750873956352/D4btzpDl_normal.jpg"
