"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x318962058","x1330886759673114628",2020-11-23 14:51:44,"DarmonRichter","They even modelled this potato-sorting building that I posted about the other day. 

Below, the shot of Hotel Polissya in Pripyat comes from another new game set in the Zone, called ""Chernobylite."" https://t.co/plfcpMhy8m","Twitter Web App",197,"x1330885452749041665","x318962058","DarmonRichter",FALSE,FALSE,5,0,,,,,,,,"http://pbs.twimg.com/media/EnhBvCNXIAAM9O9.jpg","https://t.co/plfcpMhy8m","https://twitter.com/DarmonRichter/status/1330886759673114628/photo/1","photo","http://pbs.twimg.com/media/EnhBvCNXIAAM9O9.jpg http://pbs.twimg.com/media/EnhB61_WEAovqPG.jpg http://pbs.twimg.com/media/EnhB-kfXEAA90cf.jpg http://pbs.twimg.com/media/EnhCCMDXEAAvHqc.jpg","https://t.co/plfcpMhy8m https://t.co/plfcpMhy8m https://t.co/plfcpMhy8m https://t.co/plfcpMhy8m","https://twitter.com/DarmonRichter/status/1330886759673114628/photo/1 https://twitter.com/DarmonRichter/status/1330886759673114628/photo/1 https://twitter.com/DarmonRichter/status/1330886759673114628/photo/1 https://twitter.com/DarmonRichter/status/1330886759673114628/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DarmonRichter/status/1330886759673114628","Darmon Richter","Eastern Europe","Writer, photographer, author of Chernobyl: A Stalkers’ Guide (@FuelPublishing). Enjoys monuments, tunnels, and finding things not on maps.","https://t.co/4TaONm2Qgb",FALSE,3164,920,87,6253,5925,2011-06-17 10:24:08,FALSE,"https://t.co/4TaONm2Qgb","https://darmonrichter.com",,"https://pbs.twimg.com/profile_banners/318962058/1604599860","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1257410121912680450/2Y04OJnH_normal.jpg"
"x1082244361860075526","x1330812192871112705",2020-11-23 09:55:26,"ChernobylGame","@R3V3RS3R We don't think it would need chernobylite with THAT amount of gunpowder","Twitter Web App",71,"x1330808653302149121","x998668287289511936","R3V3RS3R",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x998668287289511936","R3V3RS3R","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChernobylGame/status/1330812192871112705","Chernobylite","","Chernobylite is a science-fiction survival horror experience set in Chernobyl Zone developed by @TheFarm51. Available now in Early Access on Steam and GOG.","https://t.co/4YHRbV0VTf",FALSE,4040,43,22,1694,2057,2019-01-07 11:55:37,FALSE,"https://t.co/4YHRbV0VTf","https://www.chernobylgame.com/",,"https://pbs.twimg.com/profile_banners/1082244361860075526/1587483739","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1093450058413031424/zntOaKh8_normal.jpg"
"x1082244361860075526","x1329360434433024001",2020-11-19 09:46:40,"ChernobylGame","Remember you can modify your weapons in Chernobylite!

Just... just don't do THAT https://t.co/L2aFu36PHP","Twitter Web App",81,,,,FALSE,FALSE,41,1,,,,,,,,"http://pbs.twimg.com/media/EnLWHe6XcAEvi-E.jpg","https://t.co/L2aFu36PHP","https://twitter.com/ChernobylGame/status/1329360434433024001/photo/1","photo","http://pbs.twimg.com/media/EnLWHe6XcAEvi-E.jpg","https://t.co/L2aFu36PHP","https://twitter.com/ChernobylGame/status/1329360434433024001/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChernobylGame/status/1329360434433024001","Chernobylite","","Chernobylite is a science-fiction survival horror experience set in Chernobyl Zone developed by @TheFarm51. Available now in Early Access on Steam and GOG.","https://t.co/4YHRbV0VTf",FALSE,4040,43,22,1694,2057,2019-01-07 11:55:37,FALSE,"https://t.co/4YHRbV0VTf","https://www.chernobylgame.com/",,"https://pbs.twimg.com/profile_banners/1082244361860075526/1587483739","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1093450058413031424/zntOaKh8_normal.jpg"
"x1082244361860075526","x1328679676429131776",2020-11-17 12:41:35,"ChernobylGame","@RedScarf73 @DUSKdev @Pitypitmusic Sorry bud, but Chernobylite is nothing at all like S.T.A.L.K.E.R. - similar due to setting in Chernobyl, but besides that these are totally different games. Hurts if you're naming us a clone, while we even went to the Zone several times and scanned the buildings, objects, etc. https://t.co/Mzvs6ph4Op","Twitter Web App",277,"x1327054436686987264","x845429612096086016","RedScarf73",FALSE,FALSE,1,0,,,,,,,,"http://pbs.twimg.com/media/EnBrAWDWMAAfxuB.png","https://t.co/Mzvs6ph4Op","https://twitter.com/ChernobylGame/status/1328679676429131776/photo/1","photo","http://pbs.twimg.com/media/EnBrAWDWMAAfxuB.png","https://t.co/Mzvs6ph4Op","https://twitter.com/ChernobylGame/status/1328679676429131776/photo/1",,"x845429612096086016 x726921104036642817 x2178193251","RedScarf73 DUSKdev Pitypitmusic","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChernobylGame/status/1328679676429131776","Chernobylite","","Chernobylite is a science-fiction survival horror experience set in Chernobyl Zone developed by @TheFarm51. Available now in Early Access on Steam and GOG.","https://t.co/4YHRbV0VTf",FALSE,4040,43,22,1694,2057,2019-01-07 11:55:37,FALSE,"https://t.co/4YHRbV0VTf","https://www.chernobylgame.com/",,"https://pbs.twimg.com/profile_banners/1082244361860075526/1587483739","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1093450058413031424/zntOaKh8_normal.jpg"
"x998668287289511936","x1330808653302149121",2020-11-23 09:41:22,"R3V3RS3R","@ChernobylGame If loaded with Chernobylite... Probably! 🤔","Twitter for Android",42,"x1330804480431042561","x1082244361860075526","ChernobylGame",FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"x1082244361860075526","ChernobylGame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/R3V3RS3R/status/1330808653302149121","JingleR3V #DeadbyDaylight #ESOFam #dogwifhat","Portugal","Portuguese streammer and reviewer. 3d printer. 

Business Contact: reverser_stream@hotmail.com","https://t.co/mXDDIFBRyY",FALSE,807,796,3,18679,17105,2018-05-21 20:54:08,FALSE,"https://t.co/mXDDIFBRyY","https://linktr.ee/R3V3RS3R",,"https://pbs.twimg.com/profile_banners/998668287289511936/1576506872",,"http://pbs.twimg.com/profile_images/1211335689075335168/BnaRInQ2_normal.jpg"
"x3406255677","x1329776373850918912",2020-11-20 13:19:28,"GoodGodd2","@ChernobylGame hello farm. I like your last mega patch. One thing, when I went to continue my campaing it took some time to figure out what's going on. After 2h play, I still had this feeling I was little bit lost and confused. Just my thoughts when coming back to chernobylite.","Twitter for Android",278,,"x1082244361860075526","ChernobylGame",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x1082244361860075526","ChernobylGame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GoodGodd2/status/1329776373850918912","MN GoodGodd","England, United Kingdom","Gram i prowadzę transmisję na żywo za każdym razem kiedy gram. :)

Bardziej tytuły znane. Koncentruje się na grze, coby wam się dobrze oglądało a mi grało.","https://t.co/RUkKI003Y7",FALSE,19,117,1,1774,246,2015-08-06 23:09:52,FALSE,"https://t.co/RUkKI003Y7","http://www.youtube.com/user/mattias30pl",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1141719934290014208/i0H5yf9Q_normal.jpg"
"x704583568316633088","x1329565194016727049",2020-11-19 23:20:19,"Retweelgend","Lets give it a go XD Try to survive!

Metro style games !Giveaway //$30 digital code give away\\ https://t.co/VnlbwQ0Dx6

#newstreamer #streamer #twitch #twitchstreamer #chernobylite #metro2033 #metrolastlight #metro","Rt_Bot ",139,,,,FALSE,TRUE,0,3,,,,,"twitch.tv/headcase1001","https://t.co/VnlbwQ0Dx6","https://twitch.tv/headcase1001",,,,,,,,,"x1183949541713707008","headcase1001","en",,,,,,,,,,,,,,,,"x1329551047539519488","Lets give it a go XD Try to survive!

Metro style games !Giveaway //$30 digital code give away\\ https://t.co/VnlbwQ0Dx6

#newstreamer #streamer #twitch #twitchstreamer #chernobylite #metro2033 #metrolastlight #metro",2020-11-19 22:24:06,"Streamlabs Twitter",3,3,"x1183949541713707008","headcase1001","headcase1001",13,70,444,"","Gamer:
 Boris FOR the WIN! I am invincible

/https://t.co/72KqEAyEmN\
Come check me out!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Retweelgend/status/1329565194016727049","YouTube & Twitch RT","Disney Land Paris","Stay Comfy & Safe

- Just some dude retweeting streams that 
- Thanks for following before hand its much appreciated
- Feel free to check out the Discord","https://t.co/BfRYuxqUC4",FALSE,3928,179,107,126234,6076,2016-03-01 08:26:28,FALSE,"https://t.co/BfRYuxqUC4","http://discord.gg/uVPmrjn",,"https://pbs.twimg.com/profile_banners/704583568316633088/1474926240",,"http://pbs.twimg.com/profile_images/880791987628199936/lAxQNOn2_normal.jpg"
"x1083137328950915072","x1329561757434613760",2020-11-19 23:06:39,"VxnnnSucks","Remember you can modify your weapons in Chernobylite!

Just... just don't do THAT https://t.co/L2aFu36PHP","Twitter for Android",124,,,,FALSE,TRUE,0,1,,,,,,,,"http://pbs.twimg.com/media/EnLWHe6XcAEvi-E.jpg","https://t.co/L2aFu36PHP","https://twitter.com/ChernobylGame/status/1329360434433024001/photo/1","photo","http://pbs.twimg.com/media/EnLWHe6XcAEvi-E.jpg","https://t.co/L2aFu36PHP","https://twitter.com/ChernobylGame/status/1329360434433024001/photo/1",,"x1082244361860075526","ChernobylGame","en",,,,,,,,,,,,,,,,"x1329360434433024001","Remember you can modify your weapons in Chernobylite!

Just... just don't do THAT https://t.co/L2aFu36PHP",2020-11-19 09:46:40,"Twitter Web App",41,1,"x1082244361860075526","ChernobylGame","Chernobylite",4040,43,1694,"","Chernobylite is a science-fiction survival horror experience set in Chernobyl Zone developed by @TheFarm51. Available now in Early Access on Steam and GOG.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/VxnnnSucks/status/1329561757434613760","Vxnnn","","🌧","https://t.co/VWqECzlBkQ",FALSE,106,597,0,6042,12000,2019-01-09 23:03:57,FALSE,"https://t.co/VWqECzlBkQ","https://www.youtube.com/channel/UCu8Z-lfFMXuEznMctnOFrSw",,"https://pbs.twimg.com/profile_banners/1083137328950915072/1605295147",,"http://pbs.twimg.com/profile_images/1327326285740163072/blXgZXjV_normal.jpg"
"x1290028013875322884","x1329561601519783936",2020-11-19 23:06:02,"valtsvolts","Chernobylite Time. 🎮","Twitter for Android",20,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/valtsvolts/status/1329561601519783936","valtsvolts","","A life of a learning Stoic.",,FALSE,3,16,0,228,52,2020-08-02 20:53:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/1290028013875322884/1598462126",,"http://pbs.twimg.com/profile_images/1328454832726929408/wV2EgvYB_normal.jpg"
"x1252656534066249730","x1329561533697970179",2020-11-19 23:05:46,"mikeyvbudgaming","Alright, I decided once again to make some Youtube content. I'm starting with a let's play of Chernobylite and the first episode went live today you. It wasn't anything I expected and can't wait to play more!  https://t.co/KBggengWF4","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x1191512487847505922","igotz_tats","en",,,,,,,,,,,,,,,,"x1329528151022690323","Alright, I decided once again to make some Youtube content. I'm starting with a let's play of Chernobylite and the first episode went live today you. It wasn't anything I expected and can't wait to play more!  https://t.co/KBggengWF4",2020-11-19 20:53:07,"Twitter Web App",8,1,"x1191512487847505922","igotz_tats","Tats",895,446,5438,"","https://t.co/DzcoJI7Njp
Legendary tattoos, bad gaming, lover of cheese pizza and obsessed with anime. Inquires at gotztatz@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mikeyvbudgaming/status/1329561533697970179","mikeyvbudgaming","UK","Seeking the greatest gamers and gaming news out there.",,FALSE,50,164,1,1378,770,2020-04-21 17:53:14,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1252692810266001408/2t9_Cxbg_normal.jpg"
