"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1116519384514727938","x1331170547611348992",2020-11-24 09:39:25,"Terranigma23","@Stealth40k Also a lot of good indies in 2021 (Eastward, Cris Tales, Baldo, and probably Hollow Knight Silksong). 😁","Twitter for Android",103,"x1330888284428509184","x1140968821","Stealth40k",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1140968821","Stealth40k","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Terranigma23/status/1331170547611348992","Terranigma23","Québec, Canada","🇨🇦🏳️‍🌈🎮",,FALSE,96,294,0,5167,15409,2019-04-12 01:52:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/1116519384514727938/1582916540",,"http://pbs.twimg.com/profile_images/1314797252129497088/o5rkHr6x_normal.jpg"
"x1116519384514727938","x1330975784207601674",2020-11-23 20:45:29,"Terranigma23","@Stealth40k Also Eastward, Cris Tales, Baldo. 😁","Twitter for Android",35,"x1330909839015424001","x1140968821","Stealth40k",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1140968821","Stealth40k","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Terranigma23/status/1330975784207601674","Terranigma23","Québec, Canada","🇨🇦🏳️‍🌈🎮",,FALSE,96,294,0,5167,15409,2019-04-12 01:52:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/1116519384514727938/1582916540",,"http://pbs.twimg.com/profile_images/1314797252129497088/o5rkHr6x_normal.jpg"
"x2740661881","x1331109794057338883",2020-11-24 05:38:00,"LordKazuya1","Not happy that my idea was manifested by someone else before me but time magic is honestly such a dope ass concept that I'm glad Cris Tales is doing something w/ it","Twitter Web App",164,"x1331109030790537216","x2740661881","LordKazuya1",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LordKazuya1/status/1331109794057338883","Tales of Vesperia Enemy Heavy Bottom","Sargatanas, Aether","18+ - Do not follow if you are under 18, He/Him 
The only certified David Cage critic 

I'm hella gay and Black Lives Matter",,FALSE,215,368,6,133479,120269,2014-08-17 22:17:17,FALSE,,,,"https://pbs.twimg.com/profile_banners/2740661881/1604750350","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322042379168223232/2p2T-Fr6_normal.png"
"x2740661881","x1331108622475042816",2020-11-24 05:33:21,"LordKazuya1","I didn't know what to think about Cris Tales other than it looked a bit interested but the demo was really good https://t.co/vtHY51MIDW","Twitter Web App",111,,,,FALSE,FALSE,1,0,,,,,,,,"http://pbs.twimg.com/media/EnkMOtAUcAAR26V.jpg","https://t.co/vtHY51MIDW","https://twitter.com/LordKazuya1/status/1331108622475042816/photo/1","photo","http://pbs.twimg.com/media/EnkMOtAUcAAR26V.jpg","https://t.co/vtHY51MIDW","https://twitter.com/LordKazuya1/status/1331108622475042816/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LordKazuya1/status/1331108622475042816","Tales of Vesperia Enemy Heavy Bottom","Sargatanas, Aether","18+ - Do not follow if you are under 18, He/Him 
The only certified David Cage critic 

I'm hella gay and Black Lives Matter",,FALSE,215,368,6,133479,120269,2014-08-17 22:17:17,FALSE,,,,"https://pbs.twimg.com/profile_banners/2740661881/1604750350","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322042379168223232/2p2T-Fr6_normal.png"
"x1233805036846768128","x1331049438601687041",2020-11-24 01:38:10,"ReGamertron","Cris Tales Demo Gameplay Part 1 https://t.co/Xj96ISbtks #cristales #modusgames #Gameplay #Gaming #Letsplay","Re:Gamertron",126,,,,FALSE,TRUE,0,1,,,"cristales modusgames Gameplay Gaming Letsplay",,"youtube.com/watch?v=KWrzZZ…","https://t.co/Xj96ISbtks","https://www.youtube.com/watch?v=KWrzZZ3leSQ",,,,,,,,,"x752487161987993600","GamersDiaryWeb","en",,,,,,,,,,,,,,,,"x1330737850409619458","Cris Tales Demo Gameplay Part 1 https://t.co/Xj96ISbtks #cristales #modusgames #Gameplay #Gaming #Letsplay",2020-11-23 05:00:02,"Rpglab Gamer",0,1,"x752487161987993600","GamersDiaryWeb","Gamer's Diary",115,125,14697,"West Virginia, USA","Gameplays, Walkthroughs, Hints and Cheats. Sic Parvis Magna",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ReGamertron/status/1331049438601687041","Re:Gamertron","","I retweet #gaming stuff🔥 Follow for a cookie🍪",,FALSE,4937,1,29,179769,0,2020-02-29 17:23:46,FALSE,,,,"https://pbs.twimg.com/profile_banners/1233805036846768128/1582997782",,"http://pbs.twimg.com/profile_images/1233808409495035905/lOVwSryV_normal.jpg"
"x1297957649955381249","x1330767066308206592",2020-11-23 06:56:07,"XavierPagan11","So I just found out about this and its really cool hearing the stories from the different teams. I especially love the last 2, Miles Morales Spider-Man and Cris Tales!
https://t.co/kFw38sETMu
#KRL242","Twitter for Android",199,,,,FALSE,FALSE,0,0,,,"KRL242",,"youtu.be/XIorI14U1VA","https://t.co/kFw38sETMu","https://youtu.be/XIorI14U1VA",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/XavierPagan11/status/1330767066308206592","XavierPagan","","",,FALSE,1,5,0,36,6,2020-08-24 18:03:21,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1322567478837432322/DUa2Lwtu_normal.jpg"
"x752487161987993600","x1330737850409619458",2020-11-23 05:00:02,"GamersDiaryWeb","Cris Tales Demo Gameplay Part 1 https://t.co/Xj96ISbtks #cristales #modusgames #Gameplay #Gaming #Letsplay","Rpglab Gamer",106,,,,FALSE,FALSE,0,1,,,"cristales modusgames Gameplay Gaming Letsplay",,"youtube.com/watch?v=KWrzZZ…","https://t.co/Xj96ISbtks","https://www.youtube.com/watch?v=KWrzZZ3leSQ",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GamersDiaryWeb/status/1330737850409619458","Gamer's Diary","West Virginia, USA","Gameplays, Walkthroughs, Hints and Cheats. Sic Parvis Magna","https://t.co/4SZzGSVLJm",FALSE,115,125,0,14697,103,2016-07-11 12:58:14,FALSE,"https://t.co/4SZzGSVLJm","https://www.youtube.com/channel/UCFlfTAGD2k8e1WoLtSb6gmA/videos",,"https://pbs.twimg.com/profile_banners/752487161987993600/1585564214","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/964950719920001025/OcUpGeio_normal.jpg"
"x752487161987993600","x1328925911354277888",2020-11-18 05:00:02,"GamersDiaryWeb","Cris Tales Demo Gameplay Part 1 https://t.co/Xj96ISbtks #cristales #modusgames #Letsplay #Gameplay #Gaming","Rpglab Gamer",106,,,,FALSE,FALSE,1,0,,,"cristales modusgames Letsplay Gameplay Gaming",,"youtube.com/watch?v=KWrzZZ…","https://t.co/Xj96ISbtks","https://www.youtube.com/watch?v=KWrzZZ3leSQ",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GamersDiaryWeb/status/1328925911354277888","Gamer's Diary","West Virginia, USA","Gameplays, Walkthroughs, Hints and Cheats. Sic Parvis Magna","https://t.co/4SZzGSVLJm",FALSE,115,125,0,14697,103,2016-07-11 12:58:14,FALSE,"https://t.co/4SZzGSVLJm","https://www.youtube.com/channel/UCFlfTAGD2k8e1WoLtSb6gmA/videos",,"https://pbs.twimg.com/profile_banners/752487161987993600/1585564214","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/964950719920001025/OcUpGeio_normal.jpg"
"x752487161987993600","x1329831878803611649",2020-11-20 17:00:01,"GamersDiaryWeb","Cris Tales Demo Gameplay Part 1 https://t.co/Xj96ISbtks #cristales #modusgames #Gaming #Letsplay #Gameplay","Rpglab Gamer",106,,,,FALSE,FALSE,0,0,,,"cristales modusgames Gaming Letsplay Gameplay",,"youtube.com/watch?v=KWrzZZ…","https://t.co/Xj96ISbtks","https://www.youtube.com/watch?v=KWrzZZ3leSQ",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GamersDiaryWeb/status/1329831878803611649","Gamer's Diary","West Virginia, USA","Gameplays, Walkthroughs, Hints and Cheats. Sic Parvis Magna","https://t.co/4SZzGSVLJm",FALSE,115,125,0,14697,103,2016-07-11 12:58:14,FALSE,"https://t.co/4SZzGSVLJm","https://www.youtube.com/channel/UCFlfTAGD2k8e1WoLtSb6gmA/videos",,"https://pbs.twimg.com/profile_banners/752487161987993600/1585564214","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/964950719920001025/OcUpGeio_normal.jpg"
"x91806656","x1330729270872666113",2020-11-23 04:25:56,"corneaga","@Steam @LatinxGamesFest The Steam News pop-up you've got for this doesn't actually link to the festival, it just links to the game Cris Tales. You really ought to fix that! https://t.co/oDjeR7O5Fx","Twitter Web App",148,"x1330256301650292737","x36803580","Steam",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/EnezDEBVgAASMcj.png","https://t.co/oDjeR7O5Fx","https://twitter.com/corneaga/status/1330729270872666113/photo/1","photo","http://pbs.twimg.com/media/EnezDEBVgAASMcj.png","https://t.co/oDjeR7O5Fx","https://twitter.com/corneaga/status/1330729270872666113/photo/1",,"x36803580 x963123008251531265","Steam LatinxGamesFest","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/corneaga/status/1330729270872666113","Sergio Cornaga","New Zealand","Makes games https://t.co/1wQsIJYjFW  Makes comics https://t.co/Og92cE3IMA  Runs @freeindiega_me","https://t.co/lxxqwz1TfA",FALSE,1342,3794,35,3758,3745,2009-11-22 15:16:22,FALSE,"https://t.co/lxxqwz1TfA","http://cornea.ga",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2247938518/eyeball_normal.gif"
