"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2195853558","x1331076025099292672",2020-11-24 03:23:49,"CriticalGamesAU","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK","Twitter Web App",140,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,,,"x351222650","ZeboydGames","en",,,,,,,,,,,,,,,,"x1330953281259114497","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK",2020-11-23 19:16:04,"Twitter Web App",29,12,"x351222650","ZeboydGames","Cthulhu now runs Zeboyd Games",4402,13,1636,"","Dev duo of Cosmic Star Heroine, Cthulhu Saves the World, Cthulhu Saves Christmas & Breath of Death VII. Follow @werezompire / @bill_at_zeboyd for even more!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CriticalGamesAU/status/1331076025099292672","Joshua Hallaran","Australia","Australian indie dev behind 8-Bit Adventures & Tales Across Time. Working on 8-Bit Adventures 2 - a turn-based JRPG focused on story & characters! #indiegame","https://t.co/aKnpkVWnBe",FALSE,806,312,36,2757,4218,2013-11-15 11:50:54,FALSE,"https://t.co/aKnpkVWnBe","https://www.8bitadventures2.com/",,"https://pbs.twimg.com/profile_banners/2195853558/1530069476","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1123841477069758466/9knS7sj8_normal.png"
"x180648553","x1330982952528842752",2020-11-23 21:13:59,"Jaconian","[Disclaimer: Rec'd a review copy of Cthulhu Saves Christmas from @werezompire ]

In today's Game EXP article, I review #CthulhuSavesChristmas by @ZeboydGames on the Nintendo Switch. A fun self-aware JRPG that you can read more about here: https://t.co/r02vY2ERPJ
#StageSelectStart https://t.co/yELWJzPYNM","Twitter Web App",280,,,,FALSE,FALSE,0,0,,,"CthulhuSavesChristmas StageSelectStart",,"stageselectstart.blogspot.com/2020/11/game-e…","https://t.co/r02vY2ERPJ","https://stageselectstart.blogspot.com/2020/11/game-exp-cthulhu-saves-christmas-ns.html","http://pbs.twimg.com/media/EniZ30tUwAA4oxF.jpg","https://t.co/yELWJzPYNM","https://twitter.com/Jaconian/status/1330982952528842752/photo/1","photo","http://pbs.twimg.com/media/EniZ30tUwAA4oxF.jpg","https://t.co/yELWJzPYNM","https://twitter.com/Jaconian/status/1330982952528842752/photo/1",,"x42779858 x351222650","werezompire ZeboydGames","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Jaconian/status/1330982952528842752","JWfW/JDub/The Faceplantman /Jaconian","Portland, OR","He/Him
I listen to various genres of metal and video game music. I'm an omnivore, a gamer, a drinker of beer, a musician & the ENFORCER JDub.","https://t.co/O47HDt8N7l",FALSE,143,846,8,7306,35466,2010-08-20 03:50:01,FALSE,"https://t.co/O47HDt8N7l","http://www.stageselectstart.blogspot.com",,"https://pbs.twimg.com/profile_banners/180648553/1516414720","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/2213799651/Black_DS_mjolnir_normal.png"
"x7381892","x1330967942628921344",2020-11-23 20:14:20,"cephyn","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK","Twitter Web App",140,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,,,"x351222650","ZeboydGames","en",,,,,,,,,,,,,,,,"x1330953281259114497","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK",2020-11-23 19:16:04,"Twitter Web App",29,12,"x351222650","ZeboydGames","Cthulhu now runs Zeboyd Games",4402,13,1636,"","Dev duo of Cosmic Star Heroine, Cthulhu Saves the World, Cthulhu Saves Christmas & Breath of Death VII. Follow @werezompire / @bill_at_zeboyd for even more!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cephyn/status/1330967942628921344","Kevin","South Bend, IN","board games//tabletop rpg//science//books//sci-fi/fantasy//politics//tech//baseball//golf//he/him",,FALSE,389,1039,31,49252,16586,2007-07-10 19:53:38,FALSE,,,,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/588503914/100_0108_normal.JPG"
"x169760495","x1330961274277154817",2020-11-23 19:47:50,"bill_at_zeboyd","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK","TweetDeck",140,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,,,"x351222650","ZeboydGames","en",,,,,,,,,,,,,,,,"x1330953281259114497","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK",2020-11-23 19:16:04,"Twitter Web App",29,12,"x351222650","ZeboydGames","Cthulhu now runs Zeboyd Games",4402,13,1636,"","Dev duo of Cosmic Star Heroine, Cthulhu Saves the World, Cthulhu Saves Christmas & Breath of Death VII. Follow @werezompire / @bill_at_zeboyd for even more!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bill_at_zeboyd/status/1330961274277154817","B.Stiernberg","Houston, TX","Developer, Zeboyd Games - Graphics & Assets.  Makers of Cthulhu Saves the World, Penny Arcade 3 & 4, Breath of Death VII, and Cosmic Star Heroine.","https://t.co/MstuTZIGJh",FALSE,4104,805,149,32309,10886,2010-07-23 02:59:20,FALSE,"https://t.co/MstuTZIGJh","http://zeboyd.com",,"https://pbs.twimg.com/profile_banners/169760495/1483654622","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/928351327612157952/N8In91p1_normal.jpg"
"x169760495","x1329139835081265154",2020-11-18 19:10:05,"bill_at_zeboyd","I was robbed! I, the mighty Cthulhu should be in every category in @thegameawards! The Game of the Year nominees should have just been Cthulhu Saves Christmas listed 12 times (once for each day of Christmas)!","TweetDeck",140,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x351222650 x2806914710","ZeboydGames thegameawards","en",,,,,,,,,,,,,,,,"x1329139755389489153","I was robbed! I, the mighty Cthulhu should be in every category in @thegameawards! The Game of the Year nominees should have just been Cthulhu Saves Christmas listed 12 times (once for each day of Christmas)!",2020-11-18 19:09:46,"Twitter Web App",51,10,"x351222650","ZeboydGames","Cthulhu now runs Zeboyd Games",4402,13,1636,"","Dev duo of Cosmic Star Heroine, Cthulhu Saves the World, Cthulhu Saves Christmas & Breath of Death VII. Follow @werezompire / @bill_at_zeboyd for even more!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bill_at_zeboyd/status/1329139835081265154","B.Stiernberg","Houston, TX","Developer, Zeboyd Games - Graphics & Assets.  Makers of Cthulhu Saves the World, Penny Arcade 3 & 4, Breath of Death VII, and Cosmic Star Heroine.","https://t.co/MstuTZIGJh",FALSE,4104,805,149,32309,10886,2010-07-23 02:59:20,FALSE,"https://t.co/MstuTZIGJh","http://zeboyd.com",,"https://pbs.twimg.com/profile_banners/169760495/1483654622","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/928351327612157952/N8In91p1_normal.jpg"
"x169760495","x1328427800735395841",2020-11-16 20:00:43,"bill_at_zeboyd","Spoiler: They really liked Cthulhu Saves Christmas. :) https://t.co/hg8GMWZyDm","TweetDeck",95,,,,FALSE,TRUE,0,3,,,,,"twitter.com/toucharcade/st…","https://t.co/hg8GMWZyDm","https://twitter.com/toucharcade/status/1328423973055471617",,,,,,,,,"x42779858","werezompire","en",,,,,,,,,,,,,,,,"x1328425292340342784","Spoiler: They really liked Cthulhu Saves Christmas. :) https://t.co/hg8GMWZyDm",2020-11-16 19:50:45,"Twitter Web App",19,3,"x42779858","werezompire","Robert Boyd",7967,139,55232,"","Cthulhu Saves Christmas. Cosmic Star Heroine. Cthulhu Saves the World. Maker of indie JRPGs. Member of the Church of Jesus Christ of Latter-Day Saints.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bill_at_zeboyd/status/1328427800735395841","B.Stiernberg","Houston, TX","Developer, Zeboyd Games - Graphics & Assets.  Makers of Cthulhu Saves the World, Penny Arcade 3 & 4, Breath of Death VII, and Cosmic Star Heroine.","https://t.co/MstuTZIGJh",FALSE,4104,805,149,32309,10886,2010-07-23 02:59:20,FALSE,"https://t.co/MstuTZIGJh","http://zeboyd.com",,"https://pbs.twimg.com/profile_banners/169760495/1483654622","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/928351327612157952/N8In91p1_normal.jpg"
"x1212296144916598785","x1330957026168549377",2020-11-23 19:30:57,"MrChintzy","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK","Twitter for Android",140,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,,,"x351222650","ZeboydGames","en",,,,,,,,,,,,,,,,"x1330953281259114497","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK",2020-11-23 19:16:04,"Twitter Web App",29,12,"x351222650","ZeboydGames","Cthulhu now runs Zeboyd Games",4402,13,1636,"","Dev duo of Cosmic Star Heroine, Cthulhu Saves the World, Cthulhu Saves Christmas & Breath of Death VII. Follow @werezompire / @bill_at_zeboyd for even more!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MrChintzy/status/1330957026168549377","Preston Mc","Houston, TX","Executive Producer🎥/Concept Artist🎨: @ExcavateStudios #MyFamiliarRPG✌️🎃🌮",,FALSE,17,22,0,295,587,2020-01-01 08:55:17,FALSE,,,,"https://pbs.twimg.com/profile_banners/1212296144916598785/1605144695",,"http://pbs.twimg.com/profile_images/1329204430491824136/ryq10W0q_normal.jpg"
"x1039983620469993472","x1330956988105302016",2020-11-23 19:30:48,"ExcavateStudios","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK","Twitter for Android",140,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,,,"x351222650","ZeboydGames","en",,,,,,,,,,,,,,,,"x1330953281259114497","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK",2020-11-23 19:16:04,"Twitter Web App",29,12,"x351222650","ZeboydGames","Cthulhu now runs Zeboyd Games",4402,13,1636,"","Dev duo of Cosmic Star Heroine, Cthulhu Saves the World, Cthulhu Saves Christmas & Breath of Death VII. Follow @werezompire / @bill_at_zeboyd for even more!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ExcavateStudios/status/1330956988105302016","My Familiar","Houston, TX","⛏️We dig games!🎮⭐#MyFamiliarRPG⭐","https://t.co/sgybmbzgq5",FALSE,813,100,12,892,2172,2018-09-12 21:06:31,FALSE,"https://t.co/sgybmbzgq5","http://www.instagram.com/ExcavateStudios",,"https://pbs.twimg.com/profile_banners/1039983620469993472/1601157331",,"http://pbs.twimg.com/profile_images/1310500960679202817/IDLxNNnE_normal.jpg"
"x343461072","x1330954221332680706",2020-11-23 19:19:48,"CrowCrowters","We're so glad @CultVultures enjoyed their playthrough of Cthulhu Saves Christmas. It's still available for pre-order, wink wink! https://t.co/2JsqO3XOOj","Twitter Web App",139,,,,FALSE,TRUE,0,5,,,,,,,,,,,,,,,,"x3363027100 x2161586678","LimitedRunGames CultVultures","en",,,,,,,,,,,,,,,,"x1330239577102176270","We're so glad @CultVultures enjoyed their playthrough of Cthulhu Saves Christmas. It's still available for pre-order, wink wink! https://t.co/2JsqO3XOOj",2020-11-21 20:00:04,"AgoraPulse Manager",84,5,"x3363027100","LimitedRunGames","Limited Run Games",178502,286,33544,"limitedrungames.freshdesk.com","We publish physical games! Fans of indies, retro games, cult classics, and more. We like collectible goodies and game preservation. #ForeverPhysical",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CrowCrowters/status/1330954221332680706","Millard Crow📚 / Crow_spaceboy ⚔","austin","FGC, art/writing, 🏳️‍🌈dudes. Multi-Game @twitch affiliate. anarchic refusal of coherence. he/him/they","https://t.co/NvB6gCdtBY",FALSE,437,1787,5,14065,16573,2011-07-27 16:23:36,FALSE,"https://t.co/NvB6gCdtBY","http://crowspaceboy.com",,"https://pbs.twimg.com/profile_banners/343461072/1600194553","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1004164405272051712/So5DWCBf_normal.jpg"
"x3225726649","x1330953757413163011",2020-11-23 19:17:58,"animequeen1432","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK","Twitter for Android",140,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,,,"x351222650","ZeboydGames","en",,,,,,,,,,,,,,,,"x1330953281259114497","Want more Cthulhu-y goodness after Cthulhu Saves Christmas? Of course you do, that's a stupid question! Buy Cosmic Star Heroine, now discounted on the Nintendo Switch. I have the best cameo ever in that game!
https://t.co/T2ylcgYPwK",2020-11-23 19:16:04,"Twitter Web App",29,12,"x351222650","ZeboydGames","Cthulhu now runs Zeboyd Games",4402,13,1636,"","Dev duo of Cosmic Star Heroine, Cthulhu Saves the World, Cthulhu Saves Christmas & Breath of Death VII. Follow @werezompire / @bill_at_zeboyd for even more!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/animequeen1432/status/1330953757413163011","#B.L.M. ❄⚔️❄ Cosmic Enbity Sarah 💛💜🖤","Las Vegas, NV | ey/em/eir pls!","29, pokedweeb, cosplayer, barista, often in need of attention
|| Enby aroace.
#BLACKLIVESMATTER","https://t.co/H0NjolSt7W",FALSE,181,313,7,76218,116255,2015-05-25 00:01:32,FALSE,"https://t.co/H0NjolSt7W","https://linktr.ee/_fluffybunnybadass_",,"https://pbs.twimg.com/profile_banners/3225726649/1432514205","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1324268056831352833/StUpNKY5_normal.jpg"
