"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x22872700","x1331012130653540355",2020-11-23 23:09:55,"SorryAmigos","This is how I got Anthem, AC Origins, The Division 2, Red Dead 2, Mafia 3, Farcry New Dawn, Control, Deus Ex, The Witcher 3, Jedi Fallen Order, Shadow of the Tomb Raider, Dying Light, Man of Medan, Sleeping Dogs, Rogue Company, Rise of the Tomb Ra https://t.co/XxyyX9qsk5","Twitter Web App",247,,,,TRUE,FALSE,0,0,,,,,"twitter.com/BRGaming/statu…","https://t.co/XxyyX9qsk5","https://twitter.com/BRGaming/status/1331008407780790274",,,,,,,,,,,"en","x1331008407780790274","Every gamer is guilty of this 🤣 

(via priscilla.amparo/IG) https://t.co/ne2Ue1W96d",2020-11-23 22:55:08,"Twitter Media Studio",221,17,"x730618709593739264","BRGaming","B/R Gaming",170698,620,5851,"Hyrule","News 🎮 Culture 👾 Releases 📆",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SorryAmigos/status/1331012130653540355","ᴡᴇs҉ 🎃","MS Gulf Coast","""What are you gonna do with those pies, boys?""  
370z Owner  
Corgi Dad  
#HalloweenForever","https://t.co/uSN935kjg8",FALSE,515,401,10,23694,20448,2009-03-05 03:24:57,FALSE,"https://t.co/uSN935kjg8","http://instagram.com/sorryamigos",,"https://pbs.twimg.com/profile_banners/22872700/1590102312","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1330285327693574162/pJyoZfup_normal.jpg"
"x520165818","x1331008252809670657",2020-11-23 22:54:31,"LazyLayXe","Final fantasy 7 remake
Dying light
Conquerors blade

Last 2 since they've provided endless content that made me laugh with others and highlight https://t.co/g1JkI0H3HF","Twitter for Android",143,,,,TRUE,FALSE,0,0,,,,,"twitter.com/WeAreSuperRare…","https://t.co/g1JkI0H3HF","https://twitter.com/WeAreSuperRare/status/1330908994404315137",,,,,,,,,,,"en","x1330908994404315137","Video games have helped so many of us survive this year! Which 3 are you most thankful for having played? 🎮🕹️ #SuperRareGratitude https://t.co/3H7JvsuZeK",2020-11-23 16:20:06,"Hootsuite Inc.",8,0,"x892242321206632449","WeAreSuperRare","Super Rare™",616,256,6183,"United States","We're an alliance of gamers, artists and content creators dedicated to building positive online communities. #WeAreSuperRare",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LazyLayXe/status/1331008252809670657","Lazy Working Otaku","CA","Twitch Affiliate and make vids for fun!
https://t.co/XiHLTbHOPC 
Proud member of @WeAreSuperRare!!!","https://t.co/lvHLx8P7P0",FALSE,255,275,21,12350,21902,2012-03-10 06:55:18,FALSE,"https://t.co/lvHLx8P7P0","https://www.twitch.tv/lay_xe",,"https://pbs.twimg.com/profile_banners/520165818/1437263110","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1187231061320728576/UkeRCC8d_normal.jpg"
"x1136116212641832961","x1331004328828551170",2020-11-23 22:38:55,"NowItsSafe","@DyingLightGame You guys need to show Dying Light 2 before the end of 2020. It seems like this games has fallen off the face of the earth.","Twitter for iPhone",138,,"x1328954190","DyingLightGame",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1328954190","DyingLightGame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NowItsSafe/status/1331004328828551170","C•","London, England","Stay safe out there and have a good day!",,FALSE,67,15,0,1566,15677,2019-06-05 03:43:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1136116212641832961/1605639907",,"http://pbs.twimg.com/profile_images/1328949149711085569/7A_0yHLv_normal.jpg"
"x1136116212641832961","x1328861028390559744",2020-11-18 00:42:12,"NowItsSafe","Any chance we could see Dying Light 2 at the game awards? I've been craving anything from that game for over a year now. @DyingLightGame","Twitter for iPhone",136,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x1328954190","DyingLightGame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NowItsSafe/status/1328861028390559744","C•","London, England","Stay safe out there and have a good day!",,FALSE,67,15,0,1566,15677,2019-06-05 03:43:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1136116212641832961/1605639907",,"http://pbs.twimg.com/profile_images/1328949149711085569/7A_0yHLv_normal.jpg"
"x1136116212641832961","x1330014342020878336",2020-11-21 05:05:04,"NowItsSafe","@BestGamerAliYT New leaked Dying Light 2 screenshot! https://t.co/F3oaLfh1em","Twitter for iPhone",52,,"x3287429161","BestGamerAliYT",FALSE,FALSE,1,0,,,,,,,,"http://pbs.twimg.com/media/EnUo_rPVQAQmNDa.jpg","https://t.co/F3oaLfh1em","https://twitter.com/NowItsSafe/status/1330014342020878336/photo/1","photo","http://pbs.twimg.com/media/EnUo_rPVQAQmNDa.jpg","https://t.co/F3oaLfh1em","https://twitter.com/NowItsSafe/status/1330014342020878336/photo/1",,"x3287429161","BestGamerAliYT","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NowItsSafe/status/1330014342020878336","C•","London, England","Stay safe out there and have a good day!",,FALSE,67,15,0,1566,15677,2019-06-05 03:43:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1136116212641832961/1605639907",,"http://pbs.twimg.com/profile_images/1328949149711085569/7A_0yHLv_normal.jpg"
"x1136116212641832961","x1329906223957721090",2020-11-20 21:55:26,"NowItsSafe","Will Dying Light 2 be at the game awards? Maybe? Possibly? Please...
@DyingLightGame","Twitter for iPhone",84,,,,FALSE,FALSE,3,1,,,,,,,,,,,,,,,,"x1328954190","DyingLightGame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NowItsSafe/status/1329906223957721090","C•","London, England","Stay safe out there and have a good day!",,FALSE,67,15,0,1566,15677,2019-06-05 03:43:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1136116212641832961/1605639907",,"http://pbs.twimg.com/profile_images/1328949149711085569/7A_0yHLv_normal.jpg"
"x1295487975304855565","x1330992786053722115",2020-11-23 21:53:03,"bingoszFN","@eevil0 @NVIDIAGeForcePL @Mkbix1 i dying light 2","Twitter Web App",15,"x1330992604251623434","x1107380348005027840","eevil0",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1107380348005027840 x94063349 x1183744701989609474","eevil0 NVIDIAGeForcePL Mkbix1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bingoszFN/status/1330992786053722115","bingosz","","","https://t.co/3ESH5HStfS",FALSE,22,42,0,125,887,2020-08-17 22:29:55,FALSE,"https://t.co/3ESH5HStfS","https://www.youtube.com/channel/UCMrHNwoaW354ZS-ErHG727Q",,"https://pbs.twimg.com/profile_banners/1295487975304855565/1604094548",,"http://pbs.twimg.com/profile_images/1300863260636389376/sAH0Qw3l_normal.jpg"
"x1202408350547431424","x1330988451471175686",2020-11-23 21:35:50,"AyeeKyro","@DyingLightGame Is Dying Light 2 going to have VR support for PC?","Twitter Web App",65,,"x1328954190","DyingLightGame",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1328954190","DyingLightGame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AyeeKyro/status/1330988451471175686","Kyro オーラ","","Guitarist @AuraRVA // Katie💜","https://t.co/u76KDtbkY2",FALSE,161,592,1,5352,19967,2019-12-05 02:04:34,FALSE,"https://t.co/u76KDtbkY2","https://www.youtube.com/c/ayeekyroo",,"https://pbs.twimg.com/profile_banners/1202408350547431424/1605458840",,"http://pbs.twimg.com/profile_images/1328017158903910401/z7vLIW6x_normal.jpg"
"x23788615","x1330982399472234499",2020-11-23 21:11:47,"1_800_4_probs","@PSN_ElectricDC Dying Light 2","Twitter Web App",13,"x1330944449778749442","x126670762","PSN_ElectricDC",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x126670762","PSN_ElectricDC","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/1_800_4_probs/status/1330982399472234499","Problematic for the People","Chicago","-  GO
    HIT
    TAKE
    TOOLS",,FALSE,736,1401,30,46660,68876,2009-03-11 16:44:54,FALSE,,,,"https://pbs.twimg.com/profile_banners/23788615/1399252523","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1058001982932176896/BK3wFMDy_normal.jpg"
"x1328948908920336385","x1330978625865347074",2020-11-23 20:56:47,"KANA010920","@TechlandGames @DyingLightGame Sorry to bother but wanted to ask, do you already have an approximate or exact release date for Dying Light 2? (Sorry if something is misspelled it's that I'm not very good at English) https://t.co/E5U22gByYE","Twitter for Android",215,,"x80828466","TechlandGames",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/EniWAW4WEAAMIao.jpg","https://t.co/E5U22gByYE","https://twitter.com/KANA010920/status/1330978625865347074/photo/1","photo","http://pbs.twimg.com/media/EniWAW4WEAAMIao.jpg","https://t.co/E5U22gByYE","https://twitter.com/KANA010920/status/1330978625865347074/photo/1",,"x80828466 x1328954190","TechlandGames DyingLightGame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KANA010920/status/1330978625865347074","♠♣K.N♣♠","Chile","Solo soy una persona normal sin algo interesante que poner acá",,FALSE,0,32,0,4,24,2020-11-18 06:34:54,FALSE,,,,"https://pbs.twimg.com/profile_banners/1328948908920336385/1605682011",,"http://pbs.twimg.com/profile_images/1328950207984398343/nKTeVvqL_normal.jpg"
