"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x161825793","x1331204027250597889",2020-11-24 11:52:27,"PhilMHepler","#CTOT 140:PS5s are Among Us! out NOW! #CHECKALOOK
Dark souls Switch
Ryan plays with Blades
Rachel and #AmongUs
#Idiotnews ensues
#PS5 preorders
Hogwarts Legacy
#DemonsSouls
#GodOfWarRagnarok
#PS5 vs. #GamePass
Youtube:https://t.co/4yi4cwKU89
Intro:@DanFurmusic
#Freesticker #Xbox","Twitter for iPhone",140,,,,FALSE,TRUE,0,4,,,"CTOT CHECKALOOK AmongUs",,,,,,,,,,,,,"x897319554740875268","TheIdiotSavants","en",,,,,,,,,,,,,,,,"x1331199879989833729","#CTOT 140:PS5s are Among Us! out NOW! #CHECKALOOK
Dark souls Switch
Ryan plays with Blades
Rachel and #AmongUs
#Idiotnews ensues
#PS5 preorders
Hogwarts Legacy
#DemonsSouls
#GodOfWarRagnarok
#PS5 vs. #GamePass
Youtube:https://t.co/4yi4cwKU89
Intro:@DanFurmusic
#Freesticker #Xbox",2020-11-24 11:35:58,"Twitter for Android",4,4,"x897319554740875268","TheIdiotSavants","The Idiot Savants",2164,3471,3769,"The Internet","Join @thedoomsaurus, @Deadeye887 & other guests for weekly rants about video games/movies/pop culture. #podernfamily",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PhilMHepler/status/1331204027250597889","philmhepler","South Bend, Indiana","links and such:
https://t.co/Z8duXnDMJU

https://t.co/v2xPgzJmrm

https://t.co/uVBgoC7UK6",,FALSE,26,65,3,1827,290,2010-07-01 22:02:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/161825793/1545014402","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1074494440109170693/NRC-YcVr_normal.jpg"
"x1081481808171151360","x1331200340927115268",2020-11-24 11:37:48,"XboxInfos","#CTOT 140:PS5s are Among Us! out NOW! #CHECKALOOK
Dark souls Switch
Ryan plays with Blades
Rachel and #AmongUs
#Idiotnews ensues
#PS5 preorders
Hogwarts Legacy
#DemonsSouls
#GodOfWarRagnarok
#PS5 vs. #GamePass
Youtube:https://t.co/4yi4cwKU89
Intro:@DanFurmusic
#Freesticker #Xbox","XboxInfos",140,,,,FALSE,TRUE,0,4,,,"CTOT CHECKALOOK AmongUs",,,,,,,,,,,,,"x897319554740875268","TheIdiotSavants","en",,,,,,,,,,,,,,,,"x1331199879989833729","#CTOT 140:PS5s are Among Us! out NOW! #CHECKALOOK
Dark souls Switch
Ryan plays with Blades
Rachel and #AmongUs
#Idiotnews ensues
#PS5 preorders
Hogwarts Legacy
#DemonsSouls
#GodOfWarRagnarok
#PS5 vs. #GamePass
Youtube:https://t.co/4yi4cwKU89
Intro:@DanFurmusic
#Freesticker #Xbox",2020-11-24 11:35:58,"Twitter for Android",4,4,"x897319554740875268","TheIdiotSavants","The Idiot Savants",2164,3471,3769,"The Internet","Join @thedoomsaurus, @Deadeye887 & other guests for weekly rants about video games/movies/pop culture. #podernfamily",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/XboxInfos/status/1331200340927115268","Xbox Infos","World Wide Web","All #Xbox Tweets",,FALSE,932,12,7,33740,165,2019-01-05 09:25:30,FALSE,,,,"https://pbs.twimg.com/profile_banners/1081481808171151360/1602612261",,"http://pbs.twimg.com/profile_images/1316077020154134528/62VOyO3t_normal.jpg"
"x897319554740875268","x1331199879989833729",2020-11-24 11:35:58,"TheIdiotSavants","#CTOT 140:PS5s are Among Us! out NOW! #CHECKALOOK
Dark souls Switch
Ryan plays with Blades
Rachel and #AmongUs
#Idiotnews ensues
#PS5 preorders
Hogwarts Legacy
#DemonsSouls
#GodOfWarRagnarok
#PS5 vs. #GamePass
Youtube:https://t.co/4yi4cwKU89
Intro:@DanFurmusic
#Freesticker #Xbox","Twitter for Android",279,,,,FALSE,FALSE,4,4,,,"CTOT CHECKALOOK AmongUs Idiotnews PS5 DemonsSouls GodOfWarRagnarok PS5 GamePass Freesticker Xbox",,"bit.ly/3pSkoEB","https://t.co/4yi4cwKU89","https://bit.ly/3pSkoEB",,,,,,,,,"x1123273233292251137","DanFurmusic","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheIdiotSavants/status/1331199879989833729","The Idiot Savants","The Internet","Join @thedoomsaurus, @Deadeye887 & other guests for weekly rants about video games/movies/pop culture. #podernfamily","https://t.co/dWHiaZs0xJ",FALSE,2164,3471,17,3769,11394,2017-08-15 04:50:28,FALSE,"https://t.co/dWHiaZs0xJ","https://www.theidiotsavants.co/social",,"https://pbs.twimg.com/profile_banners/897319554740875268/1598477043","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1323386074387927046/ylky1ZeC_normal.jpg"
"x827646397","x1331186859423264770",2020-11-24 10:44:14,"kloubear88","@boomeranggames Hogwarts legacy https://t.co/5D6GsP1FqH","Twitter for iPhone",15,"x1331183278183698435","x95222877","boomeranggames",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/EnlTZGyWEAAYuTv.jpg","https://t.co/5D6GsP1FqH","https://twitter.com/kloubear88/status/1331186859423264770/photo/1","photo","http://pbs.twimg.com/media/EnlTZGyWEAAYuTv.jpg","https://t.co/5D6GsP1FqH","https://twitter.com/kloubear88/status/1331186859423264770/photo/1",,"x95222877","boomeranggames","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kloubear88/status/1331186859423264770","Kirsty Louise 🎅🏻🎄","United Kingdom","partner to Lee ♥️ mum to a beautiful 28 week preemie boy 👶🏻💙 love my dog ❤️ competition addict, Christmas obsessed 🎅🏻 also love Halloween 🎃",,FALSE,3035,4946,431,328953,189281,2012-09-16 19:50:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/827646397/1604387532","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1328022201803661313/OFgoVBAJ_normal.jpg"
"x827646397","x1331186778133422081",2020-11-24 10:43:54,"kloubear88","@boomeranggames Has to be Hogwarts legacy it looks absolutely amazing , I’d do love to win a PS5 for my very deserving partner ♥️♥️♥️ https://t.co/Ne3822ImQV","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x827646397 x95222877","kloubear88 boomeranggames","en",,,,,,,,,,,,,,,,"x1330861955435945985","@boomeranggames Has to be Hogwarts legacy it looks absolutely amazing , I’d do love to win a PS5 for my very deserving partner ♥️♥️♥️ https://t.co/Ne3822ImQV",2020-11-23 13:13:11,"Twitter for iPhone",2,1,"x827646397","kloubear88","Kirsty Louise 🎅🏻🎄",3035,4946,328953,"United Kingdom","partner to Lee ♥️ mum to a beautiful 28 week preemie boy 👶🏻💙 love my dog ❤️ competition addict, Christmas obsessed 🎅🏻 also love Halloween 🎃",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kloubear88/status/1331186778133422081","Kirsty Louise 🎅🏻🎄","United Kingdom","partner to Lee ♥️ mum to a beautiful 28 week preemie boy 👶🏻💙 love my dog ❤️ competition addict, Christmas obsessed 🎅🏻 also love Halloween 🎃",,FALSE,3035,4946,431,328953,189281,2012-09-16 19:50:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/827646397/1604387532","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1328022201803661313/OFgoVBAJ_normal.jpg"
"x827646397","x1330861955435945985",2020-11-23 13:13:11,"kloubear88","@boomeranggames Has to be Hogwarts legacy it looks absolutely amazing , I’d do love to win a PS5 for my very deserving partner ♥️♥️♥️ https://t.co/Ne3822ImQV","Twitter for iPhone",117,"x1323305116808536064","x95222877","boomeranggames",FALSE,FALSE,2,1,,,,,,,,"http://pbs.twimg.com/media/Engr5NWXUAMCIZL.jpg","https://t.co/Ne3822ImQV","https://twitter.com/kloubear88/status/1330861955435945985/photo/1","photo","http://pbs.twimg.com/media/Engr5NWXUAMCIZL.jpg","https://t.co/Ne3822ImQV","https://twitter.com/kloubear88/status/1330861955435945985/photo/1",,"x95222877","boomeranggames","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kloubear88/status/1330861955435945985","Kirsty Louise 🎅🏻🎄","United Kingdom","partner to Lee ♥️ mum to a beautiful 28 week preemie boy 👶🏻💙 love my dog ❤️ competition addict, Christmas obsessed 🎅🏻 also love Halloween 🎃",,FALSE,3035,4946,431,328953,189281,2012-09-16 19:50:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/827646397/1604387532","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1328022201803661313/OFgoVBAJ_normal.jpg"
"x1285882448602116097","x1331186396493717512",2020-11-24 10:42:23,"PZMAC1","I AM SO SO EXCITED for HOGWARTS LEGACY!!! 🧙‍♂️🧙‍♀️ We haven't had a Harry Potter game for such a long time, this could be amazing!! 😍😍 #hogwartslegacy #harrypotter

'Hogwarts Legacy' Won't Feature Multiplayer Raids, Single-Player Only - https://t.co/WLfJqvBGK1 https://t.co/Zm6X9fIQk4","Twitter for Android",139,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x750671253216882688","RedHeadGamer16","en",,,,,,,,,,,,,,,,"x1331183027590926339","I AM SO SO EXCITED for HOGWARTS LEGACY!!! 🧙‍♂️🧙‍♀️ We haven't had a Harry Potter game for such a long time, this could be amazing!! 😍😍 #hogwartslegacy #harrypotter

'Hogwarts Legacy' Won't Feature Multiplayer Raids, Single-Player Only - https://t.co/WLfJqvBGK1 https://t.co/Zm6X9fIQk4",2020-11-24 10:29:00,"eClincher",4,1,"x750671253216882688","RedHeadGamer16","Redhead Gaming",479,139,3694,"United Kingdom","Top quality gaming content brought you by an overly positive, goofy and fan-focused red head, who just loves to SING! 😁",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PZMAC1/status/1331186396493717512","CoolSkeleton95","","Nyeh heh heh!",,FALSE,217,729,3,6493,12398,2020-07-22 10:21:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/1285882448602116097/1605455557",,"http://pbs.twimg.com/profile_images/1328032820330180614/IZvjQME8_normal.jpg"
"x750671253216882688","x1331183027590926339",2020-11-24 10:29:00,"RedHeadGamer16","I AM SO SO EXCITED for HOGWARTS LEGACY!!! 🧙‍♂️🧙‍♀️ We haven't had a Harry Potter game for such a long time, this could be amazing!! 😍😍 #hogwartslegacy #harrypotter

'Hogwarts Legacy' Won't Feature Multiplayer Raids, Single-Player Only - https://t.co/WLfJqvBGK1 https://t.co/Zm6X9fIQk4","eClincher",260,,,,FALSE,FALSE,4,1,,,"hogwartslegacy harrypotter",,"ecs.page.link/gNVxF","https://t.co/WLfJqvBGK1","https://ecs.page.link/gNVxF","http://pbs.twimg.com/media/EnlP6MtW8AEcj2-.jpg","https://t.co/Zm6X9fIQk4","https://twitter.com/RedHeadGamer16/status/1331183027590926339/photo/1","photo","http://pbs.twimg.com/media/EnlP6MtW8AEcj2-.jpg","https://t.co/Zm6X9fIQk4","https://twitter.com/RedHeadGamer16/status/1331183027590926339/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RedHeadGamer16/status/1331183027590926339","Redhead Gaming","United Kingdom","Top quality gaming content brought you by an overly positive, goofy and fan-focused red head, who just loves to SING! 😁","https://t.co/ekCrDV3tS7",FALSE,479,139,0,3694,2353,2016-07-06 12:42:28,FALSE,"https://t.co/ekCrDV3tS7","https://www.youtube.com/channel/UC-KrBgCp5Cqg9Beuz80AhKA/videos",,"https://pbs.twimg.com/profile_banners/750671253216882688/1585052626","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1274307107844751361/ejU3CU4s_normal.jpg"
"x1934503716","x1331165239266701313",2020-11-24 09:18:19,"rudipitt","Hogwarts Legacy - Official Reveal Trailer | PS5
https://t.co/79x41BgKKS #HogwartsLegacy #PS5Showcase #Playstation5Showcase #PlayStation5 #PS5 #PlayStation #Sony #deadarticgames","Twitter for Android",140,,,,FALSE,TRUE,0,14,,,"HogwartsLegacy PS5Showcase",,"deadarticgames.com/2020/09/hogwar…","https://t.co/79x41BgKKS","https://www.deadarticgames.com/2020/09/hogwarts-legacy-official-reveal-trailer.html",,,,,,,,,"x4354197195","DeadarticGames","en",,,,,,,,,,,,,,,,"x1306525854307176448","Hogwarts Legacy - Official Reveal Trailer | PS5
https://t.co/79x41BgKKS #HogwartsLegacy #PS5Showcase #Playstation5Showcase #PlayStation5 #PS5 #PlayStation #Sony #deadarticgames",2020-09-17 09:30:12,"Twitter for Android",4,14,"x4354197195","DeadarticGames","DeadArtic Games™",4045,2668,4791,"","🎮 Videogames website 🎮                 https://t.co/zydyAFZWQu 
https://t.co/oh3t8Z3kww  
                ✉contacto@deadarticgames.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rudipitt/status/1331165239266701313","Rudi A.R.","","Games-Games-Games...",,FALSE,2865,2265,38,4360,5026,2013-10-04 15:08:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1934503716/1389198454","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/420954950798409728/94V0ojuH_normal.jpeg"
"x1319282517090865160","x1331163352001699843",2020-11-24 09:10:49,"anakloesmos","@wizardfes hogwarts legacy tp game ps","Twitter for Android",26,"x1331162530748657664","x1157164084850122752","wizardfes",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1157164084850122752","wizardfes","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/anakloesmos/status/1331163352001699843","rai ✷","ravenclaw 🦅 |  cabin ③ | ♀","gtau ah mls","https://t.co/Fb9rogiKZX",FALSE,515,585,6,10172,2360,2020-10-22 14:20:50,FALSE,"https://t.co/Fb9rogiKZX","https://secreto.site/17369150",,"https://pbs.twimg.com/profile_banners/1319282517090865160/1605027221",,"http://pbs.twimg.com/profile_images/1331185609466003456/9Tty_Eob_normal.jpg"
