"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1210175478612533248","x1331220265645301761",2020-11-24 12:56:58,"PowersOfUnited","hold up the jawa eyes in Lego Star Wars the Skywalker Saga could make me a GREAT Blox watch custom","Twitter for iPhone",98,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PowersOfUnited/status/1331220265645301761","monke powers","ebay","hi i play games and eat food all day",,FALSE,40,261,0,1280,147,2019-12-26 12:29:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/1210175478612533248/1606043598",,"http://pbs.twimg.com/profile_images/1330469342006419459/Fe1b8X8c_normal.jpg"
"x1326673632916017152","x1331213737777373184",2020-11-24 12:31:02,"gamertalkz","I know this appeared back in Augast but it looks so good!!
LEGO® Star Wars The Skywalker Saga – Official Gameplay Trailer 
https://t.co/r6XNqVXvTR","Twitter Web App",146,,,,FALSE,FALSE,0,0,,,,,"youtu.be/wVXSaS0GgZ0","https://t.co/r6XNqVXvTR","https://youtu.be/wVXSaS0GgZ0",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gamertalkz/status/1331213737777373184","Gamertalkz podcast","","This is the official twitter account of the GamerTalkz podcast. If you'd like to contact me for any reason, you can do so here",,FALSE,2,27,0,27,4,2020-11-11 23:50:46,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1326673632916017152","x1329766616029138946",2020-11-20 12:40:41,"gamertalkz","About to start recording todays show!! While you wait, here's the official gameplay trailer for Lego Star Wars: The Skywalker Saga
https://t.co/Fn4mwAjRNH","Twitter Web App",154,,,,FALSE,FALSE,0,0,,,,,"youtu.be/2yTr5oS99_c","https://t.co/Fn4mwAjRNH","https://youtu.be/2yTr5oS99_c",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gamertalkz/status/1329766616029138946","Gamertalkz podcast","","This is the official twitter account of the GamerTalkz podcast. If you'd like to contact me for any reason, you can do so here",,FALSE,2,27,0,27,4,2020-11-11 23:50:46,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x2475773076","x1331210117149319168",2020-11-24 12:16:39,"Jan2070","@thegameawards @bgegame (BG&amp;E2) , @KerbalSpaceP (KSP2), @TTGames (Lego Star Wars The Skywalker Saga), @Nintendo (BOTW2, Metroid Prime 4), @Hytale (Hytale) and @humankindgame Humankind","Twitter for Android",172,"x1331031637392457730","x2806914710","thegameawards",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2806914710 x874373977061195776 x334738427 x37935307 x307902310 x718938043579637760 x1116284718322991105","thegameawards bgegame KerbalSpaceP TTGames Nintendo Hytale humankindgame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Jan2070/status/1331210117149319168","Jan1270","Oldenburg","Jan / 19 / Fachinformatiker in Ausbildung / Oldenburg",,FALSE,13,127,0,1616,21410,2014-05-03 17:29:43,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/579633030823837696/FX_I6SwY_normal.jpg"
"x49272860","x1331110213823262727",2020-11-24 05:39:40,"GoPirate","@NINTENthusiast No More Heroes III, Lego Star Wars Skywalker Saga, Little Nightmares 2, Balan Wonderworld, NEO: The World Ends With You, and BOTW sequel.","Twitter for iPhone",137,"x1331081867114684416","x438188257","NINTENthusiast",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x438188257","NINTENthusiast","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GoPirate/status/1331110213823262727","Captain Falcon","Twilight Town","#NintendoFanboy",,FALSE,43,440,1,5886,980,2009-06-21 08:47:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/49272860/1602484457","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322796168208789504/Kvtj581R_normal.jpg"
"x49272860","x1328974891840729094",2020-11-18 08:14:40,"GoPirate","My most anticipated games of 2021

Halo Infinite
No More Heroes III
Little Nightmares 2
Lego Star Wars: The Skywalker Saga
God of War Ragnarok","Twitter for iPhone",142,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GoPirate/status/1328974891840729094","Captain Falcon","Twilight Town","#NintendoFanboy",,FALSE,43,440,1,5886,980,2009-06-21 08:47:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/49272860/1602484457","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322796168208789504/Kvtj581R_normal.jpg"
"x206246168","x1331061728910651392",2020-11-24 02:27:00,"dsneybuf91","@DeJaheim @Qu3n71nHur13y The Deluxe Edition comes with characters from Rogue One, Solo, and The Mandalorian: https://t.co/m3VCmu95SA","Twitter Web App",107,"x1331050888337772544","x1267300124482588672","DeJaheim",FALSE,FALSE,2,0,,,,,"bestbuy.com/site/lego-star…","https://t.co/m3VCmu95SA","https://www.bestbuy.com/site/lego-star-wars-the-skywalker-saga-deluxe-edition-nintendo-switch-nintendo-switch-lite/6428348.p?skuId=6428348&ref=212&loc=1&ref=212&loc=BM01&gclid=CjwKCAiA2O39BRBjEiwApB2IkjlaZxUps9dfd8nfFY3rZK8F3WQHx7FEvCwb6dcoSbTBr1-YZzc3hBoCgmUQAvD_BwE&gclsrc=aw.ds",,,,,,,,,"x1267300124482588672 x1120727200028925952","DeJaheim Qu3n71nHur13y","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dsneybuf91/status/1331061728910651392","NJ🇵🇭","","Filipino-American nerd, #AsianForBlackLives, and essential worker, he/him.","https://t.co/tHrjTBQB4b",FALSE,25,69,0,3449,2441,2010-10-22 15:29:38,FALSE,"https://t.co/tHrjTBQB4b","http://www.manic-expression.com/author/dsneybuf/",,"https://pbs.twimg.com/profile_banners/206246168/1600050330","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1304625437314887680/h_SclZI5_normal.jpg"
"x1240941551364321286","x1331021612670455809",2020-11-23 23:47:36,"dl_hub","LEGO Star Wars The Skywalker Saga Video coming tomorrow!! Keep your eyes peeled 👀👀👀","Twitter for Android",83,,,,FALSE,FALSE,6,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dl_hub/status/1331021612670455809","DL Elite Hub","","Hello, Im DL Elite Hub and I'm a YouTuber that covers all things LEGO Video Games! I am currently covering LEGO Star Wars The Skywalker Saga! 2k+ Subscribers😁","https://t.co/zouZPGdT6p",FALSE,110,301,0,469,669,2020-03-20 10:01:45,FALSE,"https://t.co/zouZPGdT6p","https://www.youtube.com/c/DLEliteHub",,"https://pbs.twimg.com/profile_banners/1240941551364321286/1587972849",,"http://pbs.twimg.com/profile_images/1254399559167606784/xSIPG3_E_normal.jpg"
"x1240941551364321286","x1328443370000224257",2020-11-16 21:02:35,"dl_hub","Here are 2 NEW Gameplay Screenshots for LEGO Star Wars The Skywalker Saga. I also discuss and look at screenshots for the LEGO Holiday Special! ENJOY :D
#lego #legostarwars #starwars #theskywalkersaga #HolidaySpecial 
https://t.co/cYwr3nQXp7","Twitter Web App",241,,,,FALSE,FALSE,2,0,,,"lego legostarwars starwars theskywalkersaga HolidaySpecial",,"youtu.be/9bB0i6xtRlQ","https://t.co/cYwr3nQXp7","https://youtu.be/9bB0i6xtRlQ",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dl_hub/status/1328443370000224257","DL Elite Hub","","Hello, Im DL Elite Hub and I'm a YouTuber that covers all things LEGO Video Games! I am currently covering LEGO Star Wars The Skywalker Saga! 2k+ Subscribers😁","https://t.co/zouZPGdT6p",FALSE,110,301,0,469,669,2020-03-20 10:01:45,FALSE,"https://t.co/zouZPGdT6p","https://www.youtube.com/c/DLEliteHub",,"https://pbs.twimg.com/profile_banners/1240941551364321286/1587972849",,"http://pbs.twimg.com/profile_images/1254399559167606784/xSIPG3_E_normal.jpg"
"x878450161940398080","x1330944565713448966",2020-11-23 18:41:26,"The_AsTROLLmech","🔴 LEGO Star Wars: The Skywalker Saga - Classic Characters, How Would It Work? (Speculation)

📹 Video - https://t.co/Ef1kkA1fR5 https://t.co/m5ezEsWbgl","Twitter Web App",140,,,,FALSE,TRUE,0,2,,,,,"youtube.com/watch?v=svqMWs…","https://t.co/Ef1kkA1fR5","https://www.youtube.com/watch?v=svqMWsHvBaI&feature=youtu.be",,,,,,,,,"x1010481997431672833","Tact_Op","en",,,,,,,,,,,,,,,,"x1330941779881897989","🔴 LEGO Star Wars: The Skywalker Saga - Classic Characters, How Would It Work? (Speculation)

📹 Video - https://t.co/Ef1kkA1fR5 https://t.co/m5ezEsWbgl",2020-11-23 18:30:22,"Twitter Web App",10,2,"x1010481997431672833","Tact_Op","Tactical_Operator",191,62,1322,"","3,500 subscriber YouTuber who uploads LEGO Star Wars: The Skywalker Saga & The Lord of the Rings: Gollum content!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/The_AsTROLLmech/status/1330944565713448966","The AsTrollmech","","1.5k subscriber LEGO star wars, battlefront 2, and Star Wars squadrons and fallen order youtube channel who creates various types of star wars content","https://t.co/Jh1k0zQtaE",FALSE,155,683,0,5850,31480,2017-06-24 03:10:14,FALSE,"https://t.co/Jh1k0zQtaE","https://www.youtube.com/channel/UCl6XyLk6KCpiu7n7b_d1rkg",,"https://pbs.twimg.com/profile_banners/878450161940398080/1601645870",,"http://pbs.twimg.com/profile_images/1231346515450454016/Tue2hjvF_normal.jpg"
