"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1329265005401841664","x1331217859750494211",2020-11-24 12:47:25,"elliegotbit","I wanna play a new game, anyone know a good game for ps4? Already played the following:

Tlou 1 and 2
Life is Strange 1
Tomb Raider (latest one)
Infamous
Borderlands 2
Little Nightmares
LBP (all three) 
Apex Legends
Fall Guys
Stardew Valley
Uncharted
Beyond two souls","Twitter for Android",267,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elliegotbit/status/1331217859750494211","marcie","","I play casually | Valorant | Genshin Impact | Apex | TLOU | Tomb raider | Life is Strange",,FALSE,30,60,0,162,142,2020-11-19 03:27:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1329265005401841664/1605758289",,"http://pbs.twimg.com/profile_images/1329809142765109249/Mbu3fl79_normal.jpg"
"x1020751004","x1331212903677128710",2020-11-24 12:27:43,"JackmoveJohnny","Earned 2 PSN trophies (1 silver and 1 bronze) in Little Nightmares https://t.co/CTHFa7rQ0P","PSNProfiles.com",90,,,,FALSE,FALSE,0,0,,,,,"PSNProfiles.com/JackmoveJohnny","https://t.co/CTHFa7rQ0P","https://PSNProfiles.com/JackmoveJohnny",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JackmoveJohnny/status/1331212903677128710","John Hartsfield","Memphis","Streamer, PlayStation gamer, Memphis Grizzlies & Tennessee Titans fan, https://t.co/X8IZSeSDzi & https://t.co/v8rxff1drA","https://t.co/FPRymrHKoD",FALSE,4116,647,39,58792,33547,2012-12-18 22:02:43,FALSE,"https://t.co/FPRymrHKoD","https://teespring.com/stores/jiggy-merch-2",,"https://pbs.twimg.com/profile_banners/1020751004/1576600639","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1292175318933999616/jnzBj43d_normal.jpg"
"x1300844870815416320","x1331176791357198337",2020-11-24 10:04:13,"kontroll711","@CoryxKenshin dear coryxkenshin little nightmares 2 the demo is out so play it please","Twitter for Android",85,,"x155411974","CoryxKenshin",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x155411974","CoryxKenshin","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kontroll711/status/1331176791357198337","Kontroll711","","whether you like it or not I'm with the shogun",,FALSE,0,6,0,1,0,2020-09-01 17:16:21,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x49272860","x1331110213823262727",2020-11-24 05:39:40,"GoPirate","@NINTENthusiast No More Heroes III, Lego Star Wars Skywalker Saga, Little Nightmares 2, Balan Wonderworld, NEO: The World Ends With You, and BOTW sequel.","Twitter for iPhone",137,"x1331081867114684416","x438188257","NINTENthusiast",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x438188257","NINTENthusiast","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GoPirate/status/1331110213823262727","Captain Falcon","Twilight Town","#NintendoFanboy",,FALSE,43,440,1,5886,980,2009-06-21 08:47:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/49272860/1602484457","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322796168208789504/Kvtj581R_normal.jpg"
"x49272860","x1328974891840729094",2020-11-18 08:14:40,"GoPirate","My most anticipated games of 2021

Halo Infinite
No More Heroes III
Little Nightmares 2
Lego Star Wars: The Skywalker Saga
God of War Ragnarok","Twitter for iPhone",142,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GoPirate/status/1328974891840729094","Captain Falcon","Twilight Town","#NintendoFanboy",,FALSE,43,440,1,5886,980,2009-06-21 08:47:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/49272860/1602484457","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322796168208789504/Kvtj581R_normal.jpg"
"x784828231","x1331108876188610560",2020-11-24 05:34:21,"BohemianBeaut","@DIYolie The bottle says 2, but I take 3 now. With 3 I sleep a little longer but I do have really bad nightmares","Twitter for iPhone",103,"x1331108624446468096","x31713008","DIYolie",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x31713008","DIYolie","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BohemianBeaut/status/1331108876188610560","Flower Child","Maryland","Standing outside. If anyone asks I’m outstanding.","https://t.co/6fQXPzeFiP",FALSE,4061,622,37,208965,552,2012-08-27 14:51:23,FALSE,"https://t.co/6fQXPzeFiP","https://www.hudl.com/video/3/4220013/5dd0573d66562f0d144b0590",,"https://pbs.twimg.com/profile_banners/784828231/1480885630","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1326911937029021697/L6OCBxaz_normal.jpg"
"x1110999858956128257","x1331088222806560772",2020-11-24 04:12:17,"IZZGNsfw","So I found this old traditional picture I made way back in high school. And since Little Nightmares 2 demo is out, I thought I should share this. Because I LOVE Little Nightmares. #Littlenightmares #fanart #traditionalart #marker https://t.co/PIMlGOwKHw","Twitter for Android",140,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,,,"x988903449432485888","BrendanPham4","en",,,,,,,,,,,,,,,,"x1330541331559702531","So I found this old traditional picture I made way back in high school. And since Little Nightmares 2 demo is out, I thought I should share this. Because I LOVE Little Nightmares. #Littlenightmares #fanart #traditionalart #marker https://t.co/PIMlGOwKHw",2020-11-22 15:59:08,"Twitter for iPhone",126,12,"x988903449432485888","BrendanPham4","Brendan Pham (Commissions Open)",4011,118,1578,"","Howdy, I’m an aspiring animator, storyboarder, comic book artist, and concept artist. Also YouTuber. NSFW account: https://t.co/ZMUv3GsNLu",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IZZGNsfw/status/1331088222806560772","🚫-No sAbe diBujAr aNatOmiA-🚫","","🍎mi cuenta principal de cosas sanas🍎 ✨@IsaacDGAUwU✨ y aqui subire cosas no cristianas qwq🔥 🚫no prometo que salgan bien 🚫",,FALSE,64,36,0,610,597,2019-03-27 20:19:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1110999858956128257/1589389175",,"http://pbs.twimg.com/profile_images/1227422208999460864/BA-zNsWd_normal.jpg"
"x1265357857274212355","x1331085592566714369",2020-11-24 04:01:50,"Draco_Paradise","@Nick_Astalos @thegameawards Top 5 most anticipated
5. Horizon
4. Zelda sequel
3. Security Breach
2. Little Nightmares 2
1. Rift Apart","Twitter Web App",105,"x1331071181290491904","x499452792","Nick_Astalos",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x499452792 x2806914710","Nick_Astalos thegameawards","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Draco_Paradise/status/1331085592566714369","Clauliz","","",,FALSE,5,20,0,400,310,2020-05-26 19:04:53,FALSE,,,,"https://pbs.twimg.com/profile_banners/1265357857274212355/1590520512",,"http://pbs.twimg.com/profile_images/1265360454441824256/Se8TSPFx_normal.jpg"
"x1328681790006063104","x1331078886646554626",2020-11-24 03:35:11,"taisunara","Ready for little nightmares 2 https://t.co/qN6yOyyroI","Twitter for iPhone",70,,,,FALSE,TRUE,0,1,,,,,,,,"http://pbs.twimg.com/media/Enjb6FxXEAEoqIM.jpg","https://t.co/qN6yOyyroI","https://twitter.com/Thefreeknd1/status/1331055483457851392/photo/1","photo","http://pbs.twimg.com/media/Enjb6FxXEAEoqIM.jpg","https://t.co/qN6yOyyroI","https://twitter.com/Thefreeknd1/status/1331055483457851392/photo/1",,"x1289287992172072960","Thefreeknd1","en",,,,,,,,,,,,,,,,"x1331055483457851392","Ready for little nightmares 2 https://t.co/qN6yOyyroI",2020-11-24 02:02:11,"Twitter for iPhone",1,1,"x1289287992172072960","Thefreeknd1","Hattori Hanzō",234,227,1963,"","@thefreeknd is under fire #freeme",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/taisunara/status/1331078886646554626","thais","","misguided ghost",,FALSE,5,7,0,219,245,2020-11-17 12:50:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/1328681790006063104/1605624263",,"http://pbs.twimg.com/profile_images/1329261115046506497/tXIYa6ej_normal.jpg"
"x883117496","x1331071075187384320",2020-11-24 03:04:09,"TheCritzHimself","So I found this old traditional picture I made way back in high school. And since Little Nightmares 2 demo is out, I thought I should share this. Because I LOVE Little Nightmares. #Littlenightmares #fanart #traditionalart #marker https://t.co/PIMlGOwKHw","Twitter Web App",140,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,,,"x988903449432485888","BrendanPham4","en",,,,,,,,,,,,,,,,"x1330541331559702531","So I found this old traditional picture I made way back in high school. And since Little Nightmares 2 demo is out, I thought I should share this. Because I LOVE Little Nightmares. #Littlenightmares #fanart #traditionalart #marker https://t.co/PIMlGOwKHw",2020-11-22 15:59:08,"Twitter for iPhone",126,12,"x988903449432485888","BrendanPham4","Brendan Pham (Commissions Open)",4011,118,1578,"","Howdy, I’m an aspiring animator, storyboarder, comic book artist, and concept artist. Also YouTuber. NSFW account: https://t.co/ZMUv3GsNLu",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheCritzHimself/status/1331071075187384320","The Master of the Mist","The Octogon","Just a dude a who likes art and memes. And occasionally makes some. Oh, and by the way, I occasionally post what would be considered lewd works, So no minors.",,FALSE,28,3133,4,31317,44518,2012-10-15 21:02:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/883117496/1441056380","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/667459218539180032/6_Nq237R_normal.jpg"
