"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x841001161083752452","x1331223035156762625",2020-11-24 13:07:59,"x_xgamer14","Now that you've all had a chance to get acquainted with Planet Coaster: Console Edition, it's time to ask an important question: who is your favourite Planet Coaster Entertainer? Let us know down below! https://t.co/8MOlCibrUK","Twitter for iPhone",140,,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,,,"x3197276380","PlanetCoaster","en",,,,,,,,,,,,,,,,"x1330938928623390721","Now that you've all had a chance to get acquainted with Planet Coaster: Console Edition, it's time to ask an important question: who is your favourite Planet Coaster Entertainer? Let us know down below! https://t.co/8MOlCibrUK",2020-11-23 18:19:02,"Sprout Social",178,4,"x3197276380","PlanetCoaster","Planet Coaster",44350,6,4360,"Cambridge, England","Planet Coaster is the next evolution in coaster park simulation games from the experts in the genre.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/x_xgamer14/status/1331223035156762625","GerScorpio 👾🇩🇪🏁🇷🇺🔭🇳🇱🎮","Bei Köln, Deutschland","Gamer 👾,🦂,❤️🚗: Nissan GT-R 2017 🤤.So du mir,so ich dir! ;) Wissenschaft & Astronomie🖤🔭,Realist, Motorsport Fan🤤🏎 Produkt Designer ✏️ Meinungsäußernd!","https://t.co/8PKXB6drmG",FALSE,210,120,0,27144,46904,2017-03-12 19:01:16,FALSE,"https://t.co/8PKXB6drmG","https://www.youtube.com/channel/UCkODTStnPNaJmmr9s04zw4A",,"https://pbs.twimg.com/profile_banners/841001161083752452/1575499615",,"http://pbs.twimg.com/profile_images/1286230896375402496/nmT3Uq2q_normal.jpg"
"x841001161083752452","x1329157413023395842",2020-11-18 20:19:56,"x_xgamer14","The PlayStation 5 will be launching all around the world tomorrow, which means that our Planet Coaster: Console Edition community will all be able to play! We can't wait for tomorrow! https://t.co/5yoEQQriSI","Twitter for iPhone",139,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x3197276380","PlanetCoaster","en",,,,,,,,,,,,,,,,"x1329122315582513157","The PlayStation 5 will be launching all around the world tomorrow, which means that our Planet Coaster: Console Edition community will all be able to play! We can't wait for tomorrow! https://t.co/5yoEQQriSI",2020-11-18 18:00:28,"Sprout Social",150,10,"x3197276380","PlanetCoaster","Planet Coaster",44350,6,4360,"Cambridge, England","Planet Coaster is the next evolution in coaster park simulation games from the experts in the genre.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/x_xgamer14/status/1329157413023395842","GerScorpio 👾🇩🇪🏁🇷🇺🔭🇳🇱🎮","Bei Köln, Deutschland","Gamer 👾,🦂,❤️🚗: Nissan GT-R 2017 🤤.So du mir,so ich dir! ;) Wissenschaft & Astronomie🖤🔭,Realist, Motorsport Fan🤤🏎 Produkt Designer ✏️ Meinungsäußernd!","https://t.co/8PKXB6drmG",FALSE,210,120,0,27144,46904,2017-03-12 19:01:16,FALSE,"https://t.co/8PKXB6drmG","https://www.youtube.com/channel/UCkODTStnPNaJmmr9s04zw4A",,"https://pbs.twimg.com/profile_banners/841001161083752452/1575499615",,"http://pbs.twimg.com/profile_images/1286230896375402496/nmT3Uq2q_normal.jpg"
"x841001161083752452","x1329418368710025219",2020-11-19 13:36:53,"x_xgamer14","With the launch of #PlayStation5 around the rest of the world, Planet Coaster: Console Edition is available everywhere!

Thank you to all the PlanCo Fam for joining us on this exciting ride! Now go and start the park of your dreams! We're looking forward to seeing it! https://t.co/afBrgBFEo9","Twitter for iPhone",139,,,,FALSE,TRUE,0,7,,,"PlayStation5",,,,,,,,,,,,,"x3197276380","PlanetCoaster","en",,,,,,,,,,,,,,,,"x1329386450958364675","With the launch of #PlayStation5 around the rest of the world, Planet Coaster: Console Edition is available everywhere!

Thank you to all the PlanCo Fam for joining us on this exciting ride! Now go and start the park of your dreams! We're looking forward to seeing it! https://t.co/afBrgBFEo9",2020-11-19 11:30:03,"Sprout Social",156,7,"x3197276380","PlanetCoaster","Planet Coaster",44350,6,4360,"Cambridge, England","Planet Coaster is the next evolution in coaster park simulation games from the experts in the genre.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/x_xgamer14/status/1329418368710025219","GerScorpio 👾🇩🇪🏁🇷🇺🔭🇳🇱🎮","Bei Köln, Deutschland","Gamer 👾,🦂,❤️🚗: Nissan GT-R 2017 🤤.So du mir,so ich dir! ;) Wissenschaft & Astronomie🖤🔭,Realist, Motorsport Fan🤤🏎 Produkt Designer ✏️ Meinungsäußernd!","https://t.co/8PKXB6drmG",FALSE,210,120,0,27144,46904,2017-03-12 19:01:16,FALSE,"https://t.co/8PKXB6drmG","https://www.youtube.com/channel/UCkODTStnPNaJmmr9s04zw4A",,"https://pbs.twimg.com/profile_banners/841001161083752452/1575499615",,"http://pbs.twimg.com/profile_images/1286230896375402496/nmT3Uq2q_normal.jpg"
"x841001161083752452","x1328628843394048000",2020-11-17 09:19:35,"x_xgamer14","@thegameawards The Last Of Us 2, Planet Coaster Console Edition","Twitter for iPhone",48,"x1328531832766296064","x2806914710","thegameawards",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/x_xgamer14/status/1328628843394048000","GerScorpio 👾🇩🇪🏁🇷🇺🔭🇳🇱🎮","Bei Köln, Deutschland","Gamer 👾,🦂,❤️🚗: Nissan GT-R 2017 🤤.So du mir,so ich dir! ;) Wissenschaft & Astronomie🖤🔭,Realist, Motorsport Fan🤤🏎 Produkt Designer ✏️ Meinungsäußernd!","https://t.co/8PKXB6drmG",FALSE,210,120,0,27144,46904,2017-03-12 19:01:16,FALSE,"https://t.co/8PKXB6drmG","https://www.youtube.com/channel/UCkODTStnPNaJmmr9s04zw4A",,"https://pbs.twimg.com/profile_banners/841001161083752452/1575499615",,"http://pbs.twimg.com/profile_images/1286230896375402496/nmT3Uq2q_normal.jpg"
"x882174402","x1331177535812624385",2020-11-24 10:07:11,"GertLushGaming","Planet Coaster: Console Edition is the perfect game to settle down with this winter. Review: 
https://t.co/KcFoJrNohg","Twitter Web App",134,,,,FALSE,TRUE,0,1,,,,,"gamesasylum.com/2020/11/24/pla…","https://t.co/KcFoJrNohg","https://www.gamesasylum.com/2020/11/24/planet-coaster-console-edition/",,,,,,,,,"x22638140","gamesasylum","en",,,,,,,,,,,,,,,,"x1331177119192387589","Planet Coaster: Console Edition is the perfect game to settle down with this winter. Review: 
https://t.co/KcFoJrNohg",2020-11-24 10:05:31,"Twitter Web App",1,1,"x22638140","gamesasylum","Games Asylum",3285,1885,67708,"United Kingdom","A long-running UK site covering whatever catches our eye. News, reviews, bargains, new indies. Hidden gem appreciative. Amazon Affiliate. My sash says Ultraman.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GertLushGaming/status/1331177535812624385","Gert Lush Gaming","England","Website covering all things pixellated #supportsmallstreamers 
YT:https://t.co/wkDgKkZ5jF
contact@gertlushgaming.co.uk","https://t.co/wU9v4hTBIk",FALSE,1610,1568,29,9187,2344,2012-10-15 12:03:42,FALSE,"https://t.co/wU9v4hTBIk","http://www.gertlushgaming.co.uk/",,"https://pbs.twimg.com/profile_banners/882174402/1524688264","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/989241715142864897/IFo6gc0k_normal.jpg"
"x22638140","x1331177119192387589",2020-11-24 10:05:31,"gamesasylum","Planet Coaster: Console Edition is the perfect game to settle down with this winter. Review: 
https://t.co/KcFoJrNohg","Twitter Web App",117,,,,FALSE,FALSE,1,1,,,,,"gamesasylum.com/2020/11/24/pla…","https://t.co/KcFoJrNohg","https://www.gamesasylum.com/2020/11/24/planet-coaster-console-edition/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gamesasylum/status/1331177119192387589","Games Asylum","United Kingdom","A long-running UK site covering whatever catches our eye. News, reviews, bargains, new indies. Hidden gem appreciative. Amazon Affiliate. My sash says Ultraman.","https://t.co/ZnZf8xipU3",FALSE,3285,1885,117,67708,2262,2009-03-03 16:02:35,FALSE,"https://t.co/ZnZf8xipU3","http://www.gamesasylum.com",,"https://pbs.twimg.com/profile_banners/22638140/1601129753","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1318495189569241090/q0XUawtl_normal.jpg"
"x1579923516","x1331146294878932994",2020-11-24 08:03:02,"TheXboxHub","Planet Coaster: Console Edition Review – Coasting Along Nicely | TheXboxHub #xboxone #xboxSeriesX #planetcoaster https://t.co/VlTYF5E3Vk https://t.co/GUW3IBQhXy","Buffer",136,,,,FALSE,FALSE,1,0,,,"xboxone xboxSeriesX planetcoaster",,"buff.ly/3pQsf5z","https://t.co/VlTYF5E3Vk","https://buff.ly/3pQsf5z","http://pbs.twimg.com/media/EnkugDSXEAEiC0t.jpg","https://t.co/GUW3IBQhXy","https://twitter.com/TheXboxHub/status/1331146294878932994/photo/1","photo","http://pbs.twimg.com/media/EnkugDSXEAEiC0t.jpg","https://t.co/GUW3IBQhXy","https://twitter.com/TheXboxHub/status/1331146294878932994/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheXboxHub/status/1331146294878932994","TheXboxHub","UK","Delivering all the news, reviews, opinions & videos from the world of Xbox - https://t.co/H9f1LxDMVz - https://t.co/qSiS9gpxcZ","https://t.co/UB3QJMorWK",FALSE,4154,3036,81,55373,1155,2013-07-09 09:49:58,FALSE,"https://t.co/UB3QJMorWK","http://www.thexboxhub.com",,"https://pbs.twimg.com/profile_banners/1579923516/1571066293","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/490825332778221568/5DXuNrQI_normal.png"
"x1579923516","x1330871730483687424",2020-11-23 13:52:01,"TheXboxHub","Planet Coaster: Console Edition Review – Coasting Along Nicely https://t.co/k9TACbnhvk #xboxone #xbox #gaming #videogames https://t.co/4IUOBWfcVw","Buffer",121,,,,FALSE,FALSE,0,3,,,"xboxone xbox gaming videogames",,"buff.ly/3flLtei","https://t.co/k9TACbnhvk","https://buff.ly/3flLtei","http://pbs.twimg.com/media/Eng0yUgXMAEK5by.jpg","https://t.co/4IUOBWfcVw","https://twitter.com/TheXboxHub/status/1330871730483687424/photo/1","photo","http://pbs.twimg.com/media/Eng0yUgXMAEK5by.jpg","https://t.co/4IUOBWfcVw","https://twitter.com/TheXboxHub/status/1330871730483687424/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheXboxHub/status/1330871730483687424","TheXboxHub","UK","Delivering all the news, reviews, opinions & videos from the world of Xbox - https://t.co/H9f1LxDMVz - https://t.co/qSiS9gpxcZ","https://t.co/UB3QJMorWK",FALSE,4154,3036,81,55373,1155,2013-07-09 09:49:58,FALSE,"https://t.co/UB3QJMorWK","http://www.thexboxhub.com",,"https://pbs.twimg.com/profile_banners/1579923516/1571066293","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/490825332778221568/5DXuNrQI_normal.png"
"x1579923516","x1330549754250530816",2020-11-22 16:32:36,"TheXboxHub","Planet Coaster: Console Edition Review – Coasting Along Nicely #XboxSeriesX #XboxOne #Xbox #PlanetCoaster #XboxGamePass https://t.co/VbgBSzCj44","WordPress.com",143,,,,FALSE,FALSE,3,2,,,"XboxSeriesX XboxOne Xbox PlanetCoaster XboxGamePass",,"thexboxhub.com/planet-coaster…","https://t.co/VbgBSzCj44","https://www.thexboxhub.com/planet-coaster-console-edition-review-coasting-along-nicely/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheXboxHub/status/1330549754250530816","TheXboxHub","UK","Delivering all the news, reviews, opinions & videos from the world of Xbox - https://t.co/H9f1LxDMVz - https://t.co/qSiS9gpxcZ","https://t.co/UB3QJMorWK",FALSE,4154,3036,81,55373,1155,2013-07-09 09:49:58,FALSE,"https://t.co/UB3QJMorWK","http://www.thexboxhub.com",,"https://pbs.twimg.com/profile_banners/1579923516/1571066293","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/490825332778221568/5DXuNrQI_normal.png"
"x21560443","x1331116332885057536",2020-11-24 06:03:59,"metacritic","Planet Coaster: Console Edition [PS5 - 77] https://t.co/U8hJcoHH8N
""Planet Coaster is a solid theme park sim, and one I can see myself spending an unhealthy amount of time playing."" - Playstation Lifestyle https://t.co/DZOsLkhjtE","Twitter Web App",205,,,,FALSE,FALSE,13,0,,,,,"metacritic.com/game/playstati…","https://t.co/U8hJcoHH8N","https://www.metacritic.com/game/playstation-5/planet-coaster-console-edition","http://pbs.twimg.com/media/EnkSwNyUYAAV4wP.jpg","https://t.co/DZOsLkhjtE","https://twitter.com/metacritic/status/1331116332885057536/photo/1","photo","http://pbs.twimg.com/media/EnkSwNyUYAAV4wP.jpg","https://t.co/DZOsLkhjtE","https://twitter.com/metacritic/status/1331116332885057536/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/metacritic/status/1331116332885057536","metacritic","California","(Jason Dietz / Marc Doyle)  - Reviews & Scores from The Best Critics in Film, Music, TV and Games at https://t.co/D2xckPQXgL [Inst: @Metacritic]","http://t.co/Ns1muzSwJ6",FALSE,77771,426,2247,28761,4775,2009-02-22 11:43:36,TRUE,"http://t.co/Ns1muzSwJ6","http://www.metacritic.com/",,"https://pbs.twimg.com/profile_banners/21560443/1570073592","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/527528131171590144/EQXs3lpX_normal.png"
