"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x636868373","x1331198771359850498",2020-11-24 11:31:34,"LewisCarr0l","@DrShyGuy It's you who's out, Doc. Out of your mind!

Wonder why Pragmata is not on the leaked schedule.","Twitter for Android",94,"x1331197915121979394","x2782394828","DrShyGuy",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2782394828","DrShyGuy","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LewisCarr0l/status/1331198771359850498","Lewis Carrol","","",,FALSE,36,244,0,4447,8950,2012-07-16 10:37:52,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/984333337924980737/aaZi9M_W_normal.jpg"
"x636868373","x1331175405361958912",2020-11-24 09:58:43,"LewisCarr0l","@AestheticGamer1 Do you know why Pragmata is nowhere to be seen on the leaked schedule?","Twitter for Android",70,"x1329574988433694720","x980354275","AestheticGamer1",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x980354275","AestheticGamer1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LewisCarr0l/status/1331175405361958912","Lewis Carrol","","",,FALSE,36,244,0,4447,8950,2012-07-16 10:37:52,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/984333337924980737/aaZi9M_W_normal.jpg"
"x3301533928","x1331198103442042882",2020-11-24 11:28:54,"bender_kyun","@fabrizioschiavi is there going to be a Black Friday sale for Pragmata Pro this year?","Twitter Web App",85,,"x19059517","fabrizioschiavi",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x19059517","fabrizioschiavi","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bender_kyun/status/1331198103442042882","Bender","","I watch anime and play touhou
hard 1cc's: 6, 7, 8, 10
lunatic 1cc's: 6, 7
creator of FDF2 Ultra
アヤヤ!!!!",,FALSE,21,46,0,496,2356,2015-05-28 09:42:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/3301533928/1459805237","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1100402025219514371/30Qw4nCc_normal.png"
"x1242393597615333377","x1331111563760082944",2020-11-24 05:45:02,"Reveur_jiggy","@thegameawards Mine is pragmata. It gives me Kojima vibes and also beyond good and evil 2","Twitter for iPhone",74,"x1331031637392457730","x2806914710","thegameawards",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Reveur_jiggy/status/1331111563760082944","reveur_jiggy","Gangtok, India","",,FALSE,208,278,0,4138,10871,2020-03-24 10:11:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/1242393597615333377/1587688772",,"http://pbs.twimg.com/profile_images/1321986897355268096/s71CJ04k_normal.jpg"
"x1055145865428525056","x1330596667884711944",2020-11-22 19:39:01,"xboxtoto420","Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hitman 3, NBA 2K21, Pragmata, etc are going to look and play great on #XboxSeriesX the world's most powerful console. #PowerYourDreams #XGonGiveItToYa 💚🙅🏼‍♂️🔥","Twitter for iPhone",140,,,,FALSE,TRUE,0,3637,,,,,,,,,,,,,,,,"x19595287","aarongreenberg","en",,,,,,,,,,,,,,,,"x1271201894807945217","Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hitman 3, NBA 2K21, Pragmata, etc are going to look and play great on #XboxSeriesX the world's most powerful console. #PowerYourDreams #XGonGiveItToYa 💚🙅🏼‍♂️🔥",2020-06-11 22:05:24,"Twitter for iPhone",17680,3637,"x19595287","aarongreenberg","Aaron Greenberg 🙅🏼‍♂️💚U",201820,1909,26207,"Seattle, WA","GM, Xbox Games Marketing at Microsoft. Board member @GamersOutreach, @SpecialEffect VP. Lover of games, music, people, travel, culture & happiness.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/xboxtoto420/status/1330596667884711944","thomas","","Bleach Xbox💚Game pass",,FALSE,53,425,0,133,6868,2018-10-24 17:15:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/1055145865428525056/1540417859",,"http://pbs.twimg.com/profile_images/1143444453920792581/fV9MNaAJ_normal.jpg"
"x1260228334874583041","x1330573397953114112",2020-11-22 18:06:33,"RitikkDeus_Ex","@GameLeaksRumors Where Is Pragmata.....","Twitter Web App",22,"x1329458447734149121","x1315435894493585408","GameLeaksRumors",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1315435894493585408","GameLeaksRumors","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RitikkDeus_Ex/status/1330573397953114112","Di₹ection","","It's Personal.....",,FALSE,1,119,0,526,424,2020-05-12 15:21:12,FALSE,,,,"https://pbs.twimg.com/profile_banners/1260228334874583041/1598949318",,"http://pbs.twimg.com/profile_images/1298445906262384641/GCZbM7V5_normal.jpg"
"x954599830709526528","x1330551852409233410",2020-11-22 16:40:56,"King_Shadow89","Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hitman 3, NBA 2K21, Pragmata, etc are going to look and play great on #XboxSeriesX the world's most powerful console. #PowerYourDreams #XGonGiveItToYa 💚🙅🏼‍♂️🔥","Twitter for Android",140,,,,FALSE,TRUE,0,3637,,,,,,,,,,,,,,,,"x19595287","aarongreenberg","en",,,,,,,,,,,,,,,,"x1271201894807945217","Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hitman 3, NBA 2K21, Pragmata, etc are going to look and play great on #XboxSeriesX the world's most powerful console. #PowerYourDreams #XGonGiveItToYa 💚🙅🏼‍♂️🔥",2020-06-11 22:05:24,"Twitter for iPhone",17680,3637,"x19595287","aarongreenberg","Aaron Greenberg 🙅🏼‍♂️💚U",201820,1909,26207,"Seattle, WA","GM, Xbox Games Marketing at Microsoft. Board member @GamersOutreach, @SpecialEffect VP. Lover of games, music, people, travel, culture & happiness.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/King_Shadow89/status/1330551852409233410","👑 King Blue👑 🇨🇦🇦🇬","inside your house ","#BLM #Gamer #Raptors #FuckNRA #Progressive  #FBR  #ADOS #BlackBrownUnite #Diversity #impeachtrump  #GunControl #NetNeutrality",,FALSE,2902,2882,6,35913,141732,2018-01-20 06:21:50,FALSE,,,,"https://pbs.twimg.com/profile_banners/954599830709526528/1591542513",,"http://pbs.twimg.com/profile_images/1221618293896773632/J8So4f5v_normal.jpg"
"x2364404258","x1330551568077369346",2020-11-22 16:39:48,"Xx_lawa_xX","Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hitman 3, NBA 2K21, Pragmata, etc are going to look and play great on #XboxSeriesX the world's most powerful console. #PowerYourDreams #XGonGiveItToYa 💚🙅🏼‍♂️🔥","Twitter for iPhone",140,,,,FALSE,TRUE,0,3637,,,,,,,,,,,,,,,,"x19595287","aarongreenberg","en",,,,,,,,,,,,,,,,"x1271201894807945217","Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hitman 3, NBA 2K21, Pragmata, etc are going to look and play great on #XboxSeriesX the world's most powerful console. #PowerYourDreams #XGonGiveItToYa 💚🙅🏼‍♂️🔥",2020-06-11 22:05:24,"Twitter for iPhone",17680,3637,"x19595287","aarongreenberg","Aaron Greenberg 🙅🏼‍♂️💚U",201820,1909,26207,"Seattle, WA","GM, Xbox Games Marketing at Microsoft. Board member @GamersOutreach, @SpecialEffect VP. Lover of games, music, people, travel, culture & happiness.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xx_lawa_xX/status/1330551568077369346","PS5 💙","Sverige ❤️🌞💚 Kurdistan","FCB 💙❤️ LIFE WITH PLAYSTATION 💙💙💙💙💙",,FALSE,422,1621,0,2266,33154,2014-02-27 16:35:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/2364404258/1601128464","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1269756236121153541/TBo-5AXy_normal.jpg"
"x1258718440090730499","x1330518486859313152",2020-11-22 14:28:21,"PhilPhailure","Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hitman 3, NBA 2K21, Pragmata, etc are going to look and play great on #XboxSeriesX the world's most powerful console. #PowerYourDreams #XGonGiveItToYa 💚🙅🏼‍♂️🔥","Twitter for Android",140,,,,FALSE,TRUE,0,3637,,,,,,,,,,,,,,,,"x19595287","aarongreenberg","en",,,,,,,,,,,,,,,,"x1271201894807945217","Congrats to our friends at Sony on their show today. Xbox fans should know titles like GTA V, Resident Evil Village, Hitman 3, NBA 2K21, Pragmata, etc are going to look and play great on #XboxSeriesX the world's most powerful console. #PowerYourDreams #XGonGiveItToYa 💚🙅🏼‍♂️🔥",2020-06-11 22:05:24,"Twitter for iPhone",17680,3637,"x19595287","aarongreenberg","Aaron Greenberg 🙅🏼‍♂️💚U",201820,1909,26207,"Seattle, WA","GM, Xbox Games Marketing at Microsoft. Board member @GamersOutreach, @SpecialEffect VP. Lover of games, music, people, travel, culture & happiness.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PhilPhailure/status/1330518486859313152","@𝕌𝕟𝕔𝕝𝕖ℙ𝕙𝕚𝕝ℙ𝕙𝕒𝕚𝕝𝕦𝕣𝕖","","𝕎𝕖 𝕒𝕣𝕖 𝕎𝕚𝕝𝕕ℙ𝕠𝕟𝕚𝕖𝕤©. 𝕎𝕖 𝕒𝕣𝕖 𝕝𝕖𝕘𝕚𝕠𝕟. 𝕎𝕖 𝕕𝕠 𝕟𝕠𝕥 𝕗𝕠𝕣𝕘𝕚𝕧𝕖. 𝕎𝕖 𝕕𝕠 𝕟𝕠𝕥 𝕗𝕠𝕣𝕘𝕖𝕥. 𝔼𝕩𝕡𝕖𝕔𝕥 𝕦𝕤!",,FALSE,412,455,2,7052,24349,2020-05-08 11:20:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/1258718440090730499/1588937538",,"http://pbs.twimg.com/profile_images/1289313922240188423/F5MuwInV_normal.jpg"
"x1181873339394068480","x1330155707535159299",2020-11-21 14:26:48,"GETPOLYMORPHED","@xNagomikaze Power Stone 2
Power Stone Collection
Pragmata
Pro Cast Sports Fishing
Professor Layton vs. Phoenix Wright: Ace Attorney
Pro Yakyuu? Satsujin Jiken!
Progear
Project Justice
Project X Zone
Project X Zone 2
Puzz Loop
Puzz Loop 2
Puzzle Fighter
Quiz &amp; Dragons: Capcom Quiz Game","Twitter Web App",277,"x1330155672126754818","x1181873339394068480","GETPOLYMORPHED",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x3030760460","xNagomikaze","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GETPOLYMORPHED/status/1330155707535159299","shay","","no pronouns ›:3 💛🤍💜🖤 check link byf","https://t.co/WnnTsTc6Gw",FALSE,138,601,2,52276,29220,2019-10-09 10:05:41,FALSE,"https://t.co/WnnTsTc6Gw","https://listography.com/hugify",,"https://pbs.twimg.com/profile_banners/1181873339394068480/1592042696","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1321157416470413315/Ycl6OR9p_normal.jpg"
"x464840351","x1329948025222008841",2020-11-21 00:41:33,"OndrejPinka","@shanselman @imGaafar No Pragmata Pro. That’s criminal!

https://t.co/6mdiezgBKn","Twitter for iPhone",58,"x1329851580917563393","x5676102","shanselman",FALSE,FALSE,1,0,,,,,"en.m.wikipedia.org/wiki/PragmataP…","https://t.co/6mdiezgBKn","https://en.m.wikipedia.org/wiki/PragmataPro",,,,,,,,,"x5676102 x151865579","shanselman imGaafar","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OndrejPinka/status/1329948025222008841","Ondrej Pinka 🇳🇴","Kongsberg, Norge","Det er ikke bare bare.",,FALSE,26,441,1,2072,2421,2012-01-15 17:49:22,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000541361442/b825fd225c4b93ef0e9e8a04762b7e4d_normal.png"
