"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x518954029","x1331242806535462915",2020-11-24 14:26:33,"StephenWNix","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD","Twitter Web App",140,,,,FALSE,TRUE,0,295,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,"x1331031637392457730","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD",2020-11-24 00:27:26,"Twitter Web App",5576,295,"x2806914710","thegameawards","The Game Awards",350917,432,2943,"Los Angeles. London. Tokyo.","The Global Celebration of Video Games. Stream it Live December 10, 2020.  Produced by @geoffkeighley",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StephenWNix/status/1331242806535462915","Stephen Nix","OH","Gamer. Life is short.","https://t.co/qRfROtfzFL",FALSE,1527,5001,44,439336,191086,2012-03-08 22:41:41,FALSE,"https://t.co/qRfROtfzFL","http://www.twitch.tv/SomeonesDestiny",,"https://pbs.twimg.com/profile_banners/518954029/1602018440","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1307673403269283841/kRQhK3pe_normal.jpg"
"x1202476470955839488","x1331242691129188352",2020-11-24 14:26:05,"TomGMSM","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD","Twitter for Android",140,,,,FALSE,TRUE,0,295,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,"x1331031637392457730","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD",2020-11-24 00:27:26,"Twitter Web App",5576,295,"x2806914710","thegameawards","The Game Awards",350917,432,2943,"Los Angeles. London. Tokyo.","The Global Celebration of Video Games. Stream it Live December 10, 2020.  Produced by @geoffkeighley",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TomGMSM/status/1331242691129188352","TheMasterswordMaster","","Me",,FALSE,0,2,0,54,1,2019-12-05 06:35:17,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1202476718751178752/JJ70Km5C_normal.jpg"
"x846874317371703298","x1331242486589779970",2020-11-24 14:25:16,"IrishClover25","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD","Twitter for Android",140,,,,FALSE,TRUE,0,295,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,"x1331031637392457730","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD",2020-11-24 00:27:26,"Twitter Web App",5576,295,"x2806914710","thegameawards","The Game Awards",350917,432,2943,"Los Angeles. London. Tokyo.","The Global Celebration of Video Games. Stream it Live December 10, 2020.  Produced by @geoffkeighley",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IrishClover25/status/1331242486589779970","Mr.9 🎩","New York,USA","Name:David
Male/26
Kingdom Hearts = LIFE ❤❤️
Things i Love: *Studio Ghibli movies *Anime *Video Games (PS4) *Dog's (PitBulls) PSN ID: Irish-Clover25
🇺🇲🇮🇪☘️",,FALSE,304,2777,2,54284,92338,2017-03-28 23:59:06,FALSE,,,,"https://pbs.twimg.com/profile_banners/846874317371703298/1599344501",,"http://pbs.twimg.com/profile_images/1330980865200058376/CNRc-G80_normal.jpg"
"x763869113823309824","x1331240533109272581",2020-11-24 14:17:31,"AchieveTechAu","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD","Twitter for iPhone",140,,,,FALSE,TRUE,0,295,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,"x1331031637392457730","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD",2020-11-24 00:27:26,"Twitter Web App",5576,295,"x2806914710","thegameawards","The Game Awards",350917,432,2943,"Los Angeles. London. Tokyo.","The Global Celebration of Video Games. Stream it Live December 10, 2020.  Produced by @geoffkeighley",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AchieveTechAu/status/1331240533109272581","AchieveTech Au","Melbourne, Victoria","Gaming and nerdy stuff like comic books, star wars, anime the usual. Xbox GT: EliteSpartan130",,FALSE,142,2872,2,6988,82603,2016-08-11 22:46:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/763869113823309824/1595483978",,"http://pbs.twimg.com/profile_images/1285968823091257344/rRCXC0K8_normal.jpg"
"x1264677074037551106","x1331240390746398722",2020-11-24 14:16:57,"Kingdxmgamehub","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD","Twitter for iPhone",140,,,,FALSE,TRUE,0,295,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,"x1331031637392457730","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD",2020-11-24 00:27:26,"Twitter Web App",5576,295,"x2806914710","thegameawards","The Game Awards",350917,432,2943,"Los Angeles. London. Tokyo.","The Global Celebration of Video Games. Stream it Live December 10, 2020.  Produced by @geoffkeighley",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Kingdxmgamehub/status/1331240390746398722","Kingdxmgaming","Washington, DC","BECOME A PRO GAMER 🎮",,FALSE,58,54,0,10431,6375,2020-05-24 21:59:08,FALSE,,,,"https://pbs.twimg.com/profile_banners/1264677074037551106/1597709900",,"http://pbs.twimg.com/profile_images/1264708390594457600/_LzaRhb5_normal.jpg"
"x1502822486","x1331239119326904320",2020-11-24 14:11:53,"XN3RSFILES","Get a closer look at Resident Evil Village, the eighth main entry of the legendary survival horror series, in a new storybook-themed trailer. #REVillage

🌿 https://t.co/07e4MpYT5c https://t.co/cUvESdz7lO","Twitter for Android",140,,,,FALSE,TRUE,0,3024,,,,,,,,,,,,,,,,"x252882791","RE_Games","en",,,,,,,,,,,,,,,,"x1306336544278552578","Get a closer look at Resident Evil Village, the eighth main entry of the legendary survival horror series, in a new storybook-themed trailer. #REVillage

🌿 https://t.co/07e4MpYT5c https://t.co/cUvESdz7lO",2020-09-16 20:57:57,"Twitter Media Studio",7900,3024,"x252882791","RE_Games","Resident Evil",375106,66,5939,"Raccoon City","☣️ WARNING: Contents may be bio-hazardous. ☣️ #REVillage ESRB Rating: MATURE with Blood and Gore, Intense Violence, Nudity, Strong Language, Suggestive Themes",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/XN3RSFILES/status/1331239119326904320","DF","","",,FALSE,219,256,0,1450,4941,2013-06-11 12:42:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/1502822486/1604748484","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1325037632468836353/d4kq7gL4_normal.jpg"
"x967425802143969280","x1331237352501612545",2020-11-24 14:04:52,"MaryJay1988","I voted for Resident Evil Village for Most Anticipated Game!Find out who wins during @TheGameAwards live on December 10 on Twitter. #TheGameAwards https://t.co/JbYM85pJIv","Twitter Web App",172,,,,FALSE,FALSE,1,0,,,"TheGameAwards",,,,,"http://pbs.twimg.com/media/EnJS7iKVgAAPHjn.jpg","https://t.co/JbYM85pJIv","https://twitter.com/thegameawards/status/1329219007392583682/photo/1","photo","http://pbs.twimg.com/media/EnJS7iKVgAAPHjn.jpg","https://t.co/JbYM85pJIv","https://twitter.com/thegameawards/status/1329219007392583682/photo/1",,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MaryJay1988/status/1331237352501612545","Mary Jay","Смоленск, Россия","""To change the world around you, you have to change yourself""
Orthodox christian/ Animals lover/ Devil May Cry fan/ Resident Evil Ambassador/",,FALSE,445,393,5,22980,178711,2018-02-24 15:47:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/967425802143969280/1581027779","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980472253648375809/kym49Rvw_normal.jpg"
"x200210206","x1331237345572564993",2020-11-24 14:04:51,"somaimalek","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD","Twitter for iPhone",140,,,,FALSE,TRUE,0,295,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,"x1331031637392457730","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD",2020-11-24 00:27:26,"Twitter Web App",5576,295,"x2806914710","thegameawards","The Game Awards",350917,432,2943,"Los Angeles. London. Tokyo.","The Global Celebration of Video Games. Stream it Live December 10, 2020.  Produced by @geoffkeighley",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/somaimalek/status/1331237345572564993","Malek Somai","Tunisia","","https://t.co/cH56O4PD4b",FALSE,25,230,0,555,1288,2010-10-08 18:32:47,FALSE,"https://t.co/cH56O4PD4b","https://instagram.com/malek.somai?utm_source=ig_profile_share&igshid=1v9l0pqmlkxwd",,"https://pbs.twimg.com/profile_banners/200210206/1568977955","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1181346570945662976/Vj9cWfeC_normal.jpg"
"x1191366794432393216","x1331236232429514752",2020-11-24 14:00:25,"aqixtcy","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD","Twitter for Android",140,,,,FALSE,TRUE,0,295,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,"x1331031637392457730","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD",2020-11-24 00:27:26,"Twitter Web App",5576,295,"x2806914710","thegameawards","The Game Awards",350917,432,2943,"Los Angeles. London. Tokyo.","The Global Celebration of Video Games. Stream it Live December 10, 2020.  Produced by @geoffkeighley",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/aqixtcy/status/1331236232429514752","Keith Kurt Kennedy","","",,FALSE,3,145,0,466,7647,2019-11-04 14:49:22,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1254324214728966147/ZUxG84Gu_normal.jpg"
"x235776743","x1331231728795521027",2020-11-24 13:42:31,"laiceo","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD","Twitter for iPhone",140,,,,FALSE,TRUE,0,295,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,"x1331031637392457730","What's your most anticipated game?

- Elden Ring
- Halo Infinite
- Horizon Forbidden West
- God of War Sequel
- Resident Evil Village
- Zelda: Breath of the Wild Sequel

Vote now exclusively by DMing #TheGameAwards account on Twitter. https://t.co/gCLp6KZqsD",2020-11-24 00:27:26,"Twitter Web App",5576,295,"x2806914710","thegameawards","The Game Awards",350917,432,2943,"Los Angeles. London. Tokyo.","The Global Celebration of Video Games. Stream it Live December 10, 2020.  Produced by @geoffkeighley",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/laiceo/status/1331231728795521027","Playing Now","","Gaming And Movie News and Previews.",,FALSE,146,285,9,26080,31413,2011-01-09 02:10:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/235776743/1394822005","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/454456278622797825/xPswwvLE_normal.jpeg"
