"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1113395593890672641","x1330918242848792578",2020-11-23 16:56:51,"lyingunderfire","spacelords Oc and Alienbaby from  @wildgurkenwald I love hiiiim qq he is so cute and pretty &lt;3 &lt;3 I always like to draw him &gt;.,&lt; https://t.co/Wr4ZauCIQ1","Twitter Web App",149,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x355839249 x4235512289","cookykus wildgurkenwald","en",,,,,,,,,,,,,,,,"x1330826435632783362","spacelords Oc and Alienbaby from  @wildgurkenwald I love hiiiim qq he is so cute and pretty &lt;3 &lt;3 I always like to draw him &gt;.,&lt; https://t.co/Wr4ZauCIQ1",2020-11-23 10:52:02,"Twitter Web App",5,1,"x355839249","cookykus","Bibbs",96,165,696,"","german hobby artist (Ger,eng) // she/her // likes: DMC, BL, Yaoi.
I'll post everything I like in here. Scetches, finished artworks and so on :D",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lyingunderfire/status/1330918242848792578","lyingunderfire","The dark corners of my mind","Welcome to my closet!
~NSFW as hell!~
Here be many retweets of hot and horny men! 
~Likely in many various kinks!~",,FALSE,29,389,1,2601,13747,2019-04-03 10:59:30,FALSE,,,,"https://pbs.twimg.com/profile_banners/1113395593890672641/1592431471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1268512539266240518/wZs9Qekj_normal.jpg"
"x1186651658887016450","x1330883162851971074",2020-11-23 14:37:27,"swampadelic","let us travel to our inner space with the Spacelords... modern psychedelic music for colorful minds
https://t.co/RceDcG7m84","Twitter Web App",123,,,,FALSE,FALSE,0,0,,,,,"youtu.be/agM_zUEgehA","https://t.co/RceDcG7m84","https://youtu.be/agM_zUEgehA",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/swampadelic/status/1330883162851971074","Swampy's here and Jesus Freaks @gab","","married #MAGA mofo music freak whose savior is Jesus and Trump is my POTUS","https://t.co/csXLLX0w7e",FALSE,1807,1725,1,36800,2373,2019-10-22 14:33:34,FALSE,"https://t.co/csXLLX0w7e","https://www.tumblr.com/blog/swampy-sayin-it",,"https://pbs.twimg.com/profile_banners/1186651658887016450/1572537745",,"http://pbs.twimg.com/profile_images/1313409329622638592/IS1G_Xkl_normal.jpg"
"x355839249","x1330826435632783362",2020-11-23 10:52:02,"cookykus","spacelords Oc and Alienbaby from  @wildgurkenwald I love hiiiim qq he is so cute and pretty &lt;3 &lt;3 I always like to draw him &gt;.,&lt; https://t.co/Wr4ZauCIQ1","Twitter Web App",140,,,,FALSE,FALSE,5,1,,,,,,,,"http://pbs.twimg.com/media/EngLO9mXcAIPj-5.jpg","https://t.co/Wr4ZauCIQ1","https://twitter.com/cookykus/status/1330826435632783362/photo/1","photo","http://pbs.twimg.com/media/EngLO9mXcAIPj-5.jpg","https://t.co/Wr4ZauCIQ1","https://twitter.com/cookykus/status/1330826435632783362/photo/1",,"x4235512289","wildgurkenwald","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cookykus/status/1330826435632783362","Bibbs","","german hobby artist (Ger,eng) // she/her // likes: DMC, BL, Yaoi.
I'll post everything I like in here. Scetches, finished artworks and so on :D","https://t.co/N7SgpTPw8Z",FALSE,96,165,1,696,3891,2011-08-15 23:49:15,FALSE,"https://t.co/N7SgpTPw8Z","http://gengakusdrawings.deviantart.com/",,"https://pbs.twimg.com/profile_banners/355839249/1588971014","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1295049590035685377/4Fd8__c1_normal.jpg"
"x208097526","x1330712595930771457",2020-11-23 03:19:40,"skyrideone","Check out my broadcast from my PlayStation 4! #PS4live (Spacelords)  live at https://t.co/IwAlo5E3Kp","PlayStation®Network",100,,,,FALSE,FALSE,0,0,,,"PS4live",,"youtu.be/K2ovhRR5ZA0","https://t.co/IwAlo5E3Kp","https://youtu.be/K2ovhRR5ZA0",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/skyrideone/status/1330712595930771457","Skyrideone","Grove, OK","White Hat, hacker, Systems Engineer.","https://t.co/pV1akbokQZ",FALSE,29,142,2,18767,98,2010-10-26 16:39:29,FALSE,"https://t.co/pV1akbokQZ","http://www.actok.com",,"https://pbs.twimg.com/profile_banners/208097526/1428582222","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/747146753879703553/OCl1vARX_normal.jpg"
"x1276366835189985280","x1330593073345212417",2020-11-22 19:24:44,"siddvuiicos","Been awhile since I've been live on spacelords 

https://t.co/iPQaJjcypX","Twitter Web App",89,,,,FALSE,TRUE,0,1,,,,,"Twitch.tv/etololmen","https://t.co/iPQaJjcypX","http://Twitch.tv/etololmen",,,,,,,,,"x1192713937420247040","etololmen22","en",,,,,,,,,,,,,,,,"x1330592283243196416","Been awhile since I've been live on spacelords 

https://t.co/iPQaJjcypX",2020-11-22 19:21:36,"Twitter for Android",2,1,"x1192713937420247040","etololmen22","etololmen22",71,380,12130,"United Kingdom","duel links player (NEVER USES META unless it's to test a deck a friend wonts to make)//streams every now and then (Xbox)(MUTE) key word MUTE)//",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/siddvuiicos/status/1330593073345212417","SiddVuiicos","","Find me on Twitch come and hang out
It's Vicious..","https://t.co/n81OnuDgwE",FALSE,48,79,2,1053,2262,2020-06-26 04:09:12,FALSE,"https://t.co/n81OnuDgwE","https://www.twitch.tv/siddvuiicos",,"https://pbs.twimg.com/profile_banners/1276366835189985280/1593145806",,"http://pbs.twimg.com/profile_images/1276372138988052482/sEdBTXFF_normal.jpg"
"x1192713937420247040","x1330592283243196416",2020-11-22 19:21:36,"etololmen22","Been awhile since I've been live on spacelords 

https://t.co/iPQaJjcypX","Twitter for Android",72,,,,FALSE,FALSE,2,1,,,,,"Twitch.tv/etololmen","https://t.co/iPQaJjcypX","http://Twitch.tv/etololmen",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/etololmen22/status/1330592283243196416","etololmen22","United Kingdom","duel links player (NEVER USES META unless it's to test a deck a friend wonts to make)//streams every now and then (Xbox)(MUTE) key word MUTE)//","https://t.co/0M51XUVyDL",FALSE,71,380,4,12130,32916,2019-11-08 08:02:31,FALSE,"https://t.co/0M51XUVyDL","http://twitch.tv/etololmen/",,"https://pbs.twimg.com/profile_banners/1192713937420247040/1579083624",,"http://pbs.twimg.com/profile_images/1214652182802378752/zInIt81S_normal.jpg"
"x324012945","x1330523052346658822",2020-11-22 14:46:30,"wheelnon","I started the game Spacelords #TrueAchievements https://t.co/stPbWDgnOn","TrueAchievements",71,,,,FALSE,FALSE,0,0,,,"TrueAchievements",,"trueachievements.com/game/Spacelord…","https://t.co/stPbWDgnOn","https://www.trueachievements.com/game/Spacelords/achievements",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/wheelnon/status/1330523052346658822","♕wheelnon♕","Indianola, IA","The ONLY official T page of wheelnon! Appearances msg. Not your avg man   Adrenaline Junky ♥Culinary arts♥ 18+ TY! love to inspire Come find me 👻wheelnon","https://t.co/gvu0v9rWZm",FALSE,30,171,2,1708,122,2011-06-25 20:53:57,FALSE,"https://t.co/gvu0v9rWZm","http://Linktr.ee/wheelnon",,"https://pbs.twimg.com/profile_banners/324012945/1411631521","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/662517024422297600/pnvMl-_2_normal.jpg"
"x793522467767738368","x1330330172147556352",2020-11-22 02:00:04,"SweepsDBCom","🔥Alert: Spacelords in game currency giveaway https://t.co/sPVHRpOKR2","SweepsDBPostNew",68,,,,FALSE,FALSE,0,0,,,,,"sweepsdb.com/c/1529718","https://t.co/sPVHRpOKR2","http://sweepsdb.com/c/1529718",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SweepsDBCom/status/1330330172147556352","SweepsDB.com","","Sweepstakes Database - Currently lists Gleam.io and Rafflecopter Sweepstakes","https://t.co/fKitlM7KF5",FALSE,3303,4,6,18963,11,2016-11-01 18:37:54,FALSE,"https://t.co/fKitlM7KF5","http://sweepsdb.com",,"https://pbs.twimg.com/profile_banners/793522467767738368/1480441005","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/803653855359733760/wMMDBI2D_normal.jpg"
"x782708840777322497","x1330226344463134728",2020-11-21 19:07:29,"UddasNassar","DAWN OF THE DEWDROP! 💧https://t.co/Zjmna2O9Vo #spacelords https://t.co/DZKvVVo6Mw","Twitter Web App",102,,,,FALSE,TRUE,0,2,,,"spacelords",,"twitch.tv/that_bohab_mag…","https://t.co/Zjmna2O9Vo","http://www.twitch.tv/that_bohab_maggot","http://pbs.twimg.com/media/EnXpGFuW8AMAO3I.png","https://t.co/DZKvVVo6Mw","https://twitter.com/thatbohabmaggot/status/1330225560656744450/photo/1","photo","http://pbs.twimg.com/media/EnXpGFuW8AMAO3I.png http://pbs.twimg.com/media/EnXpGPmW8AAXa-y.png","https://t.co/DZKvVVo6Mw https://t.co/DZKvVVo6Mw","https://twitter.com/thatbohabmaggot/status/1330225560656744450/photo/1 https://twitter.com/thatbohabmaggot/status/1330225560656744450/photo/1",,"x1188574718003220481","thatbohabmaggot","en",,,,,,,,,,,,,,,,"x1330225560656744450","DAWN OF THE DEWDROP! 💧https://t.co/Zjmna2O9Vo #spacelords https://t.co/DZKvVVo6Mw",2020-11-21 19:04:22,"Twitter for Android",13,2,"x1188574718003220481","thatbohabmaggot","beast",66,26,112,"","i'll put my digital art here for the sake of quality, check out my instagram where i'm more active @ that_bohab_maggot (also a lot of Spacelords stuff, sorry)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UddasNassar/status/1330226344463134728","Nin'Mug","Broken Planet.","Just your friendly neighborhood Hive.",,FALSE,104,106,1,693,4709,2016-10-02 22:28:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/782708840777322497/1555162725","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1228298453299736578/2Trmz7wM_normal.jpg"
"x788502695120363521","x1330225780031442944",2020-11-21 19:05:15,"diiodide_","DAWN OF THE DEWDROP! 💧https://t.co/Zjmna2O9Vo #spacelords https://t.co/DZKvVVo6Mw","Twitter Web App",102,,,,FALSE,TRUE,0,2,,,"spacelords",,"twitch.tv/that_bohab_mag…","https://t.co/Zjmna2O9Vo","http://www.twitch.tv/that_bohab_maggot","http://pbs.twimg.com/media/EnXpGFuW8AMAO3I.png","https://t.co/DZKvVVo6Mw","https://twitter.com/thatbohabmaggot/status/1330225560656744450/photo/1","photo","http://pbs.twimg.com/media/EnXpGFuW8AMAO3I.png http://pbs.twimg.com/media/EnXpGPmW8AAXa-y.png","https://t.co/DZKvVVo6Mw https://t.co/DZKvVVo6Mw","https://twitter.com/thatbohabmaggot/status/1330225560656744450/photo/1 https://twitter.com/thatbohabmaggot/status/1330225560656744450/photo/1",,"x1188574718003220481","thatbohabmaggot","en",,,,,,,,,,,,,,,,"x1330225560656744450","DAWN OF THE DEWDROP! 💧https://t.co/Zjmna2O9Vo #spacelords https://t.co/DZKvVVo6Mw",2020-11-21 19:04:22,"Twitter for Android",13,2,"x1188574718003220481","thatbohabmaggot","beast",66,26,112,"","i'll put my digital art here for the sake of quality, check out my instagram where i'm more active @ that_bohab_maggot (also a lot of Spacelords stuff, sorry)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/diiodide_/status/1330225780031442944","diiodide","Manhattan, NY","https://t.co/qYq6sxKXPk - i play Lycus. check out my girlfriend's art on @that_bohab_maggot",,FALSE,42,45,0,256,342,2016-10-18 22:11:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/788502695120363521/1573205279",,"http://pbs.twimg.com/profile_images/1213857652935217153/JlIoFhiu_normal.jpg"
