"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1310781971681878016","x1331088075661877249",2020-11-24 04:11:42,"lucilfeurx","Seketika gua benci Superman di Suicide Squad: Kill the Justice League.","Twitter for Android",70,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lucilfeurx/status/1331088075661877249","S a m.","•〔 INFJ-A . T 〕
•〔 He . Him 〕
•〔 🔞⚠ . Harsh word 〕","〔 C Y B E R 〕•━•〔 Hey lucilfeur, your existence is like poetry and i fall in love with every verse of you.♡ 〕
〔 実生活 •━• 仕事には安全ではありません 〕",,FALSE,439,464,2,1181,1285,2020-09-29 03:22:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/1310781971681878016/1605781367",,"http://pbs.twimg.com/profile_images/1330906582738116625/PMlfTPEE_normal.jpg"
"x1114563061468336134","x1331044375942602752",2020-11-24 01:18:03,"FrabjousBat","I remembered Gotham Knights and I got depressed but then I remembered Suicide Squad Kill the Justice League and felt better 

But then I also remembered KtJL doesn’t come out until 2022","Twitter for iPhone",185,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FrabjousBat/status/1331044375942602752","Zach","Florida, USA","19 | He/Him/They | New and Improved | Artist | 🔞🔞🔞 | No minors | Commissions: TBD | Moved here from @ZachMovedAway | Turn off RTs honestly|","https://t.co/nECF5WvV0V",FALSE,54,268,0,3079,792,2019-04-06 16:18:36,FALSE,"https://t.co/nECF5WvV0V","http://Frabjousbat.newgrounds.com",,"https://pbs.twimg.com/profile_banners/1114563061468336134/1605572397",,"http://pbs.twimg.com/profile_images/1327066442412519425/AQUEq7zh_normal.jpg"
"x867242332604686336","x1331032450852536320",2020-11-24 00:30:40,"Cole_TDB","@thegameawards Suicide squad kill the Justice league","Twitter for iPhone",37,"x1331031637392457730","x2806914710","thegameawards",FALSE,FALSE,5,0,,,,,,,,,,,,,,,,"x2806914710","thegameawards","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Cole_TDB/status/1331032450852536320","Cole 🦕 #Reassemble","🇨🇦Canada🇨🇦","Nintendo. PlayStation. Marvel. DC. Star Wars. @vancityreynolds and @isabelamerced fan. TDBCole on most other sites/services. #Reassemble","https://t.co/UJku7OHXe3",FALSE,2175,2411,59,132711,180733,2017-05-24 04:54:19,FALSE,"https://t.co/UJku7OHXe3","https://www.youtube.com/channel/UCh1sEZ6FcVyz1Kq20S_n06Q",,"https://pbs.twimg.com/profile_banners/867242332604686336/1605847183",,"http://pbs.twimg.com/profile_images/1329645569740980224/byLBDTYw_normal.jpg"
"x1209901225799487488","x1330791494878437377",2020-11-23 08:33:11,"BatManBen4","No new news on:

“Dying Light 2”🏃‍♂️
“Gotham Knights”🗡
“Compulsion games” next game💎
“Suicide Squad: Kill the Justice League”⚖️
“Hitman 3” is oddly quite 🔫
“Dead Island 2”💊
The next Fallout game🔥

Hopefully these games are having a smooth development process😕🙏","Twitter for iPhone",260,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BatManBen4/status/1330791494878437377","BatManBen","","Bentley Anderson🐶Yang 2024🧢Xbox🎮Youtube Editor📸","https://t.co/ZKMKGkCJXB",FALSE,53,86,2,4689,17023,2019-12-25 18:18:46,FALSE,"https://t.co/ZKMKGkCJXB","https://www.youtube.com/channel/UCYphL7N9jbIR4G9-oNJ3K6A",,"https://pbs.twimg.com/profile_banners/1209901225799487488/1603675313",,"http://pbs.twimg.com/profile_images/1328415731667578886/xNHetLHA_normal.jpg"
"x994629346487951365","x1330756486264401921",2020-11-23 06:14:05,"SpaceGhostDirk","New still of Harley Quinn in Suicide Squad: Kill the Justice League https://t.co/pkWUvjY8oP","Twitter Web App",106,,,,FALSE,TRUE,0,48,,,,,,,,"http://pbs.twimg.com/media/EnMSsNCXYAAJedx.jpg","https://t.co/pkWUvjY8oP","https://twitter.com/girIsofdc/status/1329426868479647744/photo/1","photo","http://pbs.twimg.com/media/EnMSsNCXYAAJedx.jpg","https://t.co/pkWUvjY8oP","https://twitter.com/girIsofdc/status/1329426868479647744/photo/1",,"x948547338951364608","girIsofdc","en",,,,,,,,,,,,,,,,"x1329426868479647744","New still of Harley Quinn in Suicide Squad: Kill the Justice League https://t.co/pkWUvjY8oP",2020-11-19 14:10:39,"Twitter for Android",337,48,"x948547338951364608","girIsofdc","best of dc girls",10439,59,1204,"","daily stuff about the dc comics’ girls from any media",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SpaceGhostDirk/status/1330756486264401921","NobaraFanboy124","Detroit, MI","Black | 17 | He/Him | Very RT heavy

Discord: Häazs#3162","https://t.co/bqjB2XaAlS",FALSE,151,1596,0,11922,28542,2018-05-10 17:24:50,FALSE,"https://t.co/bqjB2XaAlS","https://hollowbroom.tumblr.com/",,"https://pbs.twimg.com/profile_banners/994629346487951365/1604994787","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1326071349828349952/Fo2ILyTt_normal.jpg"
"x1048490530198491136","x1330655234994147329",2020-11-22 23:31:45,"DanteMinaj","@thering26 @JbootyfuI Me when I play Suicide Squad: Kill The Justice League","Twitter for iPhone",53,"x1330203228202545155","x1287788668128813056","thering26",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1287788668128813056 x2204051610","thering26 JbootyfuI","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DanteMinaj/status/1330655234994147329","Danté","Raccoon City","obsessed with Nicki Minaj, Resident Evil, DC, Doctor Who",,FALSE,558,1381,1,12394,34893,2018-10-06 08:29:57,FALSE,,,,"https://pbs.twimg.com/profile_banners/1048490530198491136/1595507451",,"http://pbs.twimg.com/profile_images/1295451890927439873/_GVyPvuG_normal.jpg"
"x2835035715","x1330558188014493701",2020-11-22 17:06:07,"2ndCitySaint90","New still of Harley Quinn in Suicide Squad: Kill the Justice League https://t.co/pkWUvjY8oP","Twitter for Android",106,,,,FALSE,TRUE,0,48,,,,,,,,"http://pbs.twimg.com/media/EnMSsNCXYAAJedx.jpg","https://t.co/pkWUvjY8oP","https://twitter.com/girIsofdc/status/1329426868479647744/photo/1","photo","http://pbs.twimg.com/media/EnMSsNCXYAAJedx.jpg","https://t.co/pkWUvjY8oP","https://twitter.com/girIsofdc/status/1329426868479647744/photo/1",,"x948547338951364608","girIsofdc","en",,,,,,,,,,,,,,,,"x1329426868479647744","New still of Harley Quinn in Suicide Squad: Kill the Justice League https://t.co/pkWUvjY8oP",2020-11-19 14:10:39,"Twitter for Android",337,48,"x948547338951364608","girIsofdc","best of dc girls",10439,59,1204,"","daily stuff about the dc comics’ girls from any media",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/2ndCitySaint90/status/1330558188014493701","♦️🦇Cap Kota Fan🦁♦️","Gotham","♈️ Wrestling (WWE. NXT. NJPW. AEW). #AVFC 🦁 UTV. Paramore. Dakota Kai 4 NXT Champ :) #SaveDaredevil 🦇🕷INFJ🌟RIP HANA KIMURA🌟",,FALSE,1632,1783,11,24318,99270,2014-10-17 13:44:40,FALSE,,,,"https://pbs.twimg.com/profile_banners/2835035715/1561409039","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1293112821144793088/cIFBC1gd_normal.jpg"
"x37873849","x1330546156510851089",2020-11-22 16:18:18,"redfield5x5","Suicide Squad: Kill the Justice League https://t.co/19VF95dKh4","Twitter Web App",79,,,,FALSE,TRUE,0,69,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/EjBwkIMWAAIAimb.jpg","https://t.co/19VF95dKh4","https://twitter.com/ArkhamShots/status/1310671350139424770/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EjBwkIMWAAIAimb.jpg","https://t.co/19VF95dKh4","https://twitter.com/ArkhamShots/status/1310671350139424770/photo/1",,"x1269633637638721550","ArkhamShots","en",,,,,,,,,,,,,,,,"x1310671350139424770","Suicide Squad: Kill the Justice League https://t.co/19VF95dKh4",2020-09-28 20:02:55,"Twitter for Android",510,69,"x1269633637638721550","ArkhamShots","Arkham Verse/Gotham Knights Shots 📸",1863,52,184,"Gotham City","I post my favourite shots of the Arkham Verse (2009 - 2022) and Gotham Knights (2021) Run by @DailyArkham",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/redfield5x5/status/1330546156510851089","m","raccoon city","grab your gun and bring in the cat | she/her","https://t.co/77AjNUxkNF",FALSE,396,91,9,71192,5801,2009-05-05 06:40:39,FALSE,"https://t.co/77AjNUxkNF","http://redfield5x5.tumblr.com",,"https://pbs.twimg.com/profile_banners/37873849/1522778132","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1139996190886510593/aHd1gIAx_normal.png"
"x37873849","x1328218091080265728",2020-11-16 06:07:24,"redfield5x5","Suicide Squad: Kill the Justice League https://t.co/3F82h1XbEr","Twitter Web App",79,,,,FALSE,TRUE,0,32,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/EgS9WYtWAAILn0W.jpg","https://t.co/3F82h1XbEr","https://twitter.com/ArkhamShots/status/1298370912862044160/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EgS9WYtWAAILn0W.jpg","https://t.co/3F82h1XbEr","https://twitter.com/ArkhamShots/status/1298370912862044160/photo/1",,"x1269633637638721550","ArkhamShots","en",,,,,,,,,,,,,,,,"x1298370912862044160","Suicide Squad: Kill the Justice League https://t.co/3F82h1XbEr",2020-08-25 21:25:22,"Twitter Web App",182,32,"x1269633637638721550","ArkhamShots","Arkham Verse/Gotham Knights Shots 📸",1863,52,184,"Gotham City","I post my favourite shots of the Arkham Verse (2009 - 2022) and Gotham Knights (2021) Run by @DailyArkham",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/redfield5x5/status/1328218091080265728","m","raccoon city","grab your gun and bring in the cat | she/her","https://t.co/77AjNUxkNF",FALSE,396,91,9,71192,5801,2009-05-05 06:40:39,FALSE,"https://t.co/77AjNUxkNF","http://redfield5x5.tumblr.com",,"https://pbs.twimg.com/profile_banners/37873849/1522778132","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1139996190886510593/aHd1gIAx_normal.png"
"x269522219","x1330505573738164224",2020-11-22 13:37:03,"petalsforval","New still of Harley Quinn in Suicide Squad: Kill the Justice League https://t.co/pkWUvjY8oP","Twitter for iPhone",106,,,,FALSE,TRUE,0,48,,,,,,,,"http://pbs.twimg.com/media/EnMSsNCXYAAJedx.jpg","https://t.co/pkWUvjY8oP","https://twitter.com/girIsofdc/status/1329426868479647744/photo/1","photo","http://pbs.twimg.com/media/EnMSsNCXYAAJedx.jpg","https://t.co/pkWUvjY8oP","https://twitter.com/girIsofdc/status/1329426868479647744/photo/1",,"x948547338951364608","girIsofdc","en",,,,,,,,,,,,,,,,"x1329426868479647744","New still of Harley Quinn in Suicide Squad: Kill the Justice League https://t.co/pkWUvjY8oP",2020-11-19 14:10:39,"Twitter for Android",337,48,"x948547338951364608","girIsofdc","best of dc girls",10439,59,1204,"","daily stuff about the dc comics’ girls from any media",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/petalsforval/status/1330505573738164224","ً"," i c i","do not go gentle into that good night.",,FALSE,1123,482,5,31219,86082,2011-03-20 23:30:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/269522219/1604444068","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1329232997183336449/K0t1yIgK_normal.jpg"
