"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1088214217696690177","x1331247737468284928",2020-11-24 14:46:08,"thesocialwarlok","at the risk of impugning the good name of FATT:
FATT     🤝          The Locked Tomb
A complicated, homoerotic romance between a jacked, red-haired sword lesbian and a smug necromancer/queen of the undead","Twitter Web App",203,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/thesocialwarlok/status/1331247737468284928","anarchivist in training","Ann Arbor, MI","I'm Lydia, and I get angry about institutionally corrupt wizards 24/7 (24, she/her, vent/thirst blog @half_catholic )","https://t.co/ngzsLWq0xX",FALSE,117,550,2,4041,74275,2019-01-23 23:17:42,FALSE,"https://t.co/ngzsLWq0xX","https://curiouscat.me/thesocialwarlok",,,,"http://pbs.twimg.com/profile_images/1164741593993306112/t3TpZ137_normal.jpg"
"x956203778163789825","x1331048597400465409",2020-11-24 01:34:49,"Northborn_Sword","--Last pinned book post for a while--
The Necromancer and the Revenant is a high fantasy novel of over 230,000 words featuring magic, an unusual cast of characters, and a blend of horror, erotica, and martial arts on a quest for vengeance.

Buy it below:
https://t.co/6mrzt9PbaD https://t.co/tPrMI3qRMe","Twitter Web App",140,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x956203778163789825","Northborn_Sword","en",,,,,,,,,,,,,,,,"x1323019555304865797","--Last pinned book post for a while--
The Necromancer and the Revenant is a high fantasy novel of over 230,000 words featuring magic, an unusual cast of characters, and a blend of horror, erotica, and martial arts on a quest for vengeance.

Buy it below:
https://t.co/6mrzt9PbaD https://t.co/tPrMI3qRMe",2020-11-01 21:50:17,"Twitter Web App",5,6,"x956203778163789825","Northborn_Sword","Northborn Sword🔞",51,32,6193,"Past the Void's Event Horizon","Freelance SF/F author and editor. 28. Chaotic horny autistic mom friend. 18+ followers only! Industry leader in edgelord thot OCs.  She/her, pan.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Northborn_Sword/status/1331048597400465409","Northborn Sword🔞","Past the Void's Event Horizon","Freelance SF/F author and editor. 28. Chaotic horny autistic mom friend. 18+ followers only! Industry leader in edgelord thot OCs.  She/her, pan.","https://t.co/Lo2oriHgpD",FALSE,51,32,1,6193,13836,2018-01-24 16:35:20,FALSE,"https://t.co/Lo2oriHgpD","http://northbornsword.blog/",,"https://pbs.twimg.com/profile_banners/956203778163789825/1531099620",,"http://pbs.twimg.com/profile_images/1278062665538113538/2Xo6XLj1_normal.jpg"
"x3266275285","x1330651593944018946",2020-11-22 23:17:16,"AeJylhis","Sword of the Necromancer Prologue https://t.co/0Pd7Nntupz
#demo #prologue #swordofthenecromancer #indie #ttv #twitch #streaming #streamer","Streamlabs Twitter",137,,,,FALSE,FALSE,3,0,,,"demo prologue swordofthenecromancer indie ttv twitch streaming streamer",,"twitch.tv/aejylhis","https://t.co/0Pd7Nntupz","https://twitch.tv/aejylhis",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AeJylhis/status/1330651593944018946","AeJylhis","In front of my workspace","Youtuber and Twitch Streamer under the Yarnweaver label.

All about being the owner of #TheLoneliestStreamOnTwitch @ https://t.co/xlxhydZyI2","https://t.co/Rz8ut71vZh",FALSE,34,141,1,282,55,2015-07-02 16:50:45,FALSE,"https://t.co/Rz8ut71vZh","https://www.youtube.com/channel/UCvUBeCoxv5OVE5cO9u9vNyA",,"https://pbs.twimg.com/profile_banners/3266275285/1602292591","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1314736399015313410/SOce0JXq_normal.jpg"
"x2446583240","x1329942602519633922",2020-11-21 00:20:00,"HaliosTV","For all the anime fans, Sword of the Necromancer is in Prologue right now, with release coming soon!

The game has a lot of good points but needs some work on detection and sounds. Especially the sound.

https://t.co/NxOKX7I9Wp https://t.co/sudfgPIy6C","TweetDeck",227,,,,FALSE,FALSE,1,0,,,,,"youtu.be/2APdpXacjq8","https://t.co/NxOKX7I9Wp","https://youtu.be/2APdpXacjq8","http://pbs.twimg.com/media/EnTXcdiWEAMZ8Pc.jpg","https://t.co/sudfgPIy6C","https://twitter.com/HaliosTV/status/1329942602519633922/photo/1","photo","http://pbs.twimg.com/media/EnTXcdiWEAMZ8Pc.jpg","https://t.co/sudfgPIy6C","https://twitter.com/HaliosTV/status/1329942602519633922/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HaliosTV/status/1329942602519633922","Halios","Fort Lauderdale, FL","Goofball | ExMixer Partner @twebaround @kinesisgaming Partner | Business - Haliosstream@gmail.com | Writer @StreamerSquare | Owner @TheIndieBuffet | Indie NUT!","https://t.co/ie3lbRiLd8",FALSE,2629,2279,59,25771,31498,2014-04-16 05:02:45,FALSE,"https://t.co/ie3lbRiLd8","https://twitch.tv/halios",,"https://pbs.twimg.com/profile_banners/2446583240/1479323711","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1111641584544739331/TvNWiFdO_normal.jpg"
"x789449169983471616","x1329823759734370309",2020-11-20 16:27:45,"GrimorioG","I'm in love of the game called the sword of the necromancer geez this game is just prologue but well I'll be damned its good had fun streaming it nearly made me mad but i had fun, thanks to 1 viewer hahaha. .😥","Twitter for Android",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x1280082651508912130","SenseiTakanashi","en",,,,,,,,,,,,,,,,"x1329786584158257158","I'm in love of the game called the sword of the necromancer geez this game is just prologue but well I'll be damned its good had fun streaming it nearly made me mad but i had fun, thanks to 1 viewer hahaha. .😥",2020-11-20 14:00:02,"Twitter Web App",4,1,"x1280082651508912130","SenseiTakanashi","Takanashi-Sensei(EN,JP,PH) Vtuber",100,638,872,"","I'm Takanashi Sensei #Vtuber #TakaStart
 desu, 📜📜. . . . I speak only 3 several languages, JP(learning),EN,TAG.🇵🇭🇯🇵
Father:@DoctRhodes(he lewd)/ newModel?",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GrimorioG/status/1329823759734370309","Grimorio of Games - Sword of the Necromancer","Barcelona","A small group making games. Developers of Super Hyperactive Ninja, now working on Sword of the Necromancer. Funded on Kickstarter! Wishlist on Steam!","https://t.co/suvt4DsJlE",FALSE,1856,358,0,3500,3773,2016-10-21 12:52:04,FALSE,"https://t.co/suvt4DsJlE","https://store.steampowered.com/app/1243890/Sword_of_the_Necromancer/",,"https://pbs.twimg.com/profile_banners/789449169983471616/1591439930","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/970628593813475329/R5hurHOE_normal.jpg"
"x1284145838600716288","x1329816921445896192",2020-11-20 16:00:35,"VibrantlyCool","@SensysMixing - mix master and audio engineer magician!  He is SO talented and knows so much!

@GrimorioG - creators of the game 'Sword of the Necromancer', a fantasy epic!

@VibrantlyCool - the studio responsible for the adorable YouTube visual drama 'Coffee with Honey' ☕️","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x979545197758550016 x1392130495 x789449169983471616","SarahRuthVoice SensysMixing GrimorioG","en",,,,,,,,,,,,,,,,"x1329816620924100608","@SensysMixing - mix master and audio engineer magician!  He is SO talented and knows so much!

@GrimorioG - creators of the game 'Sword of the Necromancer', a fantasy epic!

@VibrantlyCool - the studio responsible for the adorable YouTube visual drama 'Coffee with Honey' ☕️",2020-11-20 15:59:23,"Twitter Web App",9,1,"x979545197758550016","SarahRuthVoice","🍂Sarah Ruth Thomas🍂",4214,1824,11646,"Texas, USA","#voiceactor Enthusiastic, Versatile, Compelling #videogame #commercial #elearning #animation sarahruthvoice@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/VibrantlyCool/status/1329816921445896192","Vibrantly Cool Productions","","Vibrant Talent, Cool Content. #CoffeeWithHoney Starts September 26 !","https://t.co/6oExtNSImK",FALSE,416,17,2,132,188,2020-07-17 15:20:12,FALSE,"https://t.co/6oExtNSImK","https://www.redbubble.com/people/vibrantlycool/shop",,"https://pbs.twimg.com/profile_banners/1284145838600716288/1600190177",,"http://pbs.twimg.com/profile_images/1284146455251488769/xmHTjOlg_normal.jpg"
"x979545197758550016","x1329816620924100608",2020-11-20 15:59:23,"SarahRuthVoice","@SensysMixing - mix master and audio engineer magician!  He is SO talented and knows so much!

@GrimorioG - creators of the game 'Sword of the Necromancer', a fantasy epic!

@VibrantlyCool - the studio responsible for the adorable YouTube visual drama 'Coffee with Honey' ☕️","Twitter Web App",274,"x1329816619929972742","x979545197758550016","SarahRuthVoice",FALSE,FALSE,9,1,,,,,,,,,,,,,,,,"x1392130495 x789449169983471616 x1284145838600716288","SensysMixing GrimorioG VibrantlyCool","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SarahRuthVoice/status/1329816620924100608","🍂Sarah Ruth Thomas🍂","Texas, USA","#voiceactor Enthusiastic, Versatile, Compelling #videogame #commercial #elearning #animation sarahruthvoice@gmail.com","https://t.co/L9QMmX17KP",FALSE,4214,1824,43,11646,39375,2018-03-30 02:25:48,FALSE,"https://t.co/L9QMmX17KP","https://www.sarahruthvoice.com",,"https://pbs.twimg.com/profile_banners/979545197758550016/1567107032","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1322928219163602946/dpCSmgM0_normal.jpg"
"x1280082651508912130","x1329786584158257158",2020-11-20 14:00:02,"SenseiTakanashi","I'm in love of the game called the sword of the necromancer geez this game is just prologue but well I'll be damned its good had fun streaming it nearly made me mad but i had fun, thanks to 1 viewer hahaha. .😥","Twitter Web App",209,,,,FALSE,FALSE,4,1,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SenseiTakanashi/status/1329786584158257158","Takanashi-Sensei(EN,JP,PH) Vtuber","","I'm Takanashi Sensei #Vtuber #TakaStart
 desu, 📜📜. . . . I speak only 3 several languages, JP(learning),EN,TAG.🇵🇭🇯🇵
Father:@DoctRhodes(he lewd)/ newModel?","https://t.co/3mVZ181QK5",FALSE,100,638,6,872,1005,2020-07-06 10:14:37,FALSE,"https://t.co/3mVZ181QK5","https://www.youtube.com/channel/UCgyb3tFhm9VyAta21lR28Og/featured?view_as=subscriber",,"https://pbs.twimg.com/profile_banners/1280082651508912130/1605232888",,"http://pbs.twimg.com/profile_images/1328561645581262848/JFFpK27v_normal.jpg"
"x1277474590856556546","x1329339086138601472",2020-11-19 08:21:50,"Charlot93845761","This is the Anime Opening for Sword of the Necromancer, made by @Sunshine_Anim. We hope you like it!

You can also try the game with Sword of the Necromancer Prologue on Steam and carry the progress to the full game!
https://t.co/MpIERpzS3A

#indiegame | #opening | #steam https://t.co/3xUd2wZJCh","Twitter Web App",140,,,,FALSE,TRUE,0,159,,,,,,,,,,,,,,,,"x789449169983471616 x1460409805","GrimorioG Sunshine_Anim","en",,,,,,,,,,,,,,,,"x1323686524127510534","This is the Anime Opening for Sword of the Necromancer, made by @Sunshine_Anim. We hope you like it!

You can also try the game with Sword of the Necromancer Prologue on Steam and carry the progress to the full game!
https://t.co/MpIERpzS3A

#indiegame | #opening | #steam https://t.co/3xUd2wZJCh",2020-11-03 18:00:34,"Twitter Web App",2248,159,"x789449169983471616","GrimorioG","Grimorio of Games - Sword of the Necromancer",1856,358,3500,"Barcelona","A small group making games. Developers of Super Hyperactive Ninja, now working on Sword of the Necromancer. Funded on Kickstarter! Wishlist on Steam!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Charlot93845761/status/1329339086138601472","Charlotte Robson","","My hobbies💖 are breakfast, lunch, and dinner topped with a chocolate dessert. My WhatsApp +1(901)591-0449",,FALSE,46,1363,0,1713,2379,2020-06-29 05:30:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1277474590856556546/1598426932",,"http://pbs.twimg.com/profile_images/1298522763569836032/j15kEp_P_normal.jpg"
"x964807719973629952","x1329116181148561409",2020-11-18 17:36:06,"ephemeral_hue","@bananabluff Cyan, a sword, and Gideon and Harrow from Gideon the Ninth!

(Gideon's a buff sword lesbian, and Harrow's a necromancer who wears a lot of black and a lot of bones!)","Twitter for iPhone",165,"x1329107129836335114","x1261557508998488064","bananabluff",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1261557508998488064","bananabluff","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ephemeral_hue/status/1329116181148561409","🍁 Comrade Autumn 🍁 BLM ✨","she/her","help if you see this message I’m trapped in a twitter bio factory / lvl 21 / Instagram: @ephemeral_hue",,FALSE,199,704,0,5250,39618,2018-02-17 10:24:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/964807719973629952/1590214885",,"http://pbs.twimg.com/profile_images/1329619466494173188/Qiwdc9AP_normal.jpg"
