"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x17957493","x1331188251860762624",2020-11-24 10:49:46,"kennokishi","@areabridges @KenTremendous I think he said golem and meant Gollum, like from Lord of the Rings.","Twitter for Android",68,"x1331174952498835456","x34293503","areabridges",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x34293503 x45499837","areabridges KenTremendous","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kennokishi/status/1331188251860762624","Devin- Pack Ragabash at heart","Vegas","Just a nerd. Them/they
Playing Cyprianus, half-orc swashbuckler, on @drunkengeekpod
Also just looking for another game. Always.",,FALSE,363,509,14,33173,15690,2008-12-08 05:59:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/17957493/1601690594","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1318171782101135361/syJU-q7d_normal.jpg"
"x979174371355799552","x1331176757127364608",2020-11-24 10:04:05,"Istanbp","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA","Twitter for iPhone",103,,,,FALSE,TRUE,0,4,,,,,,,,"http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg","https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1","photo","http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg http://pbs.twimg.com/media/EnlDny0VoAA2nDj.jpg","https://t.co/2ywSLdOHoA https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1 https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1",,"x741798588338970624 x1273850774380883975","rosiesthrone BLACKPINK","en",,,,,,,,,,,,,,,,"x1331169524947636225","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA",2020-11-24 09:35:21,"Twitter for iPhone",23,4,"x741798588338970624","rosiesthrone","aries",2450,1340,52245,"BLACKPINK ENTERTAINMENT","four silly bums | currently on a chaennie breakdown",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Istanbp/status/1331176757127364608","✧ 𝕃𝕊 ✧","JENCHULICHAENG ♡","ʙʟᴀᴄᴋᴘɪɴᴋ ♡ ℓιѕα му вαє || #블랙핑크 #리사 #로제 #지수 #제니 || @BLACKPINK || 𝗕𝗣𝟭","https://t.co/KuxQvxl3Qv",FALSE,1492,1371,2,6530,5992,2018-03-29 01:52:17,FALSE,"https://t.co/KuxQvxl3Qv","http://blackpink.xn--g6h/",,"https://pbs.twimg.com/profile_banners/979174371355799552/1603292055",,"http://pbs.twimg.com/profile_images/1329794016024559616/1WmK0gwF_normal.jpg"
"x1136646417252999169","x1331176105710034944",2020-11-24 10:01:30,"jishooktt","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA","Twitter for Android",103,,,,FALSE,TRUE,0,4,,,,,,,,"http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg","https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1","photo","http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg http://pbs.twimg.com/media/EnlDny0VoAA2nDj.jpg","https://t.co/2ywSLdOHoA https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1 https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1",,"x741798588338970624 x1273850774380883975","rosiesthrone BLACKPINK","en",,,,,,,,,,,,,,,,"x1331169524947636225","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA",2020-11-24 09:35:21,"Twitter for iPhone",23,4,"x741798588338970624","rosiesthrone","aries",2450,1340,52245,"BLACKPINK ENTERTAINMENT","four silly bums | currently on a chaennie breakdown",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jishooktt/status/1331176105710034944","️️ً","she/her","im in love with these four crackheads ᕕ( ᐛ )ᕗ",,FALSE,2175,1430,5,18433,19381,2019-06-06 14:49:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/1136646417252999169/1605739582",,"http://pbs.twimg.com/profile_images/1331087827778433028/gf3V9nYk_normal.jpg"
"x1188804992515239944","x1331171348144562176",2020-11-24 09:42:36,"iloveblackpinks","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA","Twitter for Android",103,,,,FALSE,TRUE,0,4,,,,,,,,"http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg","https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1","photo","http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg http://pbs.twimg.com/media/EnlDny0VoAA2nDj.jpg","https://t.co/2ywSLdOHoA https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1 https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1",,"x741798588338970624 x1273850774380883975","rosiesthrone BLACKPINK","en",,,,,,,,,,,,,,,,"x1331169524947636225","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA",2020-11-24 09:35:21,"Twitter for iPhone",23,4,"x741798588338970624","rosiesthrone","aries",2450,1340,52245,"BLACKPINK ENTERTAINMENT","four silly bums | currently on a chaennie breakdown",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/iloveblackpinks/status/1331171348144562176","KV_Chaeng","Australia","CHAELISA WOOPS💜💛",,FALSE,881,4325,0,13024,74777,2019-10-28 13:09:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/1188804992515239944/1605412362",,"http://pbs.twimg.com/profile_images/1327604495811940352/9-QKK_5g_normal.jpg"
"x1264315534872424448","x1331169688856915974",2020-11-24 09:36:00,"Selviaz2","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA","Twitter for Android",103,,,,FALSE,TRUE,0,4,,,,,,,,"http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg","https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1","photo","http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg http://pbs.twimg.com/media/EnlDny0VoAA2nDj.jpg","https://t.co/2ywSLdOHoA https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1 https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1",,"x741798588338970624 x1273850774380883975","rosiesthrone BLACKPINK","en",,,,,,,,,,,,,,,,"x1331169524947636225","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA",2020-11-24 09:35:21,"Twitter for iPhone",23,4,"x741798588338970624","rosiesthrone","aries",2450,1340,52245,"BLACKPINK ENTERTAINMENT","four silly bums | currently on a chaennie breakdown",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Selviaz2/status/1331169688856915974","Sélviyaa✨","","I am a blink🥀🐻🐰🐣",,FALSE,17,127,0,2565,2741,2020-05-23 22:02:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1264315534872424448/1601606906",,"http://pbs.twimg.com/profile_images/1330377626465284097/KAE6Pmb2_normal.jpg"
"x741798588338970624","x1331169524947636225",2020-11-24 09:35:21,"rosiesthrone","wait she’s drawing gollum from lord of the rings 😭 @blackpink https://t.co/2ywSLdOHoA","Twitter for iPhone",61,,,,FALSE,FALSE,23,4,,,,,,,,"http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg","https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1","photo","http://pbs.twimg.com/media/EnlDnk9UwAAfB-d.jpg http://pbs.twimg.com/media/EnlDny0VoAA2nDj.jpg","https://t.co/2ywSLdOHoA https://t.co/2ywSLdOHoA","https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1 https://twitter.com/rosiesthrone/status/1331169524947636225/photo/1",,"x1273850774380883975","BLACKPINK","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rosiesthrone/status/1331169524947636225","aries","BLACKPINK ENTERTAINMENT","four silly bums | currently on a chaennie breakdown",,FALSE,2450,1340,8,52245,76891,2016-06-12 01:05:40,FALSE,,,,"https://pbs.twimg.com/profile_banners/741798588338970624/1603755427","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1327592102495064069/GMrgwYnG_normal.jpg"
"x1213460358347669504","x1331164017235288064",2020-11-24 09:13:28,"lforn1","""and a name was like smart if it was something u would say and gollum was an obvious cup of shit and he was flexing around corners and lord of the rings was reflecting off the water and pokemon was eating the wall and the garden of eden was like shaking in bed..","Twitter Web App",262,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lforn1/status/1331164017235288064","lforn","","""how do da day..",,FALSE,0,11,0,35388,1,2020-01-04 14:01:57,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1218724728657129473/p96-70KB_normal.jpg"
"x773144670507499521","x1331161268854484993",2020-11-24 09:02:32,"flancian","@patio11 @iamapostol @Meaningness @michael_nielsen My favourite moment in Lord of the Rings perhaps.

It's been long so I'm unsure I remember it right, but in my version at least Sméagol does what he does willingly: he integrates with Gollum, who fetches the ring, then falls willingly to destruction to save Frodo and the world.","Twitter for Android",278,"x1331158981469900802","x20844341","patio11",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x20844341 x441051680 x191666539 x15626406","patio11 iamapostol Meaningness michael_nielsen","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/flancian/status/1331161268854484993","Flancia","Flancia","SRE by day; Flancian (cooperativist, amateur utopian) by night. Chaotic good rogue.
In Flancia there is an Agora: https://t.co/thnEE4Znoi.","https://t.co/eIPTI4YBAy",FALSE,803,2324,12,11499,16609,2016-09-06 13:03:48,FALSE,"https://t.co/eIPTI4YBAy","http://flancia.org",,"https://pbs.twimg.com/profile_banners/773144670507499521/1473168563",,"http://pbs.twimg.com/profile_images/773148229236101120/AqlgSN_6_normal.jpg"
"x1274717554750050315","x1331101530364100609",2020-11-24 05:05:10,"GaryJon23018227","@Kokomothegreat RUDY GIULIANI LOOKS LIKE THE HOBBIT GOLLUM FROM THE LORD OF THE RINGS MOVIE AND THAT'S ONLY A SLIGHT EXAGGERATION. https://t.co/vaC396GKfG","Twitter Web App",114,"x1331039147184721921","x881336677138128897","Kokomothegreat",FALSE,FALSE,1,0,,,,,,,,"http://pbs.twimg.com/media/EnkFHD4VgAAXGzz.jpg","https://t.co/vaC396GKfG","https://twitter.com/GaryJon23018227/status/1331101530364100609/photo/1","photo","http://pbs.twimg.com/media/EnkFHD4VgAAXGzz.jpg","https://t.co/vaC396GKfG","https://twitter.com/GaryJon23018227/status/1331101530364100609/photo/1",,"x881336677138128897","Kokomothegreat","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GaryJon23018227/status/1331101530364100609","Gary Jones","Phoenix Arizona","Ordained Minister of the Holy Continuance of the Universal Spirit Pluralist Church House of One, Motorcycle Club President of God Only Knows Me No One Else M.C.",,FALSE,1122,2982,0,25450,4,2020-06-21 14:56:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/1274717554750050315/1592753210",,"http://pbs.twimg.com/profile_images/1274725466037817345/Po73G5nx_normal.jpg"
"x824767809813090304","x1331100145879048193",2020-11-24 04:59:40,"procuremancer","Am the only one amazed that Rudy Giuliani is doing a spot on impression of Gollum at the end of the Lord of the Rings trilogy finally destroying the one ring after Mueller, impeachment, corona, boredom https://t.co/dwvqM9bvfQ","Twitter for iPad",201,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/EnkEhlrXIAABMqU.jpg","https://t.co/dwvqM9bvfQ","https://twitter.com/procuremancer/status/1331100145879048193/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EnkEhlrXIAABMqU.jpg","https://t.co/dwvqM9bvfQ","https://twitter.com/procuremancer/status/1331100145879048193/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/procuremancer/status/1331100145879048193","Mark Hopson the Acquisition Alchemist","Washington, DC","He/Him + Elder Millennial + Lawyer + Historian + US Guvmint Contracting “Officer” + Conflict + Magick = Acquisition Alchemist. Opinions = my own.",,FALSE,509,185,11,10195,4631,2017-01-26 23:55:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/824767809813090304/1605884286","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1323627337540374529/u0BGzPd5_normal.jpg"
