"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1016389368","x1331090648842190850",2020-11-24 04:21:55,"Rayne_Bloodshed","Vampire: The Masquerade - Bloodlines 2 sounds like it's going through development hell, they've went all over the place with project leads and had a fuck ton of delays, is that game ever gonna actually come out?","Twitter Web App",211,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Rayne_Bloodshed/status/1331090648842190850","Rayne ""Accidentally Scares Old People"" Bloodshed","Kuna, ID","24 - From Washington, living in Idaho(unfortunately) - He/Him - Gray Ace Panro - Gamer - Supporter of BLM - Xbox GT: RayneBloodshed - Steam: RayneBloodshed","https://t.co/hxA9sk7muE",FALSE,107,133,1,2511,2261,2012-12-17 00:55:05,FALSE,"https://t.co/hxA9sk7muE","https://www.youtube.com/channel/UCjBdubpsKG7ee6E1TN2wraQ",,"https://pbs.twimg.com/profile_banners/1016389368/1591923138","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1320651033803067392/h7gM6VkD_normal.jpg"
"x1277261548935884802","x1331090300316606464",2020-11-24 04:20:32,"ranger_rapid","@Ashu19992 @gameinformer Agreed, I was more or less paraphrasing. I know people have lives, jobs, school, etc but I have 2 jobs, school, a family, a life and I still can get through a deep RPG. Besides the witcher 3 I have 1500+ in vampire the masquerade bloodlines, looking to put 3000+ in Cyberpunk.","Twitter for Android",276,"x1331089319457476608","x1278999779347795968","Ashu19992",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1278999779347795968 x20273398","Ashu19992 gameinformer","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ranger_rapid/status/1331090300316606464","Rapid_Ranger","","love gaming | Cyberpunk. all around gamer | Game Design & Development Student. #FandomRepublic #Gamer4Life
#ToxicBrood",,FALSE,394,262,0,8834,10577,2020-06-28 15:24:27,FALSE,,,,"https://pbs.twimg.com/profile_banners/1277261548935884802/1594229717",,"http://pbs.twimg.com/profile_images/1279548108289032192/J0JfVIQE_normal.jpg"
"x1277261548935884802","x1330568266838847489",2020-11-22 17:46:10,"ranger_rapid","@joanthejoker123 @PoontangPie2 @AblazaLuis @BackupTarik @SlyTater 1. Witcher 3 
2. Resident evil 2 remake
3. Horizon zero dawn
4. Ghostrunner 
5. Deus Ex
6. Far cry 5 (loved the story and soundtrack) 
7. Vampire the masquerade bloodlines
8. Cyberpunk 2020 (still a game)
9. Days gone
10. Bloodrayne 2

My list for now, as mine changes as well.","Twitter for Android",277,"x1330562761957498880","x943586622326607872","joanthejoker123",FALSE,FALSE,4,0,,,,,,,,,,,,,,,,"x943586622326607872 x1167217825855025155 x1135612465461440514 x1300418430127009793 x1204619566757736448","joanthejoker123 PoontangPie2 AblazaLuis BackupTarik SlyTater","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ranger_rapid/status/1330568266838847489","Rapid_Ranger","","love gaming | Cyberpunk. all around gamer | Game Design & Development Student. #FandomRepublic #Gamer4Life
#ToxicBrood",,FALSE,394,262,0,8834,10577,2020-06-28 15:24:27,FALSE,,,,"https://pbs.twimg.com/profile_banners/1277261548935884802/1594229717",,"http://pbs.twimg.com/profile_images/1279548108289032192/J0JfVIQE_normal.jpg"
"x1279541961528012800","x1331024833765801984",2020-11-24 00:00:24,"gamesdeal1","Vampire: The Masquerade - Bloodlines 2: Unsanctioned Edition PC is $63.79 (12% off) https://t.co/wAjhS0Wj3d
Game Trailer: https://t.co/7JW8kGL0Ew
#Deals #Games #Game #Deal #G2A #CDKey #Steam https://t.co/zXKjSne4kt","Games Deal",190,,,,FALSE,FALSE,1,0,,,"Deals Games Game Deal G2A CDKey Steam",,"cdkeys.com/pc/games/vampi… youtube.com/embed/6PM0vb8U…","https://t.co/wAjhS0Wj3d https://t.co/7JW8kGL0Ew","https://www.cdkeys.com/pc/games/vampire-the-masquerade-bloodlines-2-unsanctioned-edition-steam-pc?mw_aref=cdkeysbnm https://www.youtube.com/embed/6PM0vb8UCzM?autoplay=0&enablejsapi=1&origin=https%3A%2F%2Fwww.cdkeys.com","http://pbs.twimg.com/media/EnjACEtVQAIy2hX.jpg","https://t.co/zXKjSne4kt","https://twitter.com/gamesdeal1/status/1331024833765801984/photo/1","photo","http://pbs.twimg.com/media/EnjACEtVQAIy2hX.jpg","https://t.co/zXKjSne4kt","https://twitter.com/gamesdeal1/status/1331024833765801984/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gamesdeal1/status/1331024833765801984","games deal","","Focus on fantastic games deals, update daily",,FALSE,1,5,0,163,0,2020-07-04 22:26:01,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1287521622111350786/Dp9K5ZzQ_normal.png"
"x1279541961528012800","x1328125735920275456",2020-11-16 00:00:25,"gamesdeal1","Vampire: The Masquerade - Bloodlines 2 PC is $49.19 (27% off) https://t.co/eJu5KilL7d
Game Trailer: https://t.co/7JW8kGL0Ew
#Deals #Games #Game #Deal #G2A #CDKey #Steam https://t.co/EFpy6djeDo","Games Deal",168,,,,FALSE,FALSE,1,0,,,"Deals Games Game Deal G2A CDKey Steam",,"cdkeys.com/pc/games/vampi… youtube.com/embed/6PM0vb8U…","https://t.co/eJu5KilL7d https://t.co/7JW8kGL0Ew","https://www.cdkeys.com/pc/games/vampire-the-masquerade-bloodlines-2-steam-pc?mw_aref=cdkeysbnm https://www.youtube.com/embed/6PM0vb8UCzM?autoplay=0&enablejsapi=1&origin=https%3A%2F%2Fwww.cdkeys.com","http://pbs.twimg.com/media/Em5zUXoUwAA9y4V.jpg","https://t.co/EFpy6djeDo","https://twitter.com/gamesdeal1/status/1328125735920275456/photo/1","photo","http://pbs.twimg.com/media/Em5zUXoUwAA9y4V.jpg","https://t.co/EFpy6djeDo","https://twitter.com/gamesdeal1/status/1328125735920275456/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gamesdeal1/status/1328125735920275456","games deal","","Focus on fantastic games deals, update daily",,FALSE,1,5,0,163,0,2020-07-04 22:26:01,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1287521622111350786/Dp9K5ZzQ_normal.png"
"x2702124163","x1330919307962953728",2020-11-23 17:01:04,"_imtheproblem","@kanekosbaby yup yup vampire the masquerade bloodlines 2","Twitter for Android",43,"x1330898374845816833","x2230627998","kanekosbaby",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x2230627998","kanekosbaby","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_imtheproblem/status/1330919307962953728","Chris","he/him","a burden, worst person ive ever met
//
if u know me irl DM ME",,FALSE,192,338,3,8822,54989,2014-08-03 00:22:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/2702124163/1599688669","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1306066954764070912/oh2CHCnZ_normal.jpg"
"x1033863122208141313","x1330915993691037697",2020-11-23 16:47:54,"Nixed242","Stream Schedule 11/23-11/29

Monday (Today) 3:00PM ET - Psi-Ops 
Wednesday 2:00PM ET - Psi-Ops
Friday 2:00PM ET - Vampire the Masquerade: Bloodlines
Saturday - No Stream
Sunday - No Stream

https://t.co/34dVSe9C3v https://t.co/kPPepDm5a0","Twitter Web App",213,,,,FALSE,FALSE,1,0,,,,,"twitch.tv/nixed242","https://t.co/34dVSe9C3v","http://twitch.tv/nixed242","http://pbs.twimg.com/media/Enhcb7tXUAAQ-C7.jpg","https://t.co/kPPepDm5a0","https://twitter.com/Nixed242/status/1330915993691037697/photo/1","photo","http://pbs.twimg.com/media/Enhcb7tXUAAQ-C7.jpg http://pbs.twimg.com/media/Enhc55fWEAAicF1.png","https://t.co/kPPepDm5a0 https://t.co/kPPepDm5a0","https://twitter.com/Nixed242/status/1330915993691037697/photo/1 https://twitter.com/Nixed242/status/1330915993691037697/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Nixed242/status/1330915993691037697","Nixed242","","Video game enthusiast with a nostalgic flair for retro games. Shodan was not evil she was simply misunderstood.","https://t.co/TorY1qaibx",FALSE,92,115,1,2072,1855,2018-08-26 23:45:51,FALSE,"https://t.co/TorY1qaibx","https://www.twitch.tv/nixed242",,"https://pbs.twimg.com/profile_banners/1033863122208141313/1578153330","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1033863437044961281/TCJ0GqHC_normal.jpg"
"x912277178343149570","x1330809188402999300",2020-11-23 09:43:30,"GameDesignXpert","Vampire: The Masquerade – Bloodlines 2 should have forced stealth sections, no loading times, procedural content, parallel universes, an HD remake, lasers, and ceilings, then it would be worth paying for.","Cheap Bots, Done Quick!",204,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GameDesignXpert/status/1330809188402999300","Game Design Expert","GDC","(bot) Your game needs to be better. Let me tell you how.","https://t.co/VMyTCDgMjN",FALSE,91,3,3,11260,7,2017-09-25 11:26:43,FALSE,"https://t.co/VMyTCDgMjN","http://cheapbotsdonequick.com/source/GameDesignXpert",,"https://pbs.twimg.com/profile_banners/912277178343149570/1506344294",,"http://pbs.twimg.com/profile_images/912299595455229952/h89xet_Y_normal.jpg"
"x912277178343149570","x1328680211530076161",2020-11-17 12:43:42,"GameDesignXpert","Vampire: The Masquerade – Bloodlines 2 should have full photorealism, then I would play it.","Cheap Bots, Done Quick!",91,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GameDesignXpert/status/1328680211530076161","Game Design Expert","GDC","(bot) Your game needs to be better. Let me tell you how.","https://t.co/VMyTCDgMjN",FALSE,91,3,3,11260,7,2017-09-25 11:26:43,FALSE,"https://t.co/VMyTCDgMjN","http://cheapbotsdonequick.com/source/GameDesignXpert",,"https://pbs.twimg.com/profile_banners/912277178343149570/1506344294",,"http://pbs.twimg.com/profile_images/912299595455229952/h89xet_Y_normal.jpg"
"x475061513","x1330696553577799681",2020-11-23 02:15:56,"KushWGeorge","my brother's watching Frozen 2 and it makes me want to finish Vampire the Masquerade Bloodlines","Twitter for iPhone",95,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KushWGeorge/status/1330696553577799681","bottledoll","","I have become normie it/its",,FALSE,146,597,1,18230,71057,2012-01-26 17:00:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/475061513/1601520621","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1323345355308703744/XDAiE2kZ_normal.jpg"
