"","Game","Game.1","Score","Ratio","Gamers","Comp..","Comp.Time","Rating","Var.9"
"1",NA,"Grand Theft Auto V","7,537 (1,750)",4.31,"349,344",0.1,"60-80 hours",4.6,NA
"2",NA,"Halo: The Master Chief Collection","24,171 (7,000)",3.45,"344,519",0.3,"200+ hours",4.5,NA
"3",NA,"Halo 5: Guardians","2,998 (1,250)",2.4,"302,233",2.7,"40-50 hours",4.1,NA
"4",NA,"Fallout 4","2,805 (1,600)",1.75,"293,697",3.8,"80-100 hours",4.5,NA
"5",NA,"Red Dead Redemption 2","3,918 (1,000)",3.92,"278,520",0.5,"200+ hours",4.6,NA
"6",NA,"Sunset Overdrive","5,273 (1,925)",2.74,"276,270",1.5,"40-50 hours",4.3,NA
"7",NA,"Rocket League","4,228 (2,200)",1.92,"276,050",2.9,"8-10 hours",4.4,NA
"8",NA,"Battlefield 1","5,588 (2,000)",2.79,"271,252",1.3,"40-50 hours",4.3,NA
"9",NA,"Destiny","2,437 (1,500)",1.62,"264,111",3.1,"200+ hours",4,NA
"10",NA,"Forza Horizon 4","10,494 (3,450)",3.04,"262,584",0.5,"60-80 hours",4.6,NA
"11",NA,"Ryse: Son of Rome","4,491 (2,000)",2.25,"258,462",2,"40-50 hours",4,NA
"12",NA,"Forza Motorsport 5","6,266 (1,400)",4.48,"258,320",0.6,"200+ hours",4.1,NA
"13",NA,"Titanfall","5,366 (2,000)",2.68,"256,322",1.4,"200+ hours",4.3,NA
"14",NA,"Gears of War 4","19,617 (4,000)",4.9,"252,914",0.5,"200+ hours",4.2,NA
"15",NA,"Minecraft","6,386 (2,600)",2.46,"244,010",2.6,"30-35 hours",4.2,NA
"16",NA,"Tom Clancy's The Division","3,444 (1,450)",2.38,"240,976",0.4,"60-80 hours",4,NA
"17",NA,"Assassin's Creed IV: Black Flag","2,682 (1,250)",2.15,"235,879",1.3,"60-80 hours",4.3,NA
"18",NA,"Minecraft: Xbox One Edition","5,243 (2,025)",2.59,"233,157",2,"30-35 hours",4.4,NA
"19",NA,"Watch_Dogs","3,008 (1,250)",2.41,"229,812",1.6,"50-60 hours",3.8,NA
"20",NA,"Battlefield 4","3,669 (1,600)",2.29,"229,049",1.2,"20-25 hours",4.1,NA
"21",NA,"Sea of Thieves","26,256 (2,740)",9.58,"228,385",0,"200+ hours",3.6,NA
"22",NA,"Star Wars Battlefront","5,183 (1,690)",3.07,"227,924",0.8,"60-80 hours",3.8,NA
"23",NA,"Call of Duty: Black Ops III","6,016 (1,950)",3.09,"224,841",0.3,"120-150 hours",3.8,NA
"24",NA,"Tom Clancy's Rainbow Six Siege","1,508 (1,000)",1.51,"219,816",9.8,"80-100 hours",4.1,NA
"25",NA,"Gears 5","14,138 (1,735)",8.15,"217,892",0,"200+ hours",4.1,NA
"26",NA,"Destiny 2","1,972 (1,240)",1.59,"214,701",4.9,"200+ hours",3.9,NA
"27",NA,"Assassin's Creed Unity","2,463 (1,300)",1.89,"207,040",5.8,"60-80 hours",3.8,NA
"28",NA,"Goat Simulator","5,335 (2,375)",2.25,"203,582",1.6,"4-5 hours",2.9,NA
"29",NA,"Mortal Kombat X","5,572 (1,500)",3.71,"203,442",0.6,"60-80 hours",4.2,NA
"30",NA,"State of Decay 2: Juggernaut Edition","11,350 (2,200)",5.16,"200,766",0.2,"60-80 hours",3.8,NA
"31",NA,"Titanfall 2","1,778 (1,000)",1.78,"199,736",5,"15-20 hours",4.3,NA
"32",NA,"Forza Horizon 2","5,052 (2,000)",2.53,"198,306",1.1,"150-200 hours",4.6,NA
"33",NA,"Killer Instinct","27,878 (4,935)",5.65,"197,865",0.1,"200+ hours",3.7,NA
"34",NA,"Rise of the Tomb Raider","5,880 (2,250)",2.61,"193,526",0.8,"40-50 hours",4.5,NA
"35",NA,"Call of Duty: Advanced Warfare","5,024 (2,000)",2.51,"191,880",0.7,"20-25 hours",3.9,NA
"36",NA,"Batman: Arkham Knight","4,299 (2,000)",2.15,"190,317",1.2,"40-50 hours",4.5,NA
"37",NA,"Call of Duty: WWII","12,938 (3,000)",4.31,"187,961",0.3,"60-80 hours",3.9,NA
"38",NA,"Borderlands 2","4,119 (1,875)",2.2,"185,986",3,"60-80 hours",4.6,NA
"39",NA,"Gears of War: Ultimate Edition","3,061 (1,250)",2.45,"185,146",1.3,"200+ hours",4.4,NA
"40",NA,"Tomb Raider - Definitive Edition","2,291 (1,000)",2.29,"184,027",2.2,"40-50 hours",4.4,NA
"41",NA,"Dead Rising 3","3,776 (1,860)",2.03,"183,358",1.7,"60-80 hours",4.2,NA
"42",NA,"The Outer Worlds","3,495 (1,195)",2.92,"176,381",0.3,"35-40 hours",4.3,NA
"43",NA,"Rayman Legends","3,073 (1,000)",3.07,"176,339",2.3,"60-80 hours",4.1,NA
"44",NA,"Forza Horizon 3","7,527 (3,000)",2.51,"176,027",2.1,"60-80 hours",4.7,NA
"45",NA,"DOOM","4,592 (1,580)",2.91,"175,203",1.5,"20-25 hours",4.4,NA
"46",NA,"Apex Legends","1,502 (1,000)",1.5,"173,436",21.8,"60-80 hours",4.2,NA
"47",NA,"Assassin's Creed Syndicate","2,382 (1,300)",1.83,"172,428",6.2,"40-50 hours",4.2,NA
"48",NA,"The Walking Dead","1,324 (1,000)",1.32,"171,073",36.3,"12-15 hours",4.4,NA
"49",NA,"Monster Hunter: World","10,349 (2,000)",5.17,"170,976",0.2,"200+ hours",4.1,NA
"50",NA,"ROBLOX","1,807 (1,000)",1.81,"169,478",7.4,"2-3 hours",2.3,NA
