"","Title","Genre","Developer(s)","Publisher(s)","Release date","Release date","Release date"
"1","Title","Genre","Developer(s)","Publisher(s)","PAL","JP",NA
"2","007: Agent Under Fire","First-person shooter","Savage Entertainment","EA Games","June 14, 2002","Unreleased","March 26, 2002"
"3","007: Everything or Nothing","Third-person Action-Adventure/Stealth","EA Games","EA Games","February 26, 2004","Unreleased","February 17, 2004"
"4","007: From Russia with Love","Third-person Action-Adventure/Stealth","EA Games","EA Games","November 17, 2005","Unreleased","November 1, 2005"
"5","007: Nightfire","First-person shooter","Eurocom","EA Games","November 29, 2003","Unreleased","November 18, 2002"
"6","187 Ride or Die","Vehicular combat","Ubisoft","Ubisoft","August 26, 2005","Unreleased","August 23, 2005"
"7","2002 FIFA World Cup","Sports","EA Sports","EA Sports","April 26, 2002","May 2, 2002","April 22, 2002"
"8","25 To Life","Third-person shooter","Avalanche Software, Ritual Entertainment","Eidos","Unreleased","Unreleased","January 17, 2006"
"9","4x4 EVO 2","Racing","Terminal Reality","Gathering of Developers","April 26, 2002","Unreleased","November 15, 2001"
"10","50 Cent: Bulletproof","Third-person shooter","Genuine Games","Vivendi Universal Games","November 25, 2005","Unreleased","November 17, 2005"
"11","Advent Rising","Third-person shooter","GlyphX Games","Majesco Entertainment","June 30, 2005","Unreleased","May 31, 2005"
"12","Æon Flux","Action-Adventure","Terminal Reality","Majesco Entertainment","March 31, 2006","Unreleased","November 15, 2005"
"13","AFL Live 2003","Sports","IR Gurus","Acclaim Sports","November 1, 2002","Unreleased","Unreleased"
"14","AFL Live 2004","Sports","IR Gurus","Acclaim Entertainment","August 1, 2003","Unreleased","Unreleased"
"15","AFL Live Premiership Edition","Sports","IR Gurus","Acclaim Entertainment","April 29, 2004","Unreleased","Unreleased"
"16","AFL Premiership 2005","Sports","IR Gurus","THQ","September 22, 2005","Unreleased","Unreleased"
"17","Aggressive Inline","Sports","Z-Axis","AKA Acclaim","August 23, 2002","Unreleased","July 29, 2002"
"18","Airforce Delta Storm Deadly Skies (PAL) Airforce Delta II (JP)","Flight Simulator","Konami","Konami","April 12, 2002","February 22, 2002","November 15, 2001"
"19","Alias","Action-Adventure","Acclaim Studios Cheltenham","Acclaim Entertainment","April 8, 2004","Unreleased","April 5, 2004"
"20","Alien Hominid","Run and gun","The Behemoth","O~3 Entertainment","May 1, 2005","Unreleased","Unreleased"
"21","Aliens Versus Predator: Extinction","Real-time strategy","Zono","EA Games","August 8, 2003","Unreleased","July 30, 2003"
"22","Alfa Romeo Racing Italiano SCAR : Squadra Corse Alfa Romeo (PAL)","Racing","Milestone srl","Black Bean Games","June 24, 2005","Unreleased","June 24, 2005"
"23","All-Star Baseball 2003","Sports","Acclaim Studios Austin","Acclaim Sports","May 31, 2002","August 8, 2002","February 25, 2002"
"24","All-Star Baseball 2004","Sports","Acclaim Studios Austin","Acclaim Sports","Unreleased","Unreleased","February 23, 2003"
"25","All-Star Baseball 2005","Sports","Acclaim Studios Austin","Acclaim Entertainment","Unreleased","Unreleased","March 23, 2004"
"26","Alter Echo","Action-Adventure","Outrage Entertainment","THQ","October 3, 2003","Unreleased","August 19, 2003"
"27","America's Army: Rise of a Soldier","Tactical shooter","Secret Level","Ubisoft","February 24, 2006","Unreleased","November 17, 2005"
"28","American Chopper","Sports","Creat Studios","Activision","March 17, 2006","Unreleased","December 3, 2004"
"29","American Chopper 2: Full Throttle","Sports","Creat Studios","Activision","March 17, 2006","Unreleased","November 17, 2005"
"30","AMF Bowling 2004","Sports","Mud Duck Productions","Bethesda Softworks","Unreleased","Unreleased","November 14, 2003"
"31","AMF Xtreme Bowling 2006","Sports","Mud Duck Productions","Bethesda Softworks","Unreleased","Unreleased","June 21, 2006"
"32","Amped: Freestyle Snowboarding","Sports","Indie Built","Xbox Game Studios","March 14, 2002","February 22, 2002","November 19, 2001"
"33","Amped 2 Tenku 2 (JP)","Sports","Indie Built","Xbox Game Studios","November 14, 2003","February 26, 2004","October 28, 2003"
"34","AND 1 Streetball","Sports","Black Ops Entertainment","Ubisoft","June 29, 2006","Unreleased","June 6, 2006"
"35","Angelic Concert (JP)","Visual novel","Success","","Unreleased","March 13, 2003","Unreleased"
"36","Animaniacs: The Great Edgar Hunt","Platformer","Warthog Games","Ignition Entertainment","October 14, 2005","Unreleased","Unreleased"
"37","Antz Extreme Racing","Racing","LSP","Empire Interactive","July 26, 2002","Unreleased","September 2, 2002"
"38","Aoi Namida (JP)","Adventure","","Panther Software","Unreleased","May 27, 2004","Unreleased"
"39","APEX Racing Evoluzione (PAL)","Racing","Milestone","Infogrames","February 28, 2003","Unreleased","February 18, 2003"
"40","Aquaman: Battle for Atlantis","Action-Adventure","TDK","TDK","Unreleased","Unreleased","July 30, 2003"
"41","Arctic Thunder","Racing","Midway Games","Midway Games","March 22, 2002","Unreleased","November 15, 2001"
"42","Area 51","First-person shooter/Survival Horror","Midway Studios Austin","Midway","May 27, 2005","Unreleased","April 25, 2005"
"43","Arena Football","Sports","EA Tiburon","EA Games","Unreleased","Unreleased","February 7, 2006"
"44","Armed and Dangerous","Third-person shooter/Third-person Action-Adventure","Planet Moon Studios","LucasArts","February 27, 2004","Unreleased","December 2, 2003"
"45","Army Men: Major Malfunction","Third-person shooter","Global Star Software","3DO","August 4, 2006","Unreleased","April 15, 2006"
"46","Army Men: Sarge's War","Third-person shooter","Global Star Software","3DO","July 23, 2004","Unreleased","August 2, 2004"
"47","Arx Fatalis","First-person Role-playing","Arkane Studios","JoWood Productions","February 13, 2004","Unreleased","December 23, 2003"
"48","Atari Anthology","Arcade Compilations","Digital Eclipse","Atari","November 11, 2004","August 4, 2005","November 16, 2004"
"49","ATV Quad Power Racing 2","Racing","Climax Studios","AKA Acclaim","February 28, 2003","Unreleased","January 27, 2003"
"50","Auto Modellista","Racing","Capcom Production Studio 1","Capcom","November 26, 2003","January 20, 2004","January 21, 2004"
"51","Avatar: The Last Airbender","Action-Adventure","TOSE","THQ","Unreleased","Unreleased","October 10, 2006"
"52","Azurik: Rise of Perathia","Action-Adventure","Adrenium Games","Xbox Game Studios","May 17, 2002","Unreleased","November 25, 2001"
"53","Backyard Wrestling: Don't Try This at Home","Sports","Paradox Development","Eidos Interactive","November 14, 2003","Unreleased","October 9, 2003"
"54","Backyard Wrestling 2: There Goes the Neighborhood","Sports","Paradox Development","Eidos Interactive","November 19, 2004","April 7, 2005","November 16, 2004"
"55","Bad Boys: Miami Takedown Bad Boys II  (PAL)","Third-person shooter","Blitz Games","Empire Interactive","February 25, 2004","Unreleased","September 14, 2004"
"56","Baldur's Gate: Dark Alliance","Action RPG/Hack and slash","Snowblind Studios","Interplay Entertainment","March 23, 2003","Unreleased","October 22, 2002"
"57","Baldur's Gate: Dark Alliance II","Action RPG/Hack and slash","Black Isle Studios","Interplay Entertainment","February 6, 2004","Unreleased","January 20, 2004"
"58","Barbarian","Fighting","Saffire","Titus Interactive","December 23, 2003","Unreleased","Unreleased"
"59","Barbie Horse Adventures: Wild Horse Rescue","Adventure/Racing","Blitz Games","Vivendi Universal Games","February 13, 2004","Unreleased","November 4, 2003"
"60","The Bard's Tale","Action RPG","InXile Entertainment","Vivendi Universal Games","March 24, 2005","Unreleased","October 26, 2004"
"61","Bass Pro Shops: Trophy Bass 2007","Fishing simulator","Big John Games","Vivendi Universal Games","Unreleased","Unreleased","November 20, 2006"
"62","Bass Pro Shops Trophy Hunter 2007","Hunting","Jarhead Games","Vivendi Universal Games","Unreleased","Unreleased","November 20, 2006"
"63","Batman Begins","Action-Adventure/Stealth","Eurocom","EA Games","June 17, 2005","Unreleased","June 14, 2005"
"64","Batman: Dark Tomorrow","Action-Adventure","HotGen","Kemco","April 11, 2003","March 20, 2003","March 18, 2003"
"65","Batman: Rise of Sin Tzu","Action-Adventure/Beat 'em up","Ubisoft Montreal","Ubisoft","November 14, 2003","Unreleased","October 16, 2003"
"66","Batman Vengeance","Action-Adventure","Ubisoft Montreal","Ubisoft","March 14, 2002","Unreleased","December 18, 2001"
"67","Battle Engine Aquila","Mecha simulator","Lost Toys","Infogrames","February 7, 2003","Unreleased","January 20, 2003"
"68","Battlefield 2: Modern Combat","First-person shooter","Digital Illusions CE","Electronic Arts","November 18, 2005","January 26, 2006","October 24, 2005"
"69","Battlestar Galactica","Space flight Simulator","Warthog Games","Vivendi Universal Games","December 12, 2003","Unreleased","November 18, 2003"
"70","Beat Down: Fists of Vengeance","Action RPG/Beat 'em up","Cavia","Capcom","November 2, 2005","Unreleased","August 23, 2005"
"71","Beyond Good & Evil","Third-person Action-Adventure","Ubisoft Milan","Ubisoft","February 27, 2004","Unreleased","December 2, 2003"
"72","The Bible Game","Party game","Crave Entertainment","Crave Entertainment","Unreleased","Unreleased","October 23, 2005"
"73","Bicycle Casino","Gambling","Leaping Lizard","Activision Value","July 7, 2005","Unreleased","October 26, 2004"
"74","Big Bumpin'","Party game","Blitz Games","King Games","Unreleased","Unreleased","November 19, 2006"
"75","Big Mutha Truckers","Racing","Eutechnyx","THQ","December 29, 2002","Unreleased","June 23, 2003"
"76","Big Mutha Truckers 2","Racing","Empire Interactive","THQ","June 24, 2005","Unreleased","August 28, 2005"
"77","Bionicle","Action-Adventure","Argonaut Games","Electronic ArtsLego Interactive","October 17, 2003","Unreleased","October 20, 2003"
"78","Bistro Cupid (JP)","Cooking Sim, RPG, Dating Sim","Success","Success","Unreleased","June 13, 2002","Unreleased"
